"","per","pbr","roe","revenue_growth"
"HHR","58.43","40.83","75.04","-19.3"
"HIBB","24.78","2.34","9.72","74.9"
"HIFS","11.54","1.67","15.77","60.1"
"HIHO","24.61","1.61","8.71","-14.9"
"HIMX",NA,"1.49","-0.82","10.4"
"HJLI",NA,"51.98","-274.52",NA
"HLG","28.01","5.13","19.68","-11.9"
"HLIO","60.51","2.4","3.96","-17.1"
"HLIT",NA,"2.71","-9.1","-12.8"
"HLNE","36.95","21.5","50.82","7.8"
"HMHC",NA,"1.91","-109.66","-35.4"
"HMNF","8.49","0.67","7.91","-1.3"
"HMST","13.84","0.97","7.45","18.3"
"HMSY","44.52","2.83","6.84","-15.2"
"HMTV",NA,"1.73","-7.02","-11.3"
"HNNA","7.19","0.79","11.53","-34"
"HNRG","9.23","0.12","-29.57","-28.9"
"HOFT","16.55","1.46","-7.11","-14.3"
"HOFV",NA,NA,NA,"-11"
"HOL",NA,NA,NA,NA
"HOLI","9.28","0.75","8.19","-17.7"
"HOLX","35.59","7.68","22.05","-3.5"
"HOMB","13.15","1.06","8.52","-0.3"
"HONE","17.84","0.75","5.06","42.8"
"HOOK",NA,"2.39","-33.05","65"
"HOPE","7.33","0.49","6.87","-19.3"
"HOTH",NA,"3.54","-180.18",NA
"HPK",NA,NA,NA,"-31.4"
"HQI","45.18","3.08",NA,"-10.4"
"HQY","83.11","3.11","-1.68","103.2"
"HRMY",NA,NA,NA,NA
"HROW","9.16","9.52","-88.19","-40.4"
"HRTX",NA,"4.27","-63.01","-38.2"
"HRZN","10.41","1.15","10.69","29.2"
"HSAQ",NA,NA,NA,NA
"HSDT",NA,"3.03","-198.53","-74.3"
"HSIC","15.7","2.98","15.73","-31.2"
"HSII","139.06","1.5","1.2","-15.9"
"HSKA",NA,"3.64","-7.19","62.4"
"HSON","71.71","0.83","1.64","-7"
"HSTM","38.98","2.02","5.24","-5.1"
"HSTO",NA,NA,NA,"-92.4"
"HTBI","11.5","0.62","5.58","-12.9"
"HTBK","13.97","0.74","6.11","4.3"
"HTBX",NA,"4.24","-59.43","73.2"
"HTGM",NA,"1.23","-133.74","-66.1"
"HTHT","100.83","19.77","-27.72","-31.7"
"HTLD","25.07","2.35","9.69","13.2"
"HTLF","10.03","0.75","7.5","-16"
"HUBG","22.98","1.71","7.52","-15.4"
"HUGE",NA,"0.9","-93.65",NA
"HUIZ","77.81","5.37","0.83","17.6"
"HURC","257.09","0.88","-0.24","-22.4"
"HURN","30.26","1.82","-0.12","-1.3"
"HUSN",NA,"4.47","-84.99","-100"
"HVBC","25.51","0.83",NA,"64.9"
"HWBK","9.92","1","10.53","7.5"
"HWC","8.86","0.57","-2.06","-98.6"
"HWCC","65","0.44","-2.88","-21.7"
"HWKN","17.55","2.19","13","-2.8"
"HX",NA,"0.66","-81.55","-76.2"
"HYAC",NA,NA,NA,NA
"HYMC",NA,NA,NA,NA
"HYRE",NA,"36.59","-595.09","46.9"
"HZNP","30.39","7.43","26.65","44.3"
"IAC",NA,NA,NA,"5.5"
"IART","86.31","3","-0.25","-32.6"
"IBCP","6.82","0.85","13.38","14.1"
"IBEX","35.61","17.3","62.72",NA
"IBKR","24.67","13.57","13.25","24.8"
"IBOC","10.24","0.83","8.54","-11.9"
"IBTX","11.03","0.86","8.07","-7.4"
"ICAD",NA,"8.13","-109.73","-24"
"ICBK","22.26","0.78","3.94","-10.6"
"ICCC",NA,"1.44","-5.87","9.4"
"ICCH","15.82","0.61","3.67","0.5"
"ICFI","20.62","1.82","9.23","-3.5"
"ICHR","31.23","2.5","8.64","59.2"
"ICLK",NA,"3.97","-8.85","17.8"
"ICLR","34.04","6.8","21.59","-10.8"
"ICMB",NA,"0.41","-19.63","-5.9"
"ICON",NA,NA,NA,"-35.2"
"ICPT",NA,"59.68","-703.8","16.5"
"ICUI","51.73","2.95","6.08","-2.9"
"IDCC","48.31","2.38","3.99","38.2"
"IDEX","18.5","3.12","-178.86","-67.5"
"IDN",NA,"5.89","-7.12","18.2"
"IDRA",NA,"1.24","-331.34",NA
"IDXG",NA,"2.56","-66.13","53.1"
"IDXX","80.1","132.04","206.87","2.8"
"IDYA",NA,"2.23","-31.56",NA
"IEA","35.36",NA,NA,"46.5"
"IEC","14.61","2.6","20.06","17.5"
"IEP",NA,"2.92","-18.09","24.3"
"IESC","21.67","2.9","14.43","3.7"
"IFMK",NA,"3.55","-19.21","-9.6"
"IFRX",NA,"1.26","-41.81",NA
"IGIC","19.7","1.03","5.88","25.4"
"IGMS",NA,"11.75","-49.4",NA
"IHRT","11.22","0.55","-93.24","-46.6"
"IIIN","41.88","1.6","3.88","-3.4"
"IIIV",NA,"7.24","0.69","-67.6"
"IIN",NA,"1.42","-4.26","-19.5"
"IIVI",NA,"2.33","-4.18","105.7"
"IKNX",NA,"0.62","-16.16","-44"
"ILMN","69.87","10.47","15.58","-24.5"
"ILPT","28.79","1.46","4.74","8.4"
"IMAB",NA,"11.31","-74.33",NA
"IMAC",NA,"1.02","-78.67","-31.5"
"IMBI",NA,"4.63","-105.68","-5.3"
"IMGN",NA,NA,NA,"-3.3"
"IMKTA","5.53","1.03","20.1","12"
"IMMP",NA,"3.53","-46.69","23.4"
"IMMR",NA,"3.78","-8.91","-35.2"
"IMMU",NA,"34.11","-100.04",NA
"IMNM",NA,"15.2",NA,NA
"IMOS","6.99","1.03","12.02","10.7"
"IMRA",NA,"3.18","-42.16",NA
"IMRN",NA,"10.66","-45.05","-31.7"
"IMTE",NA,"6.57","-199.99","664.4"
"IMTX",NA,NA,NA,"28.1"
"IMUX",NA,"5.03","-48.42",NA
"IMV",NA,"14.13","-153.4","816.7"
"IMVT",NA,"14.61","-57.13",NA
"IMXI","23.76","7.9","41.15","3.3"
"INBK","7.36","0.56","7.74","-6.5"
"INBX",NA,NA,NA,"-34.4"
"INCY","38.35","8.44","-8.32","29.8"
"INDB","11.74","1.03","9.13","-24.9"
"INFI",NA,"8.03","-474.68","40.1"
"INFN",NA,"3.82","-73.91","11.9"
"INGN","106.38","1.94","1.89","-29.1"
"INMB",NA,"5.4","-39.42",NA
"INMD","26.31","6.56","36","-20.7"
"INO",NA,"10.66",NA,"96.9"
"INOD",NA,"2.8","-5.83","1.6"
"INOV","329.38","6.26","1.78","3.3"
"INPX","0.04","1.03","-133.66","-27.8"
"INSE",NA,NA,NA,"-41.6"
"INSG",NA,"47.72",NA,"44.4"
"INSM",NA,"8.95","-63.5","41.8"
"INSU","156.87","1.66",NA,NA
"INSUU",NA,NA,NA,NA
"INTC","9.99","2.81","30.15","19.5"
"INTG","29.26",NA,NA,"-72.1"
"INTU","49.3","17.49","41.24","82.7"
"INTZ","548.5","257.22","26.99","-58.8"
"INVA","4.87","2.22","76.29","23.1"
"INVE",NA,"3.51","-16.3","-14.1"
"INZY",NA,"9.63",NA,NA
"IONS","52.96","4.78","7.87","-11.2"
"IOSP","31.28","1.88","6.2","-32.4"
"IOVA",NA,"6.96","-42.51",NA
"IPAR","36.23","2.77","7.61","-70.2"
"IPDN",NA,"12.63","-2,317.55","-28.1"
"IPGP","76.43","3.98","5.33","-18.5"
"IPHA","12.91","1.22","-22.79","-37.9"
"IPLDP",NA,NA,"9.65","-2.1"
"IPWR",NA,"7.09","-132.29",NA
"IQ",NA,"18.61","-98.35","4.2"
"IRBT","26.57","3.67","15.23","7.6"
"IRCP",NA,"0.38","27.17","-43.9"
"IRDM",NA,"2.67","-11.4","-2"
"IRIX",NA,"1.42","-35.01","-40.4"
"IRMD","50.42","4.55","10.15","-26.3"
"IROQ","12.41","0.66","5.14","11.1"
"IRTC",NA,"59.7","-78.17","-3"
"IRWD","16.21",NA,NA,"-12.5"
"ISBC","10.63","0.74","6.59","-6.1"
"ISEE",NA,"2.31","-38.6",NA
"ISIG",NA,"0.81","-49.77","-42"
"ISNS","3","1.03","40.9","-19.8"
"ISRG","78","9.92","14.31","-22.5"
"ISSC","34","2.71","8.21","29.7"
"ISTR","11.34","0.63","5.82","11.7"
"ITCI",NA,"5.59","-58.64",NA
"ITI",NA,"2.31","-6.94","11.3"
"ITIC","10.69","1.44","13.87","44.5"
"ITMR",NA,"6.27","-22.22","20.8"
"ITOS",NA,"7.29",NA,NA
"ITRI","43.24","3.66","-2.69","-19.8"
"ITRM",NA,NA,NA,NA
"ITRN","56.62","2.97","-5.68","-25.2"
"IVA",NA,"11.25","-60.79","-35.6"
"IVAC","25.5","1.36","5.4","29.3"
"IZEA",NA,"2.19","-65.43","-20.1"
"JACK","28.06",NA,NA,"9"
"JAGX","0.02","26.63","-310.33","85.6"
"JAKK","0.06","7.28",NA,"-17.3"
"JAN",NA,"1.32","-109.26","-47.3"
"JAZZ","64.92","2.65","4.35","5.3"
"JBHT","31.04","6.26","21.64","-5.1"
"JBLU","13.78","0.81","-5.46","-89.8"
"JBSS","16.31","3.67","21.96","-5.8"
"JCOM","19.05","2.67","15.88","2.7"
"JCS","251","0.8","-0.18","-10.1"
"JCTCF","19.43","1.79","9.19","-2.7"
"JD","38.55","6.25","17.68","33.8"
"JFIN","6.21",NA,NA,"-62"
"JFU","14.25","0.21","-50.7","-59.5"
"JG",NA,"3.28","-33.04","-55.1"
"JJSF","66.57","3.07","4.66","-34.3"
"JKHY","42.04","7.99","19.92","4.3"
"JNCE","15.26","2.67","20.05",NA
"JOBS","30.37","2.93","10.02","-14"
"JOUT","20.58","2.48","12.74","-21.5"
"JRJC",NA,"1.04","-60.11","9.2"
"JRSH","9.42","0.97","10.79","-17"
"JRVR","27.7","1.9","-0.74","-15.3"
"JVA",NA,"0.85","0.8","-19.7"
"JYNT","98.95","35.11","55.49","12.7"
"KALA",NA,"3.5","-95.15","-59.5"
"KALU","26.86","1.39","5.09","-26.5"
"KALV",NA,"3.9","-36.97",NA
"KBAL","9.98","1.67","17.8","-20.2"
"KBLM","265.51","6.57","-56.82",NA
"KBLMU",NA,NA,"-56.82",NA
"KBNT",NA,NA,NA,"86.2"
"KBSF",NA,"0.11","-7.29","-49"
"KC",NA,"6.49",NA,"64.1"
"KDP","36.29","1.83","5.08","1.8"
"KE","17.13","0.81","4.86","-10.2"
"KELYA","5.47","0.64","-8.75","-28.7"
"KELYB","6.12","0.63","-8.75","-28.7"
"KEQU",NA,"0.65","-13.3","-7.4"
"KERN",NA,"2.04","-56.17","-17.1"
"KFFB","48.46","0.99","-21.23","-0.7"
"KFRC","17.05","5.42","26.95","1.2"
"KHC","22.23","0.8","-0.38","3.8"
"KIDS",NA,"3.91","-13.07","-25.3"
"KIN",NA,"1.95","-30.46","-29.9"
"KINS",NA,"0.72","-1.25","1.5"
"KIRK",NA,"2.98","-53.95","4"
"KLAC","27.06","12.13","45.35","16"
"KLDO",NA,"6.02","-117.61",NA
"KLIC","40.19","2.22","5.58","18.4"
"KLXE",NA,"0.37","-144.57","-78"
"KMDA","16.56","2.09","13.52","-6.1"
"KNDI","55.62","1.79","3.19","-19.5"
"KNSA","4.94","5.03","-46.71",NA
"KNSL","71.55","9.97","17.32","62.2"
"KOD",NA,"11.06","-41.34",NA
"KOPN",NA,"5.13","-56.49","-3.2"
"KOSS",NA,"1.08","-3.08","-31.7"
"KPTI",NA,"8.88","-178.43","253"
"KRKR",NA,"1.54","-174.34","-35.1"
"KRMD","477.18","7.51","-0.23","44.1"
"KRNT","1.44k","8.99","-1.6","-18.2"
"KRNY","14.6","0.66","4.07","12.7"
"KRON",NA,NA,NA,NA
"KROS",NA,"6.85",NA,NA
"KRTX","0.16","5.71","-18.95",NA
"KRUS","408.21","2.38","-25.65","-83.4"
"KRYS",NA,"3.24","-8.58",NA
"KSPN",NA,"26.29","-239.6","23.5"
"KTCC","20.77","0.85","4.14","9.9"
"KTOS","365.1","3.11","0.78","-9.3"
"KTOV",NA,"1.34","-92.04","0"
"KTRA",NA,"11.02","-818.19",NA
"KURA",NA,"5.98","-26",NA
"KVHI",NA,"1.29","-10.91","-7.1"
"KXIN","0.97","0.71",NA,"-42.3"
"KYMR",NA,"16.43",NA,"4,347.70"
"KZIA",NA,"5.49","-88.05","-46.1"
"KZR",NA,"1.64","-30.24",NA
"LACQ","25.88","13.01","28.63",NA
"LACQU",NA,NA,"28.63",NA
"LAKE","9.51","1.86","21.74","27.5"
"LAMR","24.32","5.94","24.25","-22.5"
"LANC","35.13","6.14","18.14","-0.9"
"LAND",NA,"1.04","1.77","51"
"LANDP",NA,NA,"1.77","51"
"LARK","7.32","0.9","13.03","40.8"
"LASR",NA,"4.21","-11.91","8.5"
"LATN",NA,NA,NA,NA
"LAUR","10.96","1.25","-5.71","-20.2"
"LAWS","28.64","3.47","13.07","-24.9"
"LAZY",NA,"1.59","5.65","26.9"
"LBAI","8.76","0.71","8.56","-15.4"
"LBC","12.38","0.83","7.05","-8.5"
"LBRDA","146.06","2.48","1.73","9.8"
"LBRDK","146.85","2.49","1.73","9.8"
"LBTYA",NA,"1","-3.07","-4.5"
"LBTYB",NA,"1.02","-3.07","-4.5"
"LBTYK",NA,"0.99","-3.07","-4.5"
"LCA",NA,"1.75",NA,NA
"LCAHU",NA,NA,NA,NA
"LCNB","9.21","0.76","8.54","4.6"
"LCUT",NA,"1.15","-26.28","5.3"
"LE","35.27","1.37","3.96","4.6"
"LECO","28.18","9.08","29.05","-24"
"LEDS",NA,"4.59","-51.93","-10.1"
"LEGH","11.96","1.53","13.67","0.5"
"LEGN",NA,"9.61",NA,"15"
"LEVL","7.87","0.69","9.28","19.1"
"LFAC","210.6","1.36","11.65",NA
"LFACU",NA,NA,"11.65",NA
"LFUS","64.05","3.21","4.98","-22.8"
"LFVN","16.66","5.64","38.21","5.7"
"LGHL",NA,NA,NA,"-20.7"
"LGIH","14.88","3.39","25.87","4.3"
"LGND","256.08","2.25","-2.84","65.8"
"LHCG","59.33","4.81","9.59","-5.9"
"LI",NA,"18.56",NA,NA
"LIFE",NA,"0.95","-49.79","101.1"
"LILA",NA,"0.79","-19.63","-13.6"
"LILAK",NA,"0.78","-19.63","-13.6"
"LINC","13.7","3.18","22.3","-1.7"
"LIND","38.86","5.53","-34.23",NA
"LIQT","677.45","6.92","-9.65","-50.1"
"LITE","47.74","3.6","8.35","-9"
"LIVE",NA,"0.43","-2.55","-9.7"
"LIVK",NA,NA,NA,NA
"LIVN",NA,"2.06","-11.41","-34.3"
"LIVX",NA,NA,NA,"10.6"
"LIZI","34.82","4.21","-146.32","56"
"LJPC",NA,NA,NA,"1.8"
"LKCO",NA,"1.95","-54.58","54.5"
"LKFN","14.48","1.88","13.59","-8.2"
"LKQ","17.52","1.9","11.07","-19.1"
"LLIT",NA,NA,"-142.66","40"
"LLNW",NA,"4.3","-4.46","27.5"
"LMAT","39.5","4.24","11.35","-15.7"
"LMB","134.86","1.48","1.14","1.9"
"LMFA",NA,"1.63","-57.03","-54.9"
"LMNL","4.99","4.5","-138.63","-29.1"
"LMNR",NA,"1.38","-5.96","5.3"
"LMNX","98.61","2.09","2.33","31.9"
"LMPX",NA,"10.15","-14.76","343.6"
"LMRK","37.76","0.72","1.37","4.9"
"LMST","10.39","0.75","7.48","3.6"
"LNDC",NA,"1.38","-18.27","-2.2"
"LNSR",NA,NA,NA,"-21.8"
"LNT","20.74","2.45","12.06","-3.4"
"LNTH","45.69","1.72","3.83","-23"
"LOAC",NA,"2.45","-10.12",NA
"LOACU",NA,NA,"-10.12",NA
"LOAN","9.52","1.28","13.35","1.7"
"LOB","203.25","2.4","1.29","19.7"
"LOCO","32.64","2.51","7.32","-12.4"
"LOGC",NA,"6.75","-87.51",NA
"LOGI","28.39","8.58","34.46","22.9"
"LONE","0.79","1.2",NA,NA
"LOOP",NA,"10.48","-46.81",NA
"LOPE","15.35","2.58","17.98","6.3"
"LORL","23.01","4.18","-13.7",NA
"LOVE",NA,"6.29","-12.52","28.7"
"LPCN",NA,"6.93","-161.26",NA
"LPLA","12.98","5.85","48.36","-1.7"
"LPRO",NA,NA,NA,"-12.4"
"LPSN",NA,"27.88","-67.88","29.1"
"LPTH","83","1.87","2.55","4.1"
"LPTX",NA,"2.11","-83.99",NA
"LQDA","4.12","12.73","-276.46",NA
"LQDT",NA,"3.14","-12.49","-16.1"
"LRCX","24.17","10.22","45.74","18.2"
"LRMR",NA,NA,NA,NA
"LSAC",NA,"1.74","-4.76",NA
"LSBK","17.23","0.9","5.38","9.1"
"LSCC","99.53","12.57","14.05","-1.7"
"LSTR","30.45","7.72","24.46","-21.2"
"LSXMA","28.95","1.23","4.2","-5.2"
"LSXMB","30.77","1.3","4.2","-5.2"
"LSXMK","28.86","1.22","4.2","-5.2"
"LTBR",NA,"0.87","-41.67",NA
"LTRN",NA,"5.15",NA,NA
"LTRPA","58.92","1.18","-25.64","-86"
"LTRPB","63.42","25.12","-25.64","-86"
"LTRX",NA,"3.11","-25.63","71.3"
"LULU","85.83","23.03","30.75","2.2"
"LUMO",NA,"1.02",NA,NA
"LUNA","42.75","3.02","7.5","4.3"
"LUNG",NA,"43.35",NA,"-50.1"
"LVGO",NA,"24.94","-9.93","124.7"
"LWAY","42","1.91","4.85","8"
"LX","8.91","1.8","20.12","18.7"
"LXEH","17.93","3.46",NA,"3.1"
"LXRX","4.87","3.69",NA,"-5.4"
"LYFT","0.9","3.47","-59.38","-60.9"
"LYL",NA,"2.78","-17.78",NA
"LYRA",NA,"1.96",NA,NA
"LYTS","20.69","1.56","7.81","-22.1"
"MACK",NA,"2.99","-7.99",NA
"MAGS","29.3","1.02","5.09","-16.9"
"MANH","78.47","43.39","55.68","-12.1"
"MANT","22.97","1.9","8.58","17.8"
"MAR","70.84","50.83","79.76","-81.3"
"MARA",NA,"7.75","-90.07","-19.6"
"MARK",NA,NA,NA,"-19.8"
"MARPS","7.76","4.8","60.24","11"
"MASI","61.32","9.7","18.64","31"
"MAT",NA,"49.89","-98.19","-14.9"
"MATW",NA,"1.28","-22.97","-5.2"
"MAXN",NA,"2.11",NA,"-43.4"
"MAYS","285.71","0.83","-1.67","-19.6"
"MBCN","12.81","0.93","7.58","-2.1"
"MBII",NA,"6.72","-245.97","74"
"MBIN","6.06","1.25","18.98","100.8"
"MBINP",NA,NA,"18.98","100.8"
"MBIO",NA,"2.55","-74.16",NA
"MBOT",NA,"2","-42.91",NA
"MBRX",NA,"3.23","-102.14",NA
"MBUU","19.03","4.55","27.4","-39.1"
"MBWM","7.49","0.79","10.97","-7.1"
"MCAC",NA,NA,NA,NA
"MCBC","8.09","1.07","13.97","-6.4"
"MCBS","9.19","1.65","19.62","-27.8"
"MCEP","1.08","0.38","-12.37","-67"
"MCFT","10.06","7.94","-39.69","-58.4"
"MCHP","44.36","5.11","11.93","-1"
"MCHX",NA,"1.17","-36.89","-1.9"
"MCMJ",NA,NA,NA,NA
"MCRB",NA,NA,NA,"-51.8"
"MCRI","67.52","2.49","3.99","-75.9"
"MDB",NA,"326.8","-155.44","39.2"
"MDCA",NA,NA,NA,"-28.3"
"MDGL",NA,"5.64","-33.59",NA
"MDGS",NA,"1.7","-160.71","-49.3"
"MDIA","3.5","2.72",NA,"-57.2"
"MDJH","45.22","5.41","12.19","21.2"
"MDLZ","24.88","3.18","12.99","-2.5"
"MDNA",NA,"6.43","-45.37",NA
"MDRR",NA,"0.92","-24.47","1.7"
"MDRX",NA,"1.45","-4.11","-8.6"
"MDWD","27.07","9.8","-85.11","-80.6"
"MEDP","43.72","5.94","15.31","-4.3"
"MEDS","3.26k","4.58","-14.44","244"
"MEIP",NA,"4.46","-72.96","2,157.00"
"MELI","2.90k","34.58","-7.96","61.1"
"MEOH","28.68","1.69","-0.44","-39.6"
"MERC",NA,"0.91","-14.61","-19.9"
"MESA","4.23","0.27","6.6","-59.4"
"MESO",NA,"2.33","-15.13","-64.4"
"METC","10.79","0.76","7.15","-44.7"
"METX",NA,NA,NA,"-47"
"MFH","33.96","1.83",NA,"82.7"
"MFIN","84.67","0.25","-2.66","11.7"
"MFNC","8.51","0.69","8.4","12.2"
"MGEE","25.53","2.56","10.31","-4.2"
"MGEN",NA,"1.47","-131.22","-93.3"
"MGI",NA,NA,NA,"-13.6"
"MGIC","45.77","2.8","9.6","12.3"
"MGLN","18.9","1.29","7.15","-4.7"
"MGNI",NA,"2.7","-23.08","11.8"
"MGNX",NA,"5.35","-61.46","91.2"
"MGPI","17.47","2.81","17.35","2.3"
"MGRC","15.67","2.42","16.43","8"
"MGTA",NA,"2.03","-47.14",NA
"MGTX",NA,"2.82","-37.73","24.8"
"MGYR","22.04","0.87","3.96","1"
"MHLD",NA,"1.62","-8.81","-76.4"
"MICT",NA,"39.74","-127.7",NA
"MIDD","19.97","2.95","15.3","-38"
"MIK","11.44",NA,NA,"11.1"
"MIME","571.12","11.3","2.2","16.1"
"MIND",NA,"2.4","-37.15","-25.4"
"MINDP",NA,NA,"-37.15","-25.4"
"MIRM",NA,"3.73",NA,NA
"MIST",NA,"2.04","-51.81",NA
"MITK","86","4.46","5.48","16"
"MITO",NA,"6.16","-263.74",NA
"MKD",NA,NA,NA,"36.8"
"MKGI",NA,"7.86","-158.11","-63.9"
"MKSI","27.07","2.96","11.44","14.8"
"MKTX","77.98","23.94","34.7","47.3"
"MLAB","736.39","3.71","-0.89","13.9"
"MLCO","110.6","4.49","-26.09","-87.8"
"MLHR","123.33","2.63","1.42","-6.6"
"MLND",NA,"0.77","-94.03",NA
"MLVF","13.88","0.65","4.83","-16.2"
"MMAC","2.16","0.52","27.93","-52.1"
"MMLP","2.64",NA,NA,"-24.9"
"MMSI","379.2","2.84","-3.17","-14.5"
"MMYT",NA,"2.23","-40.82","-95.5"
"MNCL","68.53","45.54",NA,NA
"MNCLU",NA,NA,NA,NA
"MNDO","9.4","2.35","26.08","-6.8"
"MNKD",NA,NA,NA,"0.7"
"MNOV",NA,"3.35","-15.98",NA
"MNPR",NA,"4.34","-51.84",NA
"MNRO","38.3","1.97","5.3","-22.1"
"MNSB","11.31","0.81","7.51","-38.2"
"MNST","38.09","10.09","27.64","-0.9"
"MNTX",NA,"1.33","-27.88","-35.3"
"MOBL",NA,"23.38","-102.38","15.8"
"MOFG","9.36","0.64","7.02","-1.5"
"MOGO",NA,"9.04","-627.68","2.8"
"MOHO","34.28","0.64","-35.17","14.9"
"MOMO","7.6","1.55","23.17","-6.8"
"MOR","30.02","4.76","18.81","-46.8"
"MORF","7.28","7.32","-64.95","38.2"
"MORN","53.62","7.28","14.24","19.7"
"MOSY",NA,"1.42","-77.29","-35.8"
"MOTS",NA,"3.4","-259.74","-75"
"MOXC","69.65","119.25",NA,NA
"MPAA",NA,"1.06","-1.52","-12.6"
"MPB","8.55","0.7","8.37","18.5"
"MPWR","114.21","16.68","16.47","23.3"
"MRAM",NA,"6.38","-50.02","36.8"
"MRBK","7.65","0.86","12.24","82.1"
"MRCC","11.5","0.67","-6.23","23.5"
"MRCY","50.06","3.16","6.42","22.8"
"MREO",NA,"5.19","-344.02",NA
"MRIN",NA,"0.62","-59.02","-41.7"
"MRKR",NA,"2.19","-54.39",NA
"MRLN","10.76","0.5","-0.95","-75"
"MRNA",NA,"9.9","-22.75","407.2"
"MRNS",NA,"4.94","-86.05",NA
"MRSN",NA,"4.47","-36.51","294.1"
"MRTN","23.1","2.37","10.42","0.1"
"MRTX",NA,"13.6","-54.97",NA
"MRUS",NA,"3.67","-73.72","-4.7"
"MRVL","20.56","3.42","18.17","10.8"
"MSBI","8.95","0.51","6.21","-8.2"
"MSEX","31.03","3.45","12.17","5.6"
"MSFT","38.14","14.05","40.14","12.8"
"MSON",NA,"1.48","-20.69","40.6"
"MSTR","65.1","3.48","5.39","-6.1"
"MSVB","41.97","0.85","2.02","-7.8"
"MTBC",NA,"1.44","-12.48","16.9"
"MTBCP",NA,NA,"-12.48","16.9"
"MTC",NA,"3.63","-104.08","-13.5"
"MTCH","51.53","10.97","53.17","11.5"
"MTCR",NA,"9.99",NA,NA
"MTEM",NA,"10.33","-147.94","26.8"
"MTEX","8.68","1.39","17.47","-7.5"
"MTLS","576.13","16.65","-1.83","-21.3"
"MTP",NA,"3.72","-151.13","-62.8"
"MTRX","18.61","0.69","-10.02","-50.9"
"MTSC","34.35","0.93","2.73","-15.5"
"MTSI",NA,"8.9","-18.54","26.7"
"MTSL",NA,"1.84","-3.42","-10"
"MU","21.78","1.47","7.14","24.4"
"MVBF","7.68","0.94","12.83","30.7"
"MVIS",NA,NA,NA,"-52.7"
"MWK",NA,"36.12","-363.4","96.9"
"MXIM","30.33","11.79","37.38","-2"
"MYFW","7.23","0.78","11.48","45"
"MYGN",NA,"1.05","-19.89","-56.7"
"MYL","29.64","0.69","2.29","-4.2"
"MYOK",NA,"13.02","-44.75",NA
"MYOS",NA,"5.6","-123.15","113.6"
"MYRG","16.02","1.91","12.78","14.3"
"MYSZ",NA,"1.69","-136.74","320"
"MYT",NA,"1.1",NA,"717"
"NAII","19.94","0.73","-2.23","16"
"NAKD",NA,"0.85","-2,564.58","-13"
"NAOV",NA,"12.93","-765.59","2.3"
"NARI","3.37k","18.92",NA,"152.1"
"NATH","17.94",NA,NA,"-42"
"NATI","18.98","3.77","20.77","-9.8"
"NATR","22.2","1.72","8.87","-3.8"
"NAVI","6.53","0.9","12.32","-3.5"
"NBAC",NA,NA,NA,NA
"NBEV",NA,"2.43","-76.54","-5.6"
"NBIX","47.68","11.5","31.15","64.8"
"NBLX","4.77","0.98","9.37","-14.5"
"NBN","7.51","0.95","14.29","44.6"
"NBRV",NA,"1.91","-181.05","-7.2"
"NBSE",NA,"6.04",NA,NA
"NBTB","12.82","1.07","8.7","-8.5"
"NCBS","12.49","1.17","10.63","-2.6"
"NCMI","15.79",NA,NA,"-96.4"
"NCNA",NA,"3.59","-33.21",NA
"NCNO",NA,"16.52",NA,"52.5"
"NCSM",NA,"0.4","-39.45","-78"
"NCTY",NA,NA,NA,"-98.7"
"NDAQ","26.96","3.68","14.1","31.8"
"NDLS","197.71","11.09","-41.05","-33.3"
"NDRA",NA,"18.18","-1,030.95",NA
"NDSN","36.46","6.84","20.12","-3.9"
"NEO","882.75","7.42","-0.94","-14.5"
"NEOG","62.1","5.04","8.6","7.8"
"NEON",NA,"22.38","-155.51","-55.7"
"NEOS",NA,NA,NA,"-16"
"NEPH",NA,"6.41","-38.18","-31.7"
"NEPT",NA,"2.07","-58.33","389.9"
"NERV",NA,"2.4","-42.67",NA
"NESR","17.98","0.72","4.13","27.1"
"NETE",NA,"13.81","-106.33","-16.8"
"NEWA","9.25","1.29","14.86","40.3"
"NEWT","9.01","1.21","13.4","230"
"NEXT",NA,"4.15","-13.49",NA
"NFBK","12.55","0.77","5.54","11.3"
"NFE",NA,"58.94","-103.49","137.8"
"NFIN",NA,NA,NA,NA
"NFLX","89.66","25.08","34.73","24.9"
"NGHC","9.53","1.52","16.18","4.7"
"NGHCN",NA,NA,"16.18","4.7"
"NGHCO",NA,NA,"16.18","4.7"
"NGHCP",NA,NA,"16.18","4.7"
"NGM",NA,"4.1","-22.12","-22"
"NH",NA,NA,NA,"-12.3"
"NHIC",NA,NA,NA,NA
"NHLD",NA,"0.55","-3.74","21.5"
"NHTC","6.64","0.99","-6.2","-30"
"NICE","77.59","6.22","8.71","3.4"
"NICK","13.93","0.56","4.01","-5.8"
"NIU","96.59","17.5","21.16","21.6"
"NK",NA,"5.87","-43.44","-94.1"
"NKLA",NA,NA,NA,"176.9"
"NKSH","10.84","0.88","8.42","-14.6"
"NKTR",NA,"2.52","-30.52","109.5"
"NKTX",NA,"33.88",NA,NA
"NLOK","19.54","1.19k","29.03","-5.5"
"NLTX",NA,"3.96","-85.18",NA
"NMCI","4.86","0.25","5.27","-14.5"
"NMFC","10.95","0.83","-4.58","-0.7"
"NMIH","9.1","1.56","17.89","18.4"
"NMRD",NA,"47.29","-245.29",NA
"NMRK","12.38","1.63","12.43","-30.4"
