"","date","FRO"
"928","2010-09-08",133.149994
"929","2010-09-09",134.350006
"930","2010-09-10",135.050003
"931","2010-09-13",137.949997
"932","2010-09-14",138.899994
"933","2010-09-15",144.25
"934","2010-09-16",144
"935","2010-09-17",143.649994
"936","2010-09-20",143.199997
"937","2010-09-21",143.850006
"938","2010-09-22",143.949997
"939","2010-09-23",138.449997
"940","2010-09-24",144.449997
"941","2010-09-27",145.649994
"942","2010-09-28",147.300003
"943","2010-09-29",144
"944","2010-09-30",142.149994
"945","2010-10-01",140.5
"946","2010-10-04",136.300003
"947","2010-10-05",138.949997
"948","2010-10-06",141.300003
"949","2010-10-07",142.800003
"950","2010-10-08",144.050003
"951","2010-10-11",144.350006
"952","2010-10-12",143.050003
"953","2010-10-13",143.100006
"954","2010-10-14",140.050003
"955","2010-10-15",139.100006
