"","date","TUSK"
"825","2020-01-27",1.4
"826","2020-01-28",1.4
"827","2020-01-29",1.39
"828","2020-01-30",1.46
"829","2020-01-31",1.42
"830","2020-02-03",1.34
"831","2020-02-04",1.36
"832","2020-02-05",1.51
"833","2020-02-06",1.45
"834","2020-02-07",1.41
"835","2020-02-10",1.34
"836","2020-02-11",1.37
"837","2020-02-12",1.47
"838","2020-02-13",1.43
"839","2020-02-14",1.38
"840","2020-02-18",1.37
"841","2020-02-19",1.44
"842","2020-02-20",1.51
"843","2020-02-21",1.64
"844","2020-02-24",1.45
"845","2020-02-25",1.38
"846","2020-02-26",1.31
"847","2020-02-27",1.27
"848","2020-02-28",1.09
"849","2020-03-02",1.01
"850","2020-03-03",0.931
"851","2020-03-04",0.88
"852","2020-03-05",0.84
"853","2020-03-06",0.74
"854","2020-03-09",0.591
"855","2020-03-10",0.841
"856","2020-03-11",0.84
"857","2020-03-12",0.738
"858","2020-03-13",0.7
"859","2020-03-16",0.76
"860","2020-03-17",0.8
"861","2020-03-18",0.72
"862","2020-03-19",0.65
"863","2020-03-20",1.16
"864","2020-03-23",0.871
"865","2020-03-24",0.904
"866","2020-03-25",0.89
"867","2020-03-26",0.843
"868","2020-03-27",0.83
"869","2020-03-30",0.739
"870","2020-03-31",0.749
"871","2020-04-01",0.671
"872","2020-04-02",0.69
"873","2020-04-03",0.61
"874","2020-04-06",0.624
"875","2020-04-07",0.58
"876","2020-04-08",0.6
"877","2020-04-09",0.661
"878","2020-04-13",0.69
"879","2020-04-14",0.67
"880","2020-04-15",0.623
"881","2020-04-16",0.6
"882","2020-04-17",0.629
"883","2020-04-20",0.6
"884","2020-04-21",0.613
"885","2020-04-22",0.73
"886","2020-04-23",0.75
"887","2020-04-24",0.81
"888","2020-04-27",0.77
"889","2020-04-28",0.794
"890","2020-04-29",0.84
"891","2020-04-30",0.84
"892","2020-05-01",0.8
"893","2020-05-04",0.85
"894","2020-05-05",0.855
"895","2020-05-06",0.85
"896","2020-05-07",1.15
"897","2020-05-08",1.1
"898","2020-05-11",1.29
"899","2020-05-12",1.16
"900","2020-05-13",1.1
"901","2020-05-14",1.1
"902","2020-05-15",1.02
"903","2020-05-18",1.2
"904","2020-05-19",1.27
"905","2020-05-20",1.38
"906","2020-05-21",1.6
"907","2020-05-22",1.37
"908","2020-05-26",1.32
"909","2020-05-27",1.3
"910","2020-05-28",1.32
"911","2020-05-29",1.26
"912","2020-06-01",1.22
"913","2020-06-02",1.19
"914","2020-06-03",1.24
"915","2020-06-04",1.22
"916","2020-06-05",1.51
"917","2020-06-08",2.16
