"","date","CMCT"
"793","2010-02-25",109.5
"794","2010-02-26",106.5
"795","2010-03-01",108
"796","2010-03-02",106.5
"797","2010-03-03",109.5
"798","2010-03-04",107.400002
"799","2010-03-05",107.400002
"800","2010-03-08",107.400002
"801","2010-03-09",108.900002
"802","2010-03-10",110.25
"803","2010-03-11",109.5
"804","2010-03-12",109.050003
"805","2010-03-15",108.75
"806","2010-03-16",109.949997
"807","2010-03-17",111.150002
"808","2010-03-18",112.050003
"809","2010-03-19",112.349998
"810","2010-03-22",111.599998
"811","2010-03-23",112.5
"812","2010-03-24",112.5
"813","2010-03-25",112.050003
"814","2010-03-26",113.400002
"815","2010-03-29",113.25
"816","2010-03-30",111
"817","2010-03-31",109.800003
"818","2010-04-01",109.949997
"819","2010-04-05",111.75
"820","2010-04-06",113.400002
"821","2010-04-07",115.199997
"822","2010-04-08",115.949997
"823","2010-04-09",117
"824","2010-04-12",120
"825","2010-04-13",120
"826","2010-04-14",120.75
"827","2010-04-15",121.5
"828","2010-04-16",122.25
"829","2010-04-19",123
"830","2010-04-20",124.5
"831","2010-04-21",126.150002
"832","2010-04-22",126.300003
"833","2010-04-23",127.349998
"834","2010-04-26",127.199997
"835","2010-04-27",129
"836","2010-04-28",131.25
"837","2010-04-29",129.600006
"838","2010-04-30",129
"839","2010-05-03",129
"840","2010-05-04",128.25
"841","2010-05-05",126.449997
"842","2010-05-06",126.599998
"843","2010-05-07",122.099998
"844","2010-05-10",122.699997
"845","2010-05-11",120.75
"846","2010-05-12",122.25
"847","2010-05-13",122.699997
"848","2010-05-14",122.25
"849","2010-05-17",123.449997
"850","2010-05-18",124.199997
"851","2010-05-19",124.5
"852","2010-05-20",123
"853","2010-05-21",123.75
"854","2010-05-24",125.550003
"855","2010-05-25",124.5
"856","2010-05-26",125.849998
"857","2010-05-27",126
"858","2010-05-28",126
"859","2010-06-01",125.25
"860","2010-06-02",123.150002
"861","2010-06-03",126
"862","2010-06-04",125.699997
"863","2010-06-07",123.900002
"864","2010-06-08",123
"865","2010-06-09",123.75
"866","2010-06-10",123
"867","2010-06-11",125.25
"868","2010-06-14",124.349998
"869","2010-06-15",124.5
"870","2010-06-16",123
"871","2010-06-17",124.5
"872","2010-06-18",126
"873","2010-06-21",125.25
"874","2010-06-22",124.5
"875","2010-06-23",124.5
"876","2010-06-24",124.5
"877","2010-06-25",126
"878","2010-06-28",120.75
"879","2010-06-29",121.050003
"880","2010-06-30",122.699997
"881","2010-07-01",124.5
"882","2010-07-02",124.5
"883","2010-07-06",122.550003
"884","2010-07-07",123.75
"885","2010-07-08",123
"886","2010-07-09",124.5
"887","2010-07-12",124.5
"888","2010-07-13",124.5
"889","2010-07-14",124.5
"890","2010-07-15",122.699997
"891","2010-07-16",120.75
"892","2010-07-19",120.150002
"893","2010-07-20",120.449997
"894","2010-07-21",119.25
"895","2010-07-22",124.5
"896","2010-07-23",122.099998
"897","2010-07-26",125.849998
"898","2010-07-27",124.349998
"899","2010-07-28",124.5
"900","2010-07-29",124.5
"901","2010-07-30",123
"902","2010-08-02",127.5
"903","2010-08-03",127.5
"904","2010-08-04",124.5
"905","2010-08-05",127.349998
"906","2010-08-06",136.050003
"907","2010-08-09",127.5
"908","2010-08-10",126.75
"909","2010-08-11",123.75
"910","2010-08-12",123.75
"911","2010-08-13",122.099998
"912","2010-08-16",122.099998
"913","2010-08-17",120.75
"914","2010-08-18",119.400002
"915","2010-08-19",119.400002
"916","2010-08-20",119.25
"917","2010-08-23",118.5
"918","2010-08-24",119.25
"919","2010-08-25",116.25
"920","2010-08-26",118.5
"921","2010-08-27",117.449997
"922","2010-08-30",117
"923","2010-08-31",113.25
"924","2010-09-01",114.75
"925","2010-09-02",116.400002
"926","2010-09-03",115.650002
"927","2010-09-07",115.5
"928","2010-09-08",118.349998
"929","2010-09-09",118.949997
"930","2010-09-10",119.699997
"931","2010-09-13",123.75
"932","2010-09-14",124.5
"933","2010-09-15",123.900002
"934","2010-09-16",127.5
"935","2010-09-17",126
"936","2010-09-20",126
"937","2010-09-21",131.25
"938","2010-09-22",136.800003
"939","2010-09-23",135
"940","2010-09-24",132.300003
