"","date","WLKP"
"670","2017-03-27",25.049999
"671","2017-03-28",24.6
"672","2017-03-29",24.299999
"673","2017-03-30",24.9
"674","2017-03-31",25.15
"675","2017-04-03",25.4
"676","2017-04-04",25.15
"677","2017-04-05",25.1
"678","2017-04-06",25.15
"679","2017-04-07",25.1
"680","2017-04-10",25.1
"681","2017-04-11",25
"682","2017-04-12",24.75
"683","2017-04-13",24.85
"684","2017-04-17",24.75
"685","2017-04-18",24.6
"686","2017-04-19",25.4
"687","2017-04-20",25.299999
"688","2017-04-21",25.15
"689","2017-04-24",25.35
"690","2017-04-25",25.549999
"691","2017-04-26",25.450001
"692","2017-04-27",25.450001
"693","2017-04-28",25.299999
"694","2017-05-01",25.950001
"695","2017-05-02",25.450001
"696","2017-05-03",25.4
"697","2017-05-04",25.049999
"698","2017-05-05",25.049999
"699","2017-05-08",25
"700","2017-05-09",25.200001
"701","2017-05-10",25.1
"702","2017-05-11",25.200001
"703","2017-05-12",24.799999
"704","2017-05-15",25.15
"705","2017-05-16",25.15
"706","2017-05-17",24.700001
"707","2017-05-18",24.9
"708","2017-05-19",25
"709","2017-05-22",25
"710","2017-05-23",24.85
"711","2017-05-24",25.1
"712","2017-05-25",25
"713","2017-05-26",24.6
"714","2017-05-30",24.1
"715","2017-05-31",24.299999
"716","2017-06-01",24.049999
"717","2017-06-02",23.75
"718","2017-06-05",24.15
"719","2017-06-06",25.15
"720","2017-06-07",25.049999
"721","2017-06-08",24.9
"722","2017-06-09",24.6
"723","2017-06-12",24.25
"724","2017-06-13",24.549999
"725","2017-06-14",23.950001
"726","2017-06-15",23.85
"727","2017-06-16",23.700001
"728","2017-06-19",24.200001
"729","2017-06-20",23.65
"730","2017-06-21",23.950001
"731","2017-06-22",23.4
"732","2017-06-23",23.299999
"733","2017-06-26",23.299999
"734","2017-06-27",23.549999
"735","2017-06-28",24.200001
"736","2017-06-29",24.1
"737","2017-06-30",24.75
"738","2017-07-03",23.9
"739","2017-07-05",23.700001
"740","2017-07-06",24.299999
"741","2017-07-07",24.4
"742","2017-07-10",24.1
"743","2017-07-11",23.9
"744","2017-07-12",25
"745","2017-07-13",24.35
"746","2017-07-14",24.549999
"747","2017-07-17",24.85
"748","2017-07-18",24.5
"749","2017-07-19",24.4
"750","2017-07-20",24.25
"751","2017-07-21",24.75
"752","2017-07-24",25.4
"753","2017-07-25",24.700001
"754","2017-07-26",24.6
"755","2017-07-27",24.65
"756","2017-07-28",24.75
"757","2017-07-31",24.799999
"758","2017-08-01",25.15
"759","2017-08-02",25.35
"760","2017-08-03",25
"761","2017-08-04",25.1
"762","2017-08-07",25.15
"763","2017-08-08",24.75
"764","2017-08-09",24.549999
"765","2017-08-10",24.200001
"766","2017-08-11",24.299999
"767","2017-08-14",23.5
"768","2017-08-15",23.9
"769","2017-08-16",23.75
"770","2017-08-17",22.950001
"771","2017-08-18",23.200001
"772","2017-08-21",23.5
"773","2017-08-22",23.6
"774","2017-08-23",23.5
"775","2017-08-24",23.65
"776","2017-08-25",23.85
"777","2017-08-28",23.950001
"778","2017-08-29",24
"779","2017-08-30",23.9
"780","2017-08-31",23.950001
"781","2017-09-01",24.1
"782","2017-09-05",23.75
"783","2017-09-06",23.950001
"784","2017-09-07",23.65
"785","2017-09-08",23.950001
"786","2017-09-11",23.950001
"787","2017-09-12",23.85
"788","2017-09-13",23.85
"789","2017-09-14",23.75
"790","2017-09-15",23.700001
"791","2017-09-18",23.9
"792","2017-09-19",23.950001
"793","2017-09-20",23.9
"794","2017-09-21",23.950001
"795","2017-09-22",23.950001
"796","2017-09-25",23.950001
"797","2017-09-26",24.1
"798","2017-09-27",22
"799","2017-09-28",22.450001
"800","2017-09-29",22.700001
"801","2017-10-02",22.4
"802","2017-10-03",22.299999
"803","2017-10-04",22.200001
"804","2017-10-05",22.450001
"805","2017-10-06",22.85
"806","2017-10-09",22.65
"807","2017-10-10",22.5
"808","2017-10-11",22.85
"809","2017-10-12",22.5
"810","2017-10-13",22.35
"811","2017-10-16",22.799999
"812","2017-10-17",22.85
"813","2017-10-18",23.15
"814","2017-10-19",23.1
"815","2017-10-20",22.9
"816","2017-10-23",22.65
"817","2017-10-24",22.5
"818","2017-10-25",22.299999
"819","2017-10-26",22.200001
"820","2017-10-27",22.35
"821","2017-10-30",22.450001
"822","2017-10-31",22.25
"823","2017-11-01",22.4
"824","2017-11-02",22.35
"825","2017-11-03",22.4
"826","2017-11-06",22.4
"827","2017-11-07",22.65
"828","2017-11-08",22.700001
"829","2017-11-09",22.450001
"830","2017-11-10",22.049999
"831","2017-11-13",21.65
"832","2017-11-14",21.4
"833","2017-11-15",21.299999
"834","2017-11-16",21.299999
"835","2017-11-17",21.450001
"836","2017-11-20",21.424999
"837","2017-11-21",21.4
"838","2017-11-22",21.700001
"839","2017-11-24",22
"840","2017-11-27",22
"841","2017-11-28",21.9
"842","2017-11-29",21.700001
"843","2017-11-30",22
"844","2017-12-01",22.35
"845","2017-12-04",22.15
"846","2017-12-05",22.4
"847","2017-12-06",22.5
"848","2017-12-07",22.65
"849","2017-12-08",22.799999
"850","2017-12-11",23.25
"851","2017-12-12",23.4
"852","2017-12-13",23.4
"853","2017-12-14",23.450001
"854","2017-12-15",23.549999
"855","2017-12-18",23.799999
"856","2017-12-19",23.799999
"857","2017-12-20",23.65
"858","2017-12-21",23.549999
"859","2017-12-22",23.5
"860","2017-12-26",23.450001
"861","2017-12-27",23.6
"862","2017-12-28",24.5
"863","2017-12-29",24.950001
"864","2018-01-02",25.049999
"865","2018-01-03",25.049999
"866","2018-01-04",24.85
"867","2018-01-05",24.799999
"868","2018-01-08",24.799999
"869","2018-01-09",24.35
"870","2018-01-10",24.35
"871","2018-01-11",24.700001
"872","2018-01-12",24.950001
"873","2018-01-16",24.299999
"874","2018-01-17",24.6
"875","2018-01-18",24.549999
"876","2018-01-19",24.450001
"877","2018-01-22",24.6
"878","2018-01-23",24.65
"879","2018-01-24",24.5
"880","2018-01-25",24.450001
"881","2018-01-26",24.25
"882","2018-01-29",24.200001
"883","2018-01-30",24
"884","2018-01-31",24.200001
"885","2018-02-01",23.950001
"886","2018-02-02",24.049999
"887","2018-02-05",23.4
"888","2018-02-06",23.25
"889","2018-02-07",23.25
"890","2018-02-08",22.950001
"891","2018-02-09",22.799999
"892","2018-02-12",22.85
"893","2018-02-13",23
"894","2018-02-14",23.299999
"895","2018-02-15",23.5
"896","2018-02-16",23.1
"897","2018-02-20",22.950001
"898","2018-02-21",23.15
