"","date","SNDX"
"777","2019-04-02",5.15
"778","2019-04-03",5.28
"779","2019-04-04",5.62
"780","2019-04-05",5.97
"781","2019-04-08",5.77
"782","2019-04-09",5.72
"783","2019-04-10",6.3
"784","2019-04-11",6.68
"785","2019-04-12",6.26
"786","2019-04-15",6.13
"787","2019-04-16",6.26
"788","2019-04-17",6.27
"789","2019-04-18",6.29
"790","2019-04-22",6.35
"791","2019-04-23",6.96
"792","2019-04-24",6.99
"793","2019-04-25",6.84
"794","2019-04-26",7.09
"795","2019-04-29",7.16
"796","2019-04-30",7.15
"797","2019-05-01",7.22
"798","2019-05-02",6.9
"799","2019-05-03",7.16
"800","2019-05-06",7.36
"801","2019-05-07",7.81
"802","2019-05-08",7.9
"803","2019-05-09",7.67
"804","2019-05-10",7.6
"805","2019-05-13",7.32
"806","2019-05-14",7.67
"807","2019-05-15",7.53
"808","2019-05-16",7.5
"809","2019-05-17",7.36
"810","2019-05-20",7.15
"811","2019-05-21",7.32
"812","2019-05-22",7.32
"813","2019-05-23",7.32
"814","2019-05-24",7.55
"815","2019-05-28",7.28
"816","2019-05-29",7.99
"817","2019-05-30",7.82
"818","2019-05-31",7.3
"819","2019-06-03",7.37
"820","2019-06-04",7.7
"821","2019-06-05",7.44
"822","2019-06-06",7.32
"823","2019-06-07",7.59
"824","2019-06-10",7.88
"825","2019-06-11",7.55
"826","2019-06-12",7.86
"827","2019-06-13",7.66
"828","2019-06-14",7.71
"829","2019-06-17",8.68
"830","2019-06-18",9.03
"831","2019-06-19",9.05
"832","2019-06-20",8.78
"833","2019-06-21",8.64
"834","2019-06-24",8.49
"835","2019-06-25",8.44
"836","2019-06-26",8.51
"837","2019-06-27",9.05
"838","2019-06-28",9.31
"839","2019-07-01",9.03
"840","2019-07-02",9.03
"841","2019-07-03",9.15
"842","2019-07-05",9.31
"843","2019-07-08",9.11
"844","2019-07-09",9.44
"845","2019-07-10",9.29
"846","2019-07-11",8.87
"847","2019-07-12",8.99
"848","2019-07-15",8.98
"849","2019-07-16",9.1
"850","2019-07-17",9.16
"851","2019-07-18",9.04
"852","2019-07-19",9.09
"853","2019-07-22",9.09
"854","2019-07-23",9.06
"855","2019-07-24",9.21
"856","2019-07-25",8.65
"857","2019-07-26",9
"858","2019-07-29",9.03
"859","2019-07-30",9.32
"860","2019-07-31",9.6
"861","2019-08-01",9.55
"862","2019-08-02",9.11
"863","2019-08-05",8.79
"864","2019-08-06",9.14
"865","2019-08-07",9.51
"866","2019-08-08",10.11
"867","2019-08-09",9.89
"868","2019-08-12",9.93
"869","2019-08-13",10.76
"870","2019-08-14",10.22
"871","2019-08-15",10
"872","2019-08-16",10.23
"873","2019-08-19",10.09
"874","2019-08-20",10.13
"875","2019-08-21",10.01
"876","2019-08-22",9.75
"877","2019-08-23",9.17
"878","2019-08-26",9.07
"879","2019-08-27",8.77
"880","2019-08-28",8.42
"881","2019-08-29",8.37
"882","2019-08-30",8.41
"883","2019-09-03",8.38
"884","2019-09-04",8.69
"885","2019-09-05",9.08
"886","2019-09-06",8.87
"887","2019-09-09",8.82
"888","2019-09-10",8.95
"889","2019-09-11",9.1
"890","2019-09-12",9.06
"891","2019-09-13",8.76
"892","2019-09-16",8.75
"893","2019-09-17",8.81
"894","2019-09-18",8.86
"895","2019-09-19",8.71
"896","2019-09-20",8.7
"897","2019-09-23",8.81
"898","2019-09-24",8.78
"899","2019-09-25",8.77
"900","2019-09-26",7.85
"901","2019-09-27",7.74
"902","2019-09-30",7.47
"903","2019-10-01",6.91
"904","2019-10-02",6.98
"905","2019-10-03",7.2
"906","2019-10-04",7.27
"907","2019-10-07",6.83
"908","2019-10-08",6.16
"909","2019-10-09",5.43
"910","2019-10-10",5.8
"911","2019-10-11",6.2
"912","2019-10-14",6.36
"913","2019-10-15",6.65
"914","2019-10-16",6.74
"915","2019-10-17",6.95
"916","2019-10-18",6.57
"917","2019-10-21",6.77
"918","2019-10-22",6.49
"919","2019-10-23",6.76
"920","2019-10-24",6.34
"921","2019-10-25",6.64
"922","2019-10-28",6.71
"923","2019-10-29",6.7
"924","2019-10-30",6.74
"925","2019-10-31",6.72
"926","2019-11-01",6.93
"927","2019-11-04",7.12
"928","2019-11-05",7.17
"929","2019-11-06",6.99
"930","2019-11-07",6.96
"931","2019-11-08",6.97
"932","2019-11-11",6.98
"933","2019-11-12",7.01
"934","2019-11-13",6.88
"935","2019-11-14",6.75
"936","2019-11-15",6.91
"937","2019-11-18",6.79
"938","2019-11-19",6.91
"939","2019-11-20",6.95
"940","2019-11-21",7.05
"941","2019-11-22",6.91
"942","2019-11-25",7.22
"943","2019-11-26",7.31
"944","2019-11-27",7.26
"945","2019-11-29",7.29
"946","2019-12-02",7.28
"947","2019-12-03",7.1
"948","2019-12-04",7.25
"949","2019-12-05",8.81
"950","2019-12-06",8.7
"951","2019-12-09",8.69
"952","2019-12-10",8.73
"953","2019-12-11",8.77
"954","2019-12-12",8.86
"955","2019-12-13",8.51
"956","2019-12-16",8.42
"957","2019-12-17",8.5
"958","2019-12-18",8.21
"959","2019-12-19",8.04
"960","2019-12-20",8.01
"961","2019-12-23",9.04
"962","2019-12-24",9.22
"963","2019-12-26",9.05
"964","2019-12-27",8.94
"965","2019-12-30",8.85
"966","2019-12-31",8.78
"967","2020-01-02",8.77
"968","2020-01-03",8.63
"969","2020-01-06",8.69
"970","2020-01-07",8.48
"971","2020-01-08",8.86
"972","2020-01-09",8.85
"973","2020-01-10",8.58
"974","2020-01-13",8.695
"975","2020-01-14",8.81
"976","2020-01-15",8.67
"977","2020-01-16",8.71
"978","2020-01-17",9.02
"979","2020-01-21",8.65
"980","2020-01-22",8.27
"981","2020-01-23",7.64
"982","2020-01-24",7.04
"983","2020-01-27",6.86
"984","2020-01-28",6.92
"985","2020-01-29",6.65
"986","2020-01-30",6.66
"987","2020-01-31",9.38
"988","2020-02-03",9.64
"989","2020-02-04",10.83
"990","2020-02-05",10.01
"991","2020-02-06",9.9
"992","2020-02-07",9.74
"993","2020-02-10",9.23
"994","2020-02-11",9.26
"995","2020-02-12",9.47
"996","2020-02-13",9.57
"997","2020-02-14",9.57
