"","date","NTRS"
"757","2010-01-04",52.529999
"758","2010-01-05",52.459999
"759","2010-01-06",51.700001
"760","2010-01-07",52.189999
"761","2010-01-08",52.419998
"762","2010-01-11",51.040001
"763","2010-01-12",50.950001
"764","2010-01-13",51.549999
"765","2010-01-14",51.299999
"766","2010-01-15",51.549999
"767","2010-01-19",52.43
"768","2010-01-20",55.439999
"769","2010-01-21",53.509998
"770","2010-01-22",52.07
"771","2010-01-25",51.990002
"772","2010-01-26",50.93
"773","2010-01-27",52.490002
"774","2010-01-28",51.59
"775","2010-01-29",50.52
"776","2010-02-01",52.169998
"777","2010-02-02",52.119999
"778","2010-02-03",51.610001
"779","2010-02-04",49.889999
"780","2010-02-05",50.540001
"781","2010-02-08",49.990002
"782","2010-02-09",50.080002
"783","2010-02-10",50.560001
"784","2010-02-11",50.34
"785","2010-02-12",50.009998
"786","2010-02-16",50.990002
"787","2010-02-17",51.84
"788","2010-02-18",52.470001
"789","2010-02-19",54.599998
"790","2010-02-22",54.650002
"791","2010-02-23",53.459999
"792","2010-02-24",53.560001
"793","2010-02-25",53.110001
"794","2010-02-26",53.290001
"795","2010-03-01",53.439999
"796","2010-03-02",53.41
"797","2010-03-03",53.459999
"798","2010-03-04",53.759998
"799","2010-03-05",54.889999
"800","2010-03-08",54.900002
"801","2010-03-09",54.799999
"802","2010-03-10",54.029999
"803","2010-03-11",54.049999
"804","2010-03-12",53.970001
"805","2010-03-15",54.259998
"806","2010-03-16",54.810001
"807","2010-03-17",55.799999
"808","2010-03-18",55.619999
"809","2010-03-19",55.450001
"810","2010-03-22",55.630001
"811","2010-03-23",55.790001
"812","2010-03-24",55.16
"813","2010-03-25",55.98
"814","2010-03-26",55.349998
"815","2010-03-29",55.189999
"816","2010-03-30",54.650002
"817","2010-03-31",55.259998
"818","2010-04-01",56.639999
"819","2010-04-05",57.169998
"820","2010-04-06",57.450001
"821","2010-04-07",56.91
"822","2010-04-08",57.82
"823","2010-04-09",58.009998
"824","2010-04-12",58.77
"825","2010-04-13",59.02
"826","2010-04-14",58.959999
"827","2010-04-15",58.650002
"828","2010-04-16",57.389999
"829","2010-04-19",58.369999
"830","2010-04-20",55.369999
"831","2010-04-21",54.73
"832","2010-04-22",55.630001
"833","2010-04-23",56.310001
"834","2010-04-26",55.310001
"835","2010-04-27",54.34
"836","2010-04-28",54.369999
"837","2010-04-29",55.650002
"838","2010-04-30",54.98
"839","2010-05-03",54.900002
"840","2010-05-04",53.919998
"841","2010-05-05",53.93
"842","2010-05-06",51.669998
"843","2010-05-07",51.799999
"844","2010-05-10",55.110001
"845","2010-05-11",54.450001
"846","2010-05-12",55.34
"847","2010-05-13",54.279999
"848","2010-05-14",53.18
"849","2010-05-17",53.82
"850","2010-05-18",52.790001
"851","2010-05-19",52.349998
"852","2010-05-20",50.099998
"853","2010-05-21",51.880001
"854","2010-05-24",50.650002
"855","2010-05-25",50.779999
"856","2010-05-26",50.48
"857","2010-05-27",51.970001
"858","2010-05-28",50.810001
"859","2010-06-01",49.82
"860","2010-06-02",51.110001
"861","2010-06-03",50.93
"862","2010-06-04",49.02
"863","2010-06-07",48.5
"864","2010-06-08",49.060001
"865","2010-06-09",48.75
"866","2010-06-10",49.5
"867","2010-06-11",49.93
"868","2010-06-14",49.34
"869","2010-06-15",50.759998
"870","2010-06-16",51.32
"871","2010-06-17",50.900002
"872","2010-06-18",50.299999
"873","2010-06-21",49.389999
"874","2010-06-22",48.610001
"875","2010-06-23",48.450001
"876","2010-06-24",47.439999
"877","2010-06-25",48.439999
"878","2010-06-28",48.299999
"879","2010-06-29",47.419998
"880","2010-06-30",46.700001
"881","2010-07-01",46.57
"882","2010-07-02",45.810001
"883","2010-07-06",45.959999
"884","2010-07-07",49.139999
"885","2010-07-08",47.900002
"886","2010-07-09",48.529999
"887","2010-07-12",49.09
"888","2010-07-13",50.139999
"889","2010-07-14",49.779999
"890","2010-07-15",49.73
"891","2010-07-16",48.360001
"892","2010-07-19",48.560001
"893","2010-07-20",49.32
"894","2010-07-21",47.16
"895","2010-07-22",46.970001
"896","2010-07-23",47.509998
"897","2010-07-26",48.220001
"898","2010-07-27",48.259998
"899","2010-07-28",47.639999
"900","2010-07-29",47.490002
"901","2010-07-30",46.990002
"902","2010-08-02",48.52
"903","2010-08-03",48.32
"904","2010-08-04",48.509998
"905","2010-08-05",49.110001
"906","2010-08-06",48.57
"907","2010-08-09",48.98
"908","2010-08-10",49.139999
"909","2010-08-11",49.099998
"910","2010-08-12",50.189999
"911","2010-08-13",49.389999
"912","2010-08-16",49.630001
"913","2010-08-17",50.5
"914","2010-08-18",49.810001
"915","2010-08-19",48.299999
"916","2010-08-20",48.310001
