"","date","TGI"
"679","2009-09-11",23.43
"680","2009-09-14",23.219999
"681","2009-09-15",23.290001
"682","2009-09-16",23.395
"683","2009-09-17",23.83
"684","2009-09-18",24.049999
"685","2009-09-21",23.879999
"686","2009-09-22",24.344999
"687","2009-09-23",24.445
"688","2009-09-24",23.870001
"689","2009-09-25",23.844999
"690","2009-09-28",24.639999
"691","2009-09-29",24.530001
"692","2009-09-30",23.995001
"693","2009-10-01",23.545
"694","2009-10-02",23.35
"695","2009-10-05",23.285
"696","2009-10-06",23.870001
"697","2009-10-07",23.825001
"698","2009-10-08",23.91
"699","2009-10-09",24.385
"700","2009-10-12",24.295
"701","2009-10-13",24.16
"702","2009-10-14",24.799999
"703","2009-10-15",24.700001
"704","2009-10-16",24.815001
"705","2009-10-19",25.205
"706","2009-10-20",24.725
"707","2009-10-21",24.610001
"708","2009-10-22",25.165001
"709","2009-10-23",24.780001
"710","2009-10-26",24.245001
"711","2009-10-27",24.415001
"712","2009-10-28",23.555
"713","2009-10-29",23.735001
"714","2009-10-30",23.405001
"715","2009-11-02",23.535
"716","2009-11-03",23.915001
"717","2009-11-04",24.35
"718","2009-11-05",24.950001
"719","2009-11-06",24.655001
"720","2009-11-09",24.945
"721","2009-11-10",24.715
"722","2009-11-11",24.895
"723","2009-11-12",24.1
"724","2009-11-13",24.575001
"725","2009-11-16",25.195
"726","2009-11-17",25.035
"727","2009-11-18",25.030001
"728","2009-11-19",24.135
"729","2009-11-20",24.385
"730","2009-11-23",24.9
"731","2009-11-24",24.6
"732","2009-11-25",24.67
"733","2009-11-27",24
"734","2009-11-30",23.995001
"735","2009-12-01",24.344999
"736","2009-12-02",24.594999
"737","2009-12-03",24.174999
"738","2009-12-04",24.700001
"739","2009-12-07",25.094999
"740","2009-12-08",24.805
"741","2009-12-09",24.475
"742","2009-12-10",24
"743","2009-12-11",24.485001
"744","2009-12-14",24.780001
"745","2009-12-15",24.74
"746","2009-12-16",24.684999
"747","2009-12-17",24.004999
"748","2009-12-18",24.035
"749","2009-12-21",24.105
"750","2009-12-22",24.09
"751","2009-12-23",24.049999
"752","2009-12-24",24.075001
"753","2009-12-28",24.195
"754","2009-12-29",24.559999
"755","2009-12-30",24.645
"756","2009-12-31",24.125
"757","2010-01-04",25.15
"758","2010-01-05",25.4
"759","2010-01-06",25.855
"760","2010-01-07",26.190001
"761","2010-01-08",26.344999
"762","2010-01-11",26.51
"763","2010-01-12",26.695
"764","2010-01-13",28.915001
"765","2010-01-14",28.514999
"766","2010-01-15",27.52
"767","2010-01-19",28.469999
"768","2010-01-20",27.625
"769","2010-01-21",26.690001
"770","2010-01-22",26.065001
"771","2010-01-25",25.514999
"772","2010-01-26",25.434999
"773","2010-01-27",26.264999
"774","2010-01-28",25.559999
"775","2010-01-29",25.465
"776","2010-02-01",25.709999
"777","2010-02-02",25.719999
"778","2010-02-03",25.725
"779","2010-02-04",24.184999
"780","2010-02-05",24.504999
"781","2010-02-08",24.5
"782","2010-02-09",25.1
"783","2010-02-10",25.075001
"784","2010-02-11",25.625
"785","2010-02-12",25.27
"786","2010-02-16",25.389999
"787","2010-02-17",25.514999
"788","2010-02-18",25.790001
"789","2010-02-19",25.870001
"790","2010-02-22",26.07
"791","2010-02-23",25.625
"792","2010-02-24",26.049999
"793","2010-02-25",26.24
"794","2010-02-26",26.17
"795","2010-03-01",26.700001
"796","2010-03-02",26.924999
"797","2010-03-03",26.695
"798","2010-03-04",26.745001
"799","2010-03-05",27.045
"800","2010-03-08",27.41
