"","date","ADSW"
"698","2019-07-17",32.32
"699","2019-07-18",32.34
"700","2019-07-19",32.34
"701","2019-07-22",32.32
"702","2019-07-23",32.349998
"703","2019-07-24",32.310001
"704","2019-07-25",32.450001
"705","2019-07-26",32.400002
"706","2019-07-29",32.48
"707","2019-07-30",32.540001
"708","2019-07-31",32.369999
"709","2019-08-01",32.43
"710","2019-08-02",32.450001
"711","2019-08-05",32.41
"712","2019-08-06",32.450001
"713","2019-08-07",32.459999
"714","2019-08-08",32.470001
"715","2019-08-09",32.48
"716","2019-08-12",32.419998
"717","2019-08-13",32.490002
"718","2019-08-14",32.41
"719","2019-08-15",32.490002
"720","2019-08-16",32.5
"721","2019-08-19",32.450001
"722","2019-08-20",32.470001
"723","2019-08-21",32.5
"724","2019-08-22",32.48
"725","2019-08-23",32.459999
"726","2019-08-26",32.490002
"727","2019-08-27",32.490002
"728","2019-08-28",32.490002
"729","2019-08-29",32.5
"730","2019-08-30",32.419998
"731","2019-09-03",32.509998
"732","2019-09-04",32.529999
"733","2019-09-05",32.509998
"734","2019-09-06",32.5
"735","2019-09-09",32.5
"736","2019-09-10",32.509998
"737","2019-09-11",32.509998
"738","2019-09-12",32.529999
"739","2019-09-13",32.540001
"740","2019-09-16",32.529999
"741","2019-09-17",32.540001
"742","2019-09-18",32.540001
"743","2019-09-19",32.57
"744","2019-09-20",32.560001
"745","2019-09-23",32.57
"746","2019-09-24",32.560001
"747","2019-09-25",32.549999
"748","2019-09-26",32.57
"749","2019-09-27",32.57
"750","2019-09-30",32.57
"751","2019-10-01",32.610001
"752","2019-10-02",32.619999
"753","2019-10-03",32.619999
"754","2019-10-04",32.630001
"755","2019-10-07",32.610001
"756","2019-10-08",32.630001
"757","2019-10-09",32.610001
"758","2019-10-10",32.610001
"759","2019-10-11",32.610001
"760","2019-10-14",32.630001
"761","2019-10-15",32.639999
"762","2019-10-16",32.639999
"763","2019-10-17",32.669998
"764","2019-10-18",32.68
"765","2019-10-21",32.689999
"766","2019-10-22",32.73
"767","2019-10-23",32.790001
"768","2019-10-24",32.810001
"769","2019-10-25",32.799999
"770","2019-10-28",32.82
"771","2019-10-29",32.82
"772","2019-10-30",32.98
"773","2019-10-31",32.779999
"774","2019-11-01",32.810001
"775","2019-11-04",32.849998
"776","2019-11-05",32.849998
"777","2019-11-06",32.84
"778","2019-11-07",32.889999
"779","2019-11-08",32.860001
"780","2019-11-11",32.779999
"781","2019-11-12",32.75
"782","2019-11-13",32.799999
"783","2019-11-14",32.810001
"784","2019-11-15",32.810001
"785","2019-11-18",32.849998
"786","2019-11-19",32.84
"787","2019-11-20",32.869999
"788","2019-11-21",32.880001
"789","2019-11-22",32.91
"790","2019-11-25",32.849998
"791","2019-11-26",32.880001
"792","2019-11-27",32.900002
"793","2019-11-29",32.950001
"794","2019-12-02",32.869999
"795","2019-12-03",32.93
"796","2019-12-04",32.84
"797","2019-12-05",32.830002
"798","2019-12-06",32.82
"799","2019-12-09",32.84
"800","2019-12-10",32.880001
"801","2019-12-11",32.830002
"802","2019-12-12",32.75
"803","2019-12-13",32.779999
"804","2019-12-16",32.830002
"805","2019-12-17",32.849998
"806","2019-12-18",32.900002
"807","2019-12-19",32.860001
"808","2019-12-20",32.900002
"809","2019-12-23",32.950001
"810","2019-12-24",32.900002
"811","2019-12-26",32.939999
"812","2019-12-27",32.900002
"813","2019-12-30",32.889999
"814","2019-12-31",32.869999
"815","2020-01-02",32.950001
"816","2020-01-03",32.950001
"817","2020-01-06",32.950001
"818","2020-01-07",32.919998
"819","2020-01-08",32.939999
"820","2020-01-09",32.939999
"821","2020-01-10",32.93
"822","2020-01-13",32.950001
"823","2020-01-14",32.93
"824","2020-01-15",32.91
"825","2020-01-16",32.93
"826","2020-01-17",32.939999
"827","2020-01-21",32.93
"828","2020-01-22",32.939999
"829","2020-01-23",32.959999
"830","2020-01-24",32.990002
"831","2020-01-27",32.970001
"832","2020-01-28",32.959999
"833","2020-01-29",32.970001
"834","2020-01-30",32.990002
"835","2020-01-31",32.950001
"836","2020-02-03",32.950001
"837","2020-02-04",32.939999
"838","2020-02-05",32.919998
"839","2020-02-06",32.91
"840","2020-02-07",32.93
"841","2020-02-10",32.93
"842","2020-02-11",32.950001
"843","2020-02-12",32.950001
"844","2020-02-13",33.040001
"845","2020-02-14",33
"846","2020-02-18",33.080002
"847","2020-02-19",33.060001
"848","2020-02-20",33.060001
"849","2020-02-21",33.07
"850","2020-02-24",33.099998
"851","2020-02-25",33.060001
"852","2020-02-26",33.02
"853","2020-02-27",32.959999
"854","2020-02-28",33.060001
"855","2020-03-02",32.970001
"856","2020-03-03",32.990002
"857","2020-03-04",32.98
"858","2020-03-05",32.98
"859","2020-03-06",33.060001
"860","2020-03-09",32.759998
"861","2020-03-10",32.950001
"862","2020-03-11",32.919998
"863","2020-03-12",32.349998
"864","2020-03-13",32.740002
"865","2020-03-16",32.799999
"866","2020-03-17",32.299999
"867","2020-03-18",30.49
"868","2020-03-19",31.84
"869","2020-03-20",31.299999
"870","2020-03-23",31.299999
"871","2020-03-24",32.34
"872","2020-03-25",32.310001
"873","2020-03-26",32.450001
"874","2020-03-27",32.459999
"875","2020-03-30",32.779999
"876","2020-03-31",32.799999
"877","2020-04-01",32.59
"878","2020-04-02",32.700001
"879","2020-04-03",32.369999
"880","2020-04-06",32.450001
"881","2020-04-07",32.66
"882","2020-04-08",32.59
"883","2020-04-09",32.630001
"884","2020-04-13",32.080002
"885","2020-04-14",32.099998
"886","2020-04-15",32.040001
"887","2020-04-16",32.099998
"888","2020-04-17",32.25
"889","2020-04-20",32.32
"890","2020-04-21",32.240002
"891","2020-04-22",32.310001
"892","2020-04-23",32.16
"893","2020-04-24",32.349998
"894","2020-04-27",32.330002
"895","2020-04-28",32.360001
"896","2020-04-29",32.369999
"897","2020-04-30",32.25
"898","2020-05-01",32.459999
"899","2020-05-04",32.43
"900","2020-05-05",32.400002
"901","2020-05-06",32.720001
"902","2020-05-07",32.700001
"903","2020-05-08",32.560001
"904","2020-05-11",32.57
"905","2020-05-12",32.57
"906","2020-05-13",32.57
"907","2020-05-14",32.580002
"908","2020-05-15",32.669998
"909","2020-05-18",32.560001
"910","2020-05-19",32.48
"911","2020-05-20",31.950001
"912","2020-05-21",31.98
"913","2020-05-22",31.940001
"914","2020-05-26",31.9
"915","2020-05-27",31.879999
"916","2020-05-28",31.309999
"917","2020-05-29",31.18
"918","2020-06-01",31.280001
"919","2020-06-02",31.559999
"920","2020-06-03",31.4
"921","2020-06-04",31.379999
"922","2020-06-05",31.790001
"923","2020-06-08",31.9
"924","2020-06-09",31.65
"925","2020-06-10",31.6
"926","2020-06-11",31.27
"927","2020-06-12",31.309999
"928","2020-06-15",31.34
"929","2020-06-16",31.950001
"930","2020-06-17",31.790001
"931","2020-06-18",31.559999
"932","2020-06-19",31.15
"933","2020-06-22",30.950001
"934","2020-06-23",31.16
"935","2020-06-24",30.17
"936","2020-06-25",30.16
"937","2020-06-26",30.15
"938","2020-06-29",30.17
"939","2020-06-30",30.17
"940","2020-07-01",30.15
"941","2020-07-02",30.15
"942","2020-07-06",30.110001
"943","2020-07-07",30.129999
"944","2020-07-08",30.120001
"945","2020-07-09",30.129999
"946","2020-07-10",30.139999
"947","2020-07-13",30.15
"948","2020-07-14",30.190001
"949","2020-07-15",30.15
"950","2020-07-16",30.16
"951","2020-07-17",30.15
"952","2020-07-20",30.17
"953","2020-07-21",30.16
"954","2020-07-22",30.15
"955","2020-07-23",30.16
"956","2020-07-24",30.16
"957","2020-07-27",30.200001
"958","2020-07-28",30.17
"959","2020-07-29",30.17
"960","2020-07-30",30.16
"961","2020-07-31",30.16
"962","2020-08-03",30.17
"963","2020-08-04",30.190001
"964","2020-08-05",30.219999
