"","date","AL"
"591","2013-08-23",26.610001
"592","2013-08-26",26.639999
"593","2013-08-27",26.32
"594","2013-08-28",26.059999
"595","2013-08-29",26.17
"596","2013-08-30",25.799999
"597","2013-09-03",26.01
"598","2013-09-04",26.190001
"599","2013-09-05",26.969999
"600","2013-09-06",26.549999
"601","2013-09-09",26.83
"602","2013-09-10",27.01
"603","2013-09-11",27.24
"604","2013-09-12",27.139999
"605","2013-09-13",27.1
"606","2013-09-16",27.200001
"607","2013-09-17",27.719999
"608","2013-09-18",28.4
"609","2013-09-19",28.059999
"610","2013-09-20",28.110001
"611","2013-09-23",27.74
"612","2013-09-24",27.65
"613","2013-09-25",27.77
"614","2013-09-26",27.84
"615","2013-09-27",27.629999
"616","2013-09-30",27.66
"617","2013-10-01",28.34
"618","2013-10-02",28.51
"619","2013-10-03",27.950001
"620","2013-10-04",28.17
"621","2013-10-07",28.15
"622","2013-10-08",27.780001
"623","2013-10-09",27.73
"624","2013-10-10",28.49
"625","2013-10-11",28.639999
"626","2013-10-14",28.65
"627","2013-10-15",28.559999
"628","2013-10-16",28.6
"629","2013-10-17",28.67
"630","2013-10-18",28.799999
"631","2013-10-21",28.9
"632","2013-10-22",28.959999
"633","2013-10-23",29.49
"634","2013-10-24",29.870001
"635","2013-10-25",30.23
"636","2013-10-28",30.469999
"637","2013-10-29",30.280001
"638","2013-10-30",29.700001
"639","2013-10-31",29.4
"640","2013-11-01",29.959999
"641","2013-11-04",30.58
"642","2013-11-05",30.219999
"643","2013-11-06",30.780001
"644","2013-11-07",30.15
"645","2013-11-08",31.83
"646","2013-11-11",31.74
"647","2013-11-12",31.940001
"648","2013-11-13",32.16
"649","2013-11-14",32.990002
"650","2013-11-15",33.290001
"651","2013-11-18",33
"652","2013-11-19",32.93
"653","2013-11-20",32.759998
"654","2013-11-21",31.469999
"655","2013-11-22",31.32
"656","2013-11-25",31.549999
"657","2013-11-26",31.459999
"658","2013-11-27",31.77
"659","2013-11-29",31.67
"660","2013-12-02",31.98
"661","2013-12-03",31.120001
"662","2013-12-04",30.969999
"663","2013-12-05",30.82
"664","2013-12-06",31.209999
"665","2013-12-09",31.629999
"666","2013-12-10",31.49
"667","2013-12-11",31.049999
"668","2013-12-12",31.35
"669","2013-12-13",30.91
"670","2013-12-16",31.33
"671","2013-12-17",30.879999
"672","2013-12-18",30.620001
"673","2013-12-19",30.65
"674","2013-12-20",31.200001
"675","2013-12-23",31.530001
"676","2013-12-24",31.49
"677","2013-12-26",31.309999
"678","2013-12-27",30.99
"679","2013-12-30",31.120001
"680","2013-12-31",31.08
"681","2014-01-02",30.530001
"682","2014-01-03",30.68
"683","2014-01-06",30.52
"684","2014-01-07",30.27
"685","2014-01-08",30.43
"686","2014-01-09",31.6
"687","2014-01-10",31.969999
"688","2014-01-13",31.889999
"689","2014-01-14",30.879999
"690","2014-01-15",31.620001
"691","2014-01-16",31.43
"692","2014-01-17",31.799999
"693","2014-01-21",32.5
"694","2014-01-22",32.900002
"695","2014-01-23",32.57
"696","2014-01-24",31.709999
"697","2014-01-27",31.51
"698","2014-01-28",32.009998
"699","2014-01-29",31.67
"700","2014-01-30",31.790001
"701","2014-01-31",31.48
"702","2014-02-03",30.610001
"703","2014-02-04",31.27
"704","2014-02-05",30.379999
"705","2014-02-06",31.41
"706","2014-02-07",31.49
"707","2014-02-10",30.92
"708","2014-02-11",32.169998
"709","2014-02-12",32.529999
"710","2014-02-13",32.610001
"711","2014-02-14",33.290001
"712","2014-02-18",34.5
"713","2014-02-19",34.220001
"714","2014-02-20",34.189999
"715","2014-02-21",35.369999
"716","2014-02-24",35.299999
"717","2014-02-25",35.139999
"718","2014-02-26",35.139999
"719","2014-02-27",35.52
"720","2014-02-28",36.950001
"721","2014-03-03",36.560001
"722","2014-03-04",36.68
"723","2014-03-05",36.279999
"724","2014-03-06",36.630001
"725","2014-03-07",36.759998
"726","2014-03-10",37.09
"727","2014-03-11",36.919998
"728","2014-03-12",37.099998
"729","2014-03-13",36.279999
"730","2014-03-14",36.52
"731","2014-03-17",37.389999
"732","2014-03-18",37.5
"733","2014-03-19",37.290001
"734","2014-03-20",37.689999
"735","2014-03-21",37.290001
"736","2014-03-24",37
"737","2014-03-25",36.939999
"738","2014-03-26",36.169998
"739","2014-03-27",36.060001
"740","2014-03-28",36.560001
"741","2014-03-31",37.290001
"742","2014-04-01",37.580002
"743","2014-04-02",37.59
"744","2014-04-03",37.610001
"745","2014-04-04",37.380001
"746","2014-04-07",36.639999
"747","2014-04-08",36.490002
"748","2014-04-09",37.25
"749","2014-04-10",36.900002
"750","2014-04-11",36
"751","2014-04-14",36.009998
"752","2014-04-15",36
"753","2014-04-16",36.43
"754","2014-04-17",36.32
"755","2014-04-21",36.130001
"756","2014-04-22",36.66
"757","2014-04-23",36.48
"758","2014-04-24",36.720001
"759","2014-04-25",35.990002
"760","2014-04-28",34.68
"761","2014-04-29",35.470001
"762","2014-04-30",35.869999
"763","2014-05-01",35.810001
"764","2014-05-02",36.610001
"765","2014-05-05",37.330002
"766","2014-05-06",37.639999
"767","2014-05-07",37.41
"768","2014-05-08",37.220001
"769","2014-05-09",38.740002
"770","2014-05-12",40.029999
"771","2014-05-13",39.66
"772","2014-05-14",39.139999
"773","2014-05-15",38.459999
"774","2014-05-16",38.369999
"775","2014-05-19",38.73
"776","2014-05-20",38.389999
"777","2014-05-21",38.27
"778","2014-05-22",38.68
"779","2014-05-23",38.709999
"780","2014-05-27",39.389999
"781","2014-05-28",40.02
"782","2014-05-29",41.189999
"783","2014-05-30",41.259998
"784","2014-06-02",41.799999
"785","2014-06-03",41.52
"786","2014-06-04",41.200001
"787","2014-06-05",42.380001
"788","2014-06-06",42.439999
"789","2014-06-09",42.32
"790","2014-06-10",41.889999
"791","2014-06-11",40.990002
"792","2014-06-12",37.610001
"793","2014-06-13",37.950001
"794","2014-06-16",37.669998
"795","2014-06-17",38.189999
"796","2014-06-18",38.77
"797","2014-06-19",39.259998
"798","2014-06-20",39.200001
"799","2014-06-23",39.27
"800","2014-06-24",38.220001
"801","2014-06-25",38.880001
"802","2014-06-26",38.580002
"803","2014-06-27",38.18
"804","2014-06-30",38.580002
"805","2014-07-01",38.59
"806","2014-07-02",38.450001
"807","2014-07-03",38.48
"808","2014-07-07",37.59
"809","2014-07-08",36.73
"810","2014-07-09",36.959999
"811","2014-07-10",36.41
"812","2014-07-11",36.709999
"813","2014-07-14",37.360001
"814","2014-07-15",37.450001
"815","2014-07-16",37.529999
"816","2014-07-17",36.93
"817","2014-07-18",37.509998
"818","2014-07-21",37.150002
"819","2014-07-22",37.150002
"820","2014-07-23",37
"821","2014-07-24",36.41
"822","2014-07-25",36.360001
"823","2014-07-28",35.98
"824","2014-07-29",35.389999
"825","2014-07-30",35.459999
"826","2014-07-31",34.450001
"827","2014-08-01",34.529999
"828","2014-08-04",35.549999
"829","2014-08-05",35.119999
"830","2014-08-06",35.41
"831","2014-08-07",35.299999
"832","2014-08-08",37.16
"833","2014-08-11",36.93
"834","2014-08-12",36.029999
"835","2014-08-13",36.09
"836","2014-08-14",36.18
"837","2014-08-15",36.07
"838","2014-08-18",37.07
"839","2014-08-19",37.84
"840","2014-08-20",37.57
"841","2014-08-21",37.849998
"842","2014-08-22",37.669998
"843","2014-08-25",38.130001
"844","2014-08-26",38.459999
"845","2014-08-27",38.150002
"846","2014-08-28",37.900002
"847","2014-08-29",37.900002
"848","2014-09-02",38.880001
"849","2014-09-03",37.970001
"850","2014-09-04",37.700001
"851","2014-09-05",37.709999
"852","2014-09-08",37.470001
"853","2014-09-09",37.57
"854","2014-09-10",37.369999
"855","2014-09-11",37.200001
"856","2014-09-12",36.860001
"857","2014-09-15",35.82
"858","2014-09-16",35.610001
"859","2014-09-17",35.580002
"860","2014-09-18",35.380001
"861","2014-09-19",34.889999
"862","2014-09-22",34.380001
"863","2014-09-23",33.950001
"864","2014-09-24",33.779999
"865","2014-09-25",33.189999
"866","2014-09-26",33.279999
"867","2014-09-29",33.080002
"868","2014-09-30",32.5
"869","2014-10-01",31.950001
"870","2014-10-02",32.48
"871","2014-10-03",33.25
"872","2014-10-06",33.669998
"873","2014-10-07",33.049999
"874","2014-10-08",33.549999
"875","2014-10-09",32.650002
"876","2014-10-10",31.84
"877","2014-10-13",31.059999
"878","2014-10-14",31.450001
"879","2014-10-15",31.440001
"880","2014-10-16",31.870001
"881","2014-10-17",32.490002
"882","2014-10-20",32.5
"883","2014-10-21",34.740002
"884","2014-10-22",34.169998
"885","2014-10-23",34.59
"886","2014-10-24",35.119999
"887","2014-10-27",35.25
"888","2014-10-28",36.27
"889","2014-10-29",35.849998
"890","2014-10-30",36.07
"891","2014-10-31",36.59
"892","2014-11-03",36.669998
"893","2014-11-04",36.669998
"894","2014-11-05",37.200001
"895","2014-11-06",37.509998
"896","2014-11-07",37.599998
"897","2014-11-10",37.740002
"898","2014-11-11",37.57
"899","2014-11-12",37.279999
"900","2014-11-13",36.939999
"901","2014-11-14",36.970001
"902","2014-11-17",36.68
"903","2014-11-18",37.049999
"904","2014-11-19",37.450001
"905","2014-11-20",37.5
"906","2014-11-21",37.459999
"907","2014-11-24",38.110001
"908","2014-11-25",38.740002
"909","2014-11-26",38.209999
"910","2014-11-28",38.029999
"911","2014-12-01",37.189999
"912","2014-12-02",36.91
"913","2014-12-03",37.029999
"914","2014-12-04",37.369999
"915","2014-12-05",37.43
"916","2014-12-08",36.68
"917","2014-12-09",35.939999
"918","2014-12-10",34.799999
"919","2014-12-11",34.700001
"920","2014-12-12",32.59
"921","2014-12-15",32.009998
"922","2014-12-16",31.67
"923","2014-12-17",33.139999
"924","2014-12-18",34.150002
"925","2014-12-19",34.380001
"926","2014-12-22",34.41
"927","2014-12-23",34.080002
"928","2014-12-24",34.200001
"929","2014-12-26",34.709999
"930","2014-12-29",34.900002
"931","2014-12-30",34.400002
"932","2014-12-31",34.310001
"933","2015-01-02",34.400002
"934","2015-01-05",33.470001
"935","2015-01-06",33.490002
"936","2015-01-07",33.439999
"937","2015-01-08",34.169998
"938","2015-01-09",33.220001
"939","2015-01-12",33.43
"940","2015-01-13",33.41
"941","2015-01-14",33.16
"942","2015-01-15",33.009998
"943","2015-01-16",33.18
"944","2015-01-20",33.27
"945","2015-01-21",34
"946","2015-01-22",34.48
"947","2015-01-23",34.549999
"948","2015-01-26",34.84
"949","2015-01-27",34.990002
"950","2015-01-28",35.040001
"951","2015-01-29",35.52
"952","2015-01-30",34.939999
"953","2015-02-02",36.060001
"954","2015-02-03",36.950001
"955","2015-02-04",37.279999
"956","2015-02-05",37.43
"957","2015-02-06",37.630001
"958","2015-02-09",37.709999
"959","2015-02-10",37.880001
"960","2015-02-11",37.900002
"961","2015-02-12",38.380001
"962","2015-02-13",38.650002
"963","2015-02-17",38.220001
"964","2015-02-18",38.549999
