"","date","HASI"
"850","2016-08-30",23.85
"851","2016-08-31",23.98
"852","2016-09-01",24.110001
"853","2016-09-02",24.709999
"854","2016-09-06",24.690001
"855","2016-09-07",24.889999
"856","2016-09-08",24.75
"857","2016-09-09",22.91
"858","2016-09-12",23.450001
"859","2016-09-13",23.1
"860","2016-09-14",22.48
"861","2016-09-15",22.440001
"862","2016-09-16",23.139999
"863","2016-09-19",23.18
"864","2016-09-20",23.049999
"865","2016-09-21",23.48
"866","2016-09-22",23.780001
"867","2016-09-23",23.559999
"868","2016-09-26",23.18
"869","2016-09-27",23.379999
"870","2016-09-28",23.530001
"871","2016-09-29",23.66
"872","2016-09-30",23.370001
"873","2016-10-03",22.459999
"874","2016-10-04",21.92
"875","2016-10-05",21.629999
"876","2016-10-06",21.59
"877","2016-10-07",21.379999
"878","2016-10-10",21.959999
"879","2016-10-11",22.15
"880","2016-10-12",22.190001
"881","2016-10-13",22.200001
"882","2016-10-14",22.030001
"883","2016-10-17",21.83
"884","2016-10-18",21.6
"885","2016-10-19",21.4
"886","2016-10-20",21.6
"887","2016-10-21",21.610001
"888","2016-10-24",22.040001
"889","2016-10-25",22.219999
"890","2016-10-26",22.459999
"891","2016-10-27",22.059999
"892","2016-10-28",22.469999
"893","2016-10-31",22.860001
"894","2016-11-01",22.120001
"895","2016-11-02",21.34
"896","2016-11-03",20.559999
"897","2016-11-04",19.959999
"898","2016-11-07",20.24
"899","2016-11-08",20.65
"900","2016-11-09",19.809999
"901","2016-11-10",19.84
"902","2016-11-11",20.26
"903","2016-11-14",19.49
"904","2016-11-15",19.719999
"905","2016-11-16",20.360001
"906","2016-11-17",20.4
"907","2016-11-18",20.280001
"908","2016-11-21",20.73
"909","2016-11-22",20.860001
"910","2016-11-23",20.73
"911","2016-11-25",20.84
"912","2016-11-28",20.639999
"913","2016-11-29",20.4
"914","2016-11-30",19.879999
"915","2016-12-01",19.25
"916","2016-12-02",19.17
"917","2016-12-05",19.66
"918","2016-12-06",19.49
"919","2016-12-07",19.530001
"920","2016-12-08",19.6
"921","2016-12-09",19.610001
"922","2016-12-12",19.540001
"923","2016-12-13",19.549999
"924","2016-12-14",19.030001
"925","2016-12-15",18.870001
"926","2016-12-16",19.540001
"927","2016-12-19",19.790001
"928","2016-12-20",19.799999
"929","2016-12-21",19.469999
"930","2016-12-22",19.35
"931","2016-12-23",19.540001
"932","2016-12-27",19.17
"933","2016-12-28",18.700001
"934","2016-12-29",19.049999
"935","2016-12-30",18.99
"936","2017-01-03",19.120001
"937","2017-01-04",19.190001
"938","2017-01-05",19.120001
"939","2017-01-06",19.51
"940","2017-01-09",19.969999
"941","2017-01-10",20.139999
"942","2017-01-11",19.799999
"943","2017-01-12",19.58
"944","2017-01-13",19.299999
"945","2017-01-17",19.48
"946","2017-01-18",19.389999
"947","2017-01-19",18.940001
"948","2017-01-20",19.129999
"949","2017-01-23",19.139999
"950","2017-01-24",19.059999
"951","2017-01-25",19.200001
"952","2017-01-26",19.02
"953","2017-01-27",18.959999
"954","2017-01-30",18.5
"955","2017-01-31",18.280001
"956","2017-02-01",18.200001
"957","2017-02-02",18.530001
"958","2017-02-03",18.35
"959","2017-02-06",18.120001
"960","2017-02-07",18.26
"961","2017-02-08",18.370001
"962","2017-02-09",18.690001
"963","2017-02-10",18.98
"964","2017-02-13",19.030001
"965","2017-02-14",18.9
"966","2017-02-15",18.950001
"967","2017-02-16",19.049999
"968","2017-02-17",19.25
"969","2017-02-21",19.52
"970","2017-02-22",19.190001
"971","2017-02-23",19.73
"972","2017-02-24",19.809999
"973","2017-02-27",19.92
"974","2017-02-28",19.790001
"975","2017-03-01",19.950001
"976","2017-03-02",19.889999
"977","2017-03-03",19.82
"978","2017-03-06",19.93
"979","2017-03-07",19.34
"980","2017-03-08",19
