"","date","AMEH"
"710","2011-12-30",1.5
"711","2012-01-03",1.5
"712","2012-01-04",1.5
"713","2012-01-05",1.5
"714","2012-01-06",1.5
"715","2012-01-09",1.5
"716","2012-01-10",1.5
"717","2012-01-11",1.5
"718","2012-01-12",1.5
"719","2012-01-13",1.5
"720","2012-01-17",1.5
"721","2012-01-18",1.5
"722","2012-01-19",1.5
"723","2012-01-20",1.5
"724","2012-01-23",1.5
"725","2012-01-24",1.5
"726","2012-01-25",1.5
"727","2012-01-26",1.5
"728","2012-01-27",1.5
"729","2012-01-30",1.5
"730","2012-01-31",1.5
"731","2012-02-01",1.5
"732","2012-02-02",1.5
"733","2012-02-03",1.5
"734","2012-02-06",1.5
"735","2012-02-07",1.9
"736","2012-02-08",1.9
"737","2012-02-09",1.9
"738","2012-02-10",1.9
"739","2012-02-13",1.2
"740","2012-02-14",1.3
"741","2012-02-15",1.5
"742","2012-02-16",1.5
"743","2012-02-17",1.5
"744","2012-02-21",1.5
"745","2012-02-22",1.5
"746","2012-02-23",1.5
"747","2012-02-24",1.5
"748","2012-02-27",1
"749","2012-02-28",1
"750","2012-02-29",1.2
"751","2012-03-01",1.2
"752","2012-03-02",1.2
"753","2012-03-05",1
"754","2012-03-06",0.9
"755","2012-03-07",1.2
"756","2012-03-08",1.2
"757","2012-03-09",1.2
"758","2012-03-12",1.2
"759","2012-03-13",1.3
"760","2012-03-14",1.3
"761","2012-03-15",1.3
"762","2012-03-16",1.4
"763","2012-03-19",1.4
"764","2012-03-20",1.4
"765","2012-03-21",1.4
"766","2012-03-22",1.4
"767","2012-03-23",1.4
"768","2012-03-26",1.4
"769","2012-03-27",1.4
"770","2012-03-28",1.4
"771","2012-03-29",1.4
"772","2012-03-30",1.5
"773","2012-04-02",1.5
"774","2012-04-03",1.5
"775","2012-04-04",1.5
"776","2012-04-05",1.5
"777","2012-04-09",1.5
"778","2012-04-10",1.5
"779","2012-04-11",1.5
"780","2012-04-12",1.5
"781","2012-04-13",1.5
"782","2012-04-16",1.5
"783","2012-04-17",1.5
"784","2012-04-18",1.5
"785","2012-04-19",1.5
"786","2012-04-20",1.5
"787","2012-04-23",1.5
"788","2012-04-24",1.5
"789","2012-04-25",1.5
"790","2012-04-26",1.5
"791","2012-04-27",1
"792","2012-04-30",1.4
"793","2012-05-01",1.4
"794","2012-05-02",1.4
"795","2012-05-03",1.4
