"","date","ARE"
"692","2009-09-30",54.349998
"693","2009-10-01",52.900002
"694","2009-10-02",51.799999
"695","2009-10-05",52.919998
"696","2009-10-06",52.830002
"697","2009-10-07",53.139999
"698","2009-10-08",53.900002
"699","2009-10-09",53.869999
"700","2009-10-12",53.380001
"701","2009-10-13",52.599998
"702","2009-10-14",54.27
"703","2009-10-15",53.950001
"704","2009-10-16",53.639999
"705","2009-10-19",54.73
"706","2009-10-20",54
"707","2009-10-21",53.43
"708","2009-10-22",55.029999
"709","2009-10-23",54.43
"710","2009-10-26",55.209999
"711","2009-10-27",54.779999
"712","2009-10-28",52.830002
"713","2009-10-29",55.169998
"714","2009-10-30",54.169998
"715","2009-11-02",53.830002
"716","2009-11-03",54.59
"717","2009-11-04",54.349998
"718","2009-11-05",56.529999
"719","2009-11-06",56.369999
"720","2009-11-09",59.91
"721","2009-11-10",60.740002
"722","2009-11-11",59.900002
"723","2009-11-12",58.810001
"724","2009-11-13",59.27
"725","2009-11-16",60.66
"726","2009-11-17",59.32
"727","2009-11-18",59.970001
"728","2009-11-19",58.23
"729","2009-11-20",57.400002
"730","2009-11-23",57.490002
"731","2009-11-24",57.099998
"732","2009-11-25",56.970001
"733","2009-11-27",55.25
"734","2009-11-30",56.369999
"735","2009-12-01",57.41
"736","2009-12-02",58.290001
"737","2009-12-03",58.110001
"738","2009-12-04",60.509998
"739","2009-12-07",58.580002
"740","2009-12-08",58.619999
"741","2009-12-09",58.310001
"742","2009-12-10",58.099998
"743","2009-12-11",58.139999
"744","2009-12-14",59.939999
"745","2009-12-15",60
"746","2009-12-16",61.82
"747","2009-12-17",62.34
"748","2009-12-18",63.220001
"749","2009-12-21",63.610001
"750","2009-12-22",64.169998
"751","2009-12-23",64.779999
"752","2009-12-24",66.589996
"753","2009-12-28",66.980003
"754","2009-12-29",65.809998
"755","2009-12-30",65.25
"756","2009-12-31",64.290001
"757","2010-01-04",63.549999
"758","2010-01-05",62.880001
"759","2010-01-06",62.549999
"760","2010-01-07",63.130001
"761","2010-01-08",62.919998
"762","2010-01-11",63.25
"763","2010-01-12",63.34
"764","2010-01-13",63.509998
"765","2010-01-14",63.490002
"766","2010-01-15",62.709999
"767","2010-01-19",63.450001
"768","2010-01-20",63.990002
"769","2010-01-21",62.299999
"770","2010-01-22",61.880001
"771","2010-01-25",62.049999
"772","2010-01-26",60.860001
"773","2010-01-27",60.869999
"774","2010-01-28",60.259998
"775","2010-01-29",59.73
"776","2010-02-01",60.720001
"777","2010-02-02",61.5
"778","2010-02-03",61.360001
"779","2010-02-04",58.669998
"780","2010-02-05",59.279999
"781","2010-02-08",57.369999
"782","2010-02-09",57.25
"783","2010-02-10",57.34
"784","2010-02-11",56.889999
"785","2010-02-12",58.380001
"786","2010-02-16",61.200001
"787","2010-02-17",61.07
"788","2010-02-18",61.689999
"789","2010-02-19",61.59
"790","2010-02-22",61.349998
"791","2010-02-23",61.759998
"792","2010-02-24",61.68
"793","2010-02-25",62
"794","2010-02-26",61.619999
"795","2010-03-01",61.900002
"796","2010-03-02",62.400002
"797","2010-03-03",62.43
"798","2010-03-04",62.189999
"799","2010-03-05",63.279999
"800","2010-03-08",64.470001
"801","2010-03-09",64.620003
"802","2010-03-10",64.82
"803","2010-03-11",64.900002
"804","2010-03-12",65.010002
"805","2010-03-15",65.260002
"806","2010-03-16",66.919998
"807","2010-03-17",67.339996
"808","2010-03-18",67.449997
"809","2010-03-19",66.589996
"810","2010-03-22",67.5
"811","2010-03-23",66.989998
"812","2010-03-24",67.400002
"813","2010-03-25",67.870003
"814","2010-03-26",68.230003
"815","2010-03-29",68.599998
"816","2010-03-30",68.169998
"817","2010-03-31",67.599998
"818","2010-04-01",68.029999
"819","2010-04-05",69.769997
"820","2010-04-06",71.839996
"821","2010-04-07",71.019997
"822","2010-04-08",71.199997
"823","2010-04-09",72.559998
"824","2010-04-12",71.5
"825","2010-04-13",72.760002
"826","2010-04-14",71.849998
"827","2010-04-15",70.239998
"828","2010-04-16",69.400002
"829","2010-04-19",69.529999
"830","2010-04-20",70.589996
"831","2010-04-21",70.550003
"832","2010-04-22",70.959999
"833","2010-04-23",74.190002
"834","2010-04-26",74.599998
"835","2010-04-27",72.160004
"836","2010-04-28",72.019997
"837","2010-04-29",73.910004
"838","2010-04-30",70.809998
"839","2010-05-03",73.019997
"840","2010-05-04",71.029999
"841","2010-05-05",70.169998
"842","2010-05-06",66.970001
"843","2010-05-07",65.010002
"844","2010-05-10",69.760002
"845","2010-05-11",69.940002
"846","2010-05-12",70.970001
"847","2010-05-13",69.809998
"848","2010-05-14",66.970001
"849","2010-05-17",66.879997
"850","2010-05-18",65.25
"851","2010-05-19",65.110001
"852","2010-05-20",62.029999
"853","2010-05-21",63.599998
"854","2010-05-24",63.209999
"855","2010-05-25",63.139999
"856","2010-05-26",62.919998
"857","2010-05-27",66.599998
"858","2010-05-28",65.580002
"859","2010-06-01",64.25
"860","2010-06-02",65.82
"861","2010-06-03",65.739998
"862","2010-06-04",62.360001
"863","2010-06-07",62.549999
"864","2010-06-08",65.199997
"865","2010-06-09",65.860001
"866","2010-06-10",69.480003
"867","2010-06-11",71.160004
"868","2010-06-14",71.910004
"869","2010-06-15",72.800003
"870","2010-06-16",72.230003
"871","2010-06-17",73.389999
"872","2010-06-18",73.18
"873","2010-06-21",71.870003
"874","2010-06-22",68.889999
"875","2010-06-23",69.279999
"876","2010-06-24",67.900002
"877","2010-06-25",68.489998
"878","2010-06-28",67.629997
"879","2010-06-29",63.779999
"880","2010-06-30",63.369999
"881","2010-07-01",63.41
"882","2010-07-02",61.75
"883","2010-07-06",60.830002
"884","2010-07-07",64.690002
"885","2010-07-08",65
"886","2010-07-09",65.209999
"887","2010-07-12",65.059998
"888","2010-07-13",67.230003
"889","2010-07-14",66.870003
"890","2010-07-15",66.339996
"891","2010-07-16",64.360001
"892","2010-07-19",65.349998
"893","2010-07-20",67.900002
"894","2010-07-21",66.230003
"895","2010-07-22",69.730003
"896","2010-07-23",70.910004
"897","2010-07-26",72.589996
"898","2010-07-27",72.089996
"899","2010-07-28",71.43
"900","2010-07-29",69.93
"901","2010-07-30",70.550003
"902","2010-08-02",72.830002
"903","2010-08-03",72
"904","2010-08-04",72.18
"905","2010-08-05",71.639999
"906","2010-08-06",72.339996
"907","2010-08-09",73.25
"908","2010-08-10",71.18
"909","2010-08-11",69.57
"910","2010-08-12",68.25
"911","2010-08-13",67.349998
"912","2010-08-16",67.470001
"913","2010-08-17",69.199997
"914","2010-08-18",70.349998
"915","2010-08-19",68.57
"916","2010-08-20",67.860001
"917","2010-08-23",67.75
"918","2010-08-24",67.870003
"919","2010-08-25",69.260002
"920","2010-08-26",68.959999
"921","2010-08-27",70.050003
"922","2010-08-30",69.559998
"923","2010-08-31",69.370003
"924","2010-09-01",69.809998
"925","2010-09-02",70.699997
"926","2010-09-03",71.860001
"927","2010-09-07",70.900002
"928","2010-09-08",71.269997
"929","2010-09-09",70.309998
"930","2010-09-10",70.349998
"931","2010-09-13",71.75
"932","2010-09-14",71.900002
"933","2010-09-15",72.059998
"934","2010-09-16",71.730003
"935","2010-09-17",72.169998
"936","2010-09-20",73.360001
"937","2010-09-21",72.910004
"938","2010-09-22",70.5
"939","2010-09-23",68.550003
"940","2010-09-24",70.010002
"941","2010-09-27",69.690002
"942","2010-09-28",70.160004
"943","2010-09-29",69.620003
"944","2010-09-30",70
"945","2010-10-01",71.050003
"946","2010-10-04",71.440002
"947","2010-10-05",72.349998
"948","2010-10-06",71.190002
