"","date","PDSB"
"704","2018-07-17",20.6
"705","2018-07-18",20.4
"706","2018-07-19",20.4
"707","2018-07-20",20
"708","2018-07-23",19.200001
"709","2018-07-24",19.459999
"710","2018-07-25",19.620001
"711","2018-07-26",19.799999
"712","2018-07-27",18.799999
"713","2018-07-30",18.719999
"714","2018-07-31",18.6
"715","2018-08-01",19.219999
"716","2018-08-02",18.84
"717","2018-08-03",18.6
"718","2018-08-06",18.6
"719","2018-08-07",19
"720","2018-08-08",18.6
"721","2018-08-09",18.6
"722","2018-08-10",18.200001
"723","2018-08-13",18
"724","2018-08-14",17.02
"725","2018-08-15",17.82
"726","2018-08-16",17.6
"727","2018-08-17",17.16
"728","2018-08-20",17.4
"729","2018-08-21",17.6
"730","2018-08-22",17.32
"731","2018-08-23",17.4
"732","2018-08-24",16.799999
"733","2018-08-27",16.4
"734","2018-08-28",16.6
"735","2018-08-29",17
"736","2018-08-30",17
"737","2018-08-31",17.799999
"738","2018-09-04",17.1
"739","2018-09-05",17.02
"740","2018-09-06",17
"741","2018-09-07",17.42
"742","2018-09-10",16.940001
"743","2018-09-11",16.4
"744","2018-09-12",16.360001
"745","2018-09-13",15.8
"746","2018-09-14",15.86
"747","2018-09-17",15.22
"748","2018-09-18",14
"749","2018-09-19",14.3
"750","2018-09-20",14.5
"751","2018-09-21",14.8
"752","2018-09-24",15.4
"753","2018-09-25",15.4
"754","2018-09-26",15
"755","2018-09-27",14.8
"756","2018-09-28",16.4
"757","2018-10-01",18.26
"758","2018-10-02",17.620001
"759","2018-10-03",19.700001
"760","2018-10-04",19.799999
"761","2018-10-05",21.799999
"762","2018-10-08",21.299999
"763","2018-10-09",20
"764","2018-10-10",19.299999
"765","2018-10-11",19.059999
"766","2018-10-12",17.959999
"767","2018-10-15",16.940001
"768","2018-10-16",16.66
"769","2018-10-17",16.52
"770","2018-10-18",16.26
"771","2018-10-19",15.7
"772","2018-10-22",15
"773","2018-10-23",15.14
"774","2018-10-24",15.6
"775","2018-10-25",15.24
"776","2018-10-26",14.96
"777","2018-10-29",14.44
"778","2018-10-30",14.66
"779","2018-10-31",14.4
"780","2018-11-01",14.14
"781","2018-11-02",14
"782","2018-11-05",13.9
"783","2018-11-06",13.7
"784","2018-11-07",13.9
"785","2018-11-08",14
"786","2018-11-09",14
"787","2018-11-12",13.4
"788","2018-11-13",13.34
"789","2018-11-14",13.5
"790","2018-11-15",14.24
"791","2018-11-16",14
"792","2018-11-19",13.42
"793","2018-11-20",14
