"","date","JEF"
"589","2009-05-05",21.479965
"590","2009-05-06",22.428148
"591","2009-05-07",20.860001
"592","2009-05-08",22.99341
"593","2009-05-11",22.282274
"594","2009-05-12",20.64119
"595","2009-05-13",18.50778
"596","2009-05-14",19.082159
"597","2009-05-15",18.088392
"598","2009-05-18",19.127745
"599","2009-05-19",19.073042
"600","2009-05-20",18.681005
"601","2009-05-21",17.77841
"602","2009-05-22",17.814878
"603","2009-05-26",18.234266
"604","2009-05-27",17.477545
"605","2009-05-28",18.389257
"606","2009-05-29",19.036573
"607","2009-06-01",19.848
"608","2009-06-02",19.957405
"609","2009-06-03",19.474197
"610","2009-06-04",20.13063
"611","2009-06-05",20.13063
"612","2009-06-08",19.78418
"613","2009-06-09",20.440613
"614","2009-06-10",20.905586
"615","2009-06-11",22.181986
"616","2009-06-12",21.634956
"617","2009-06-15",21.024109
"618","2009-06-16",20.814415
"619","2009-06-17",20.167099
"620","2009-06-18",20.039459
"621","2009-06-19",20.057693
"622","2009-06-22",18.981871
"623","2009-06-23",18.790411
"624","2009-06-24",18.835997
"625","2009-06-25",19.164215
"626","2009-06-26",19.446846
"627","2009-06-29",19.328323
"628","2009-06-30",19.228035
"629","2009-07-01",19.547134
"630","2009-07-02",18.270735
"631","2009-07-06",17.823996
"632","2009-07-07",17.267851
"633","2009-07-08",16.638769
"634","2009-07-09",17.067274
"635","2009-07-10",16.98522
"636","2009-07-13",17.687239
"637","2009-07-14",17.760176
"638","2009-07-15",18.598951
"639","2009-07-16",18.690123
"640","2009-07-17",18.453077
"641","2009-07-20",18.927168
"642","2009-07-21",18.990988
"643","2009-07-22",19.446846
"644","2009-07-23",21.279388
"645","2009-07-24",21.689661
"646","2009-07-27",21.954058
"647","2009-07-28",21.990526
"648","2009-07-29",21.169983
"649","2009-07-30",21.844652
"650","2009-07-31",22.336977
"651","2009-08-03",22.838419
"652","2009-08-04",23.093699
"653","2009-08-05",23.567789
"654","2009-08-06",23.421915
"655","2009-08-07",23.576906
"656","2009-08-10",23.385447
"657","2009-08-11",22.482851
"658","2009-08-12",23.449266
"659","2009-08-13",24.005411
"660","2009-08-14",23.576906
"661","2009-08-17",22.209337
"662","2009-08-18",22.546671
"663","2009-08-19",22.829302
"664","2009-08-20",22.829302
"665","2009-08-21",23.31251
"666","2009-08-24",23.084581
"667","2009-08-25",23.339861
"668","2009-08-26",23.367212
"669","2009-08-27",23.303392
"670","2009-08-28",22.574022
"671","2009-08-31",22.674311
"672","2009-09-01",21.543785
"673","2009-09-02",21.388794
"674","2009-09-03",21.379677
"675","2009-09-04",21.844652
"676","2009-09-08",22.701662
"677","2009-09-09",22.628725
"678","2009-09-10",22.856653
"679","2009-09-11",23.05723
"680","2009-09-14",23.494852
"681","2009-09-15",23.239573
"682","2009-09-16",23.431032
"683","2009-09-17",23.485735
"684","2009-09-18",23.148401
"685","2009-09-21",23.193987
"686","2009-09-22",23.285158
"687","2009-09-23",22.984293
"688","2009-09-24",22.382563
"689","2009-09-25",22.00876
"690","2009-09-28",22.792833
"691","2009-09-29",22.592257
"692","2009-09-30",22.537554
"693","2009-10-01",21.142632
"694","2009-10-02",20.960289
"695","2009-10-05",21.662308
"696","2009-10-06",21.963175
"697","2009-10-07",21.72613
"698","2009-10-08",22.154634
"699","2009-10-09",22.300508
"700","2009-10-12",22.765482
"701","2009-10-13",23.212221
"702","2009-10-14",23.72278
"703","2009-10-15",23.731897
"704","2009-10-16",22.701662
"705","2009-10-19",22.738131
"706","2009-10-20",21.990526
"707","2009-10-21",22.017878
"708","2009-10-22",22.437265
"709","2009-10-23",22.090815
"710","2009-10-26",21.926706
"711","2009-10-27",21.379677
"712","2009-10-28",20.768829
"713","2009-10-29",21.516434
"714","2009-10-30",20.486198
"715","2009-11-02",20.796181
"716","2009-11-03",20.677658
"717","2009-11-04",20.604721
"718","2009-11-05",20.869118
"719","2009-11-06",20.796181
"720","2009-11-09",21.270271
"721","2009-11-10",20.969406
"722","2009-11-11",20.98764
"723","2009-11-12",20.659424
"724","2009-11-13",20.495316
"725","2009-11-16",20.942055
"726","2009-11-17",20.960289
"727","2009-11-18",20.695892
"728","2009-11-19",20.249153
"729","2009-11-20",19.975639
"730","2009-11-23",20.057693
"731","2009-11-24",20.048576
"732","2009-11-25",20.139748
"733","2009-11-27",19.474197
"734","2009-11-30",19.620071
"735","2009-12-01",20.568253
"736","2009-12-02",20.796181
"737","2009-12-03",20.841766
"738","2009-12-04",21.343208
"739","2009-12-07",21.133514
"740","2009-12-08",20.969406
"741","2009-12-09",20.677658
"742","2009-12-10",20.358559
"743","2009-12-11",20.495316
"744","2009-12-14",20.832649
"745","2009-12-15",20.44973
"746","2009-12-16",21.124397
"747","2009-12-17",20.878235
"748","2009-12-18",21.069695
"749","2009-12-21",21.625839
"750","2009-12-22",21.944941
"751","2009-12-23",21.981409
"752","2009-12-24",22.346094
"753","2009-12-28",22.154634
"754","2009-12-29",22.127283
"755","2009-12-30",21.890238
"756","2009-12-31",21.689661
"757","2010-01-04",22.564905
"758","2010-01-05",22.920473
"759","2010-01-06",23.631609
"760","2010-01-07",23.485735
"761","2010-01-08",23.421915
"762","2010-01-11",23.567789
"763","2010-01-12",23.130167
"764","2010-01-13",23.376329
"765","2010-01-14",23.221338
"766","2010-01-15",22.619608
"767","2010-01-19",22.747248
"768","2010-01-20",22.610491
"769","2010-01-21",22.346094
"770","2010-01-22",21.489082
"771","2010-01-25",21.780832
"772","2010-01-26",21.060577
"773","2010-01-27",21.024109
"774","2010-01-28",20.814415
"775","2010-01-29",20.358559
"776","2010-02-01",21.033226
"777","2010-02-02",21.407028
"778","2010-02-03",21.261154
"779","2010-02-04",19.875351
"780","2010-02-05",20.012108
"781","2010-02-08",19.802414
"782","2010-02-09",20.057693
"783","2010-02-10",19.866234
"784","2010-02-11",20.13063
"785","2010-02-12",19.893585
"786","2010-02-16",20.467964
"787","2010-02-17",20.887352
"788","2010-02-18",21.05146
"789","2010-02-19",21.142632
"790","2010-02-22",21.334091
"791","2010-02-23",20.668541
"792","2010-02-24",21.024109
"793","2010-02-25",21.270271
"794","2010-02-26",21.644073
"795","2010-03-01",22.218454
"796","2010-03-02",22.364328
"797","2010-03-03",22.346094
"798","2010-03-04",22.300508
"799","2010-03-05",22.747248
"800","2010-03-08",22.774599
"801","2010-03-09",22.920473
"802","2010-03-10",22.811068
"803","2010-03-11",23.075464
"804","2010-03-12",23.029879
"805","2010-03-15",22.847536
"806","2010-03-16",23.102816
"807","2010-03-17",23.330744
"808","2010-03-18",23.303392
"809","2010-03-19",23.130167
"810","2010-03-22",23.348978
"811","2010-03-23",23.540438
"812","2010-03-24",23.285158
"813","2010-03-25",23.029879
"814","2010-03-26",22.938707
"815","2010-03-29",22.792833
"816","2010-03-30",22.820185
"817","2010-03-31",22.619608
"818","2010-04-01",23.12105
"819","2010-04-05",23.303392
"820","2010-04-06",23.622492
"821","2010-04-07",23.339861
"822","2010-04-08",23.24869
"823","2010-04-09",23.321627
"824","2010-04-12",24.470387
"825","2010-04-13",24.625378
"826","2010-04-14",25.300045
"827","2010-04-15",25.573559
"828","2010-04-16",24.433918
"829","2010-04-19",24.588909
"830","2010-04-20",24.625378
"831","2010-04-21",24.306278
"832","2010-04-22",24.187754
"833","2010-04-23",24.260693
