"","date","EIGR"
"668","2016-09-22",14.05
"669","2016-09-23",14
"670","2016-09-26",13.85
"671","2016-09-27",13.84
"672","2016-09-28",13.87
"673","2016-09-29",13.48
"674","2016-09-30",13.39
"675","2016-10-03",13.35
"676","2016-10-04",13.28
"677","2016-10-05",13.08
"678","2016-10-06",13.02
"679","2016-10-07",12.95
"680","2016-10-10",12.99
"681","2016-10-11",13.05
"682","2016-10-12",12.76
"683","2016-10-13",12.04
"684","2016-10-14",11.31
"685","2016-10-17",11.98
"686","2016-10-18",12.65
"687","2016-10-19",13.04
"688","2016-10-20",14.39
"689","2016-10-21",14.37
"690","2016-10-24",13.17
"691","2016-10-25",12.65
"692","2016-10-26",12.27
"693","2016-10-27",12.03
"694","2016-10-28",11.78
"695","2016-10-31",11.45
"696","2016-11-01",11.7
"697","2016-11-02",11.6
"698","2016-11-03",11.3
"699","2016-11-04",10.9
"700","2016-11-07",11.2
"701","2016-11-08",11
"702","2016-11-09",11.9
"703","2016-11-10",12.9
"704","2016-11-11",13.5
"705","2016-11-14",11.75
"706","2016-11-15",12.25
"707","2016-11-16",12.45
"708","2016-11-17",12.8
"709","2016-11-18",13.3
"710","2016-11-21",12.9
"711","2016-11-22",12.95
"712","2016-11-23",12.75
"713","2016-11-25",13
"714","2016-11-28",12.5
"715","2016-11-29",12.35
"716","2016-11-30",12.3
"717","2016-12-01",11.85
"718","2016-12-02",11.7
"719","2016-12-05",11.75
"720","2016-12-06",12.65
"721","2016-12-07",11.8
"722","2016-12-08",12.65
"723","2016-12-09",11.9
"724","2016-12-12",11.55
"725","2016-12-13",11.55
"726","2016-12-14",11.2
"727","2016-12-15",11.7
"728","2016-12-16",11.55
"729","2016-12-19",11.75
"730","2016-12-20",12.3
"731","2016-12-21",11.55
"732","2016-12-22",11.05
"733","2016-12-23",11.35
"734","2016-12-27",11.2
"735","2016-12-28",10.95
"736","2016-12-29",10.85
"737","2016-12-30",11.65
"738","2017-01-03",11.9
"739","2017-01-04",12
"740","2017-01-05",11.8
"741","2017-01-06",11.95
"742","2017-01-09",11.7
"743","2017-01-10",11.85
