"","date","FE"
"699","2009-10-09",45.810001
"700","2009-10-12",46.049999
"701","2009-10-13",46.380001
"702","2009-10-14",46.5
"703","2009-10-15",47.16
"704","2009-10-16",47.130001
"705","2009-10-19",47.34
"706","2009-10-20",46.48
"707","2009-10-21",46.459999
"708","2009-10-22",46.549999
"709","2009-10-23",45.93
"710","2009-10-26",44.990002
"711","2009-10-27",43.990002
"712","2009-10-28",43.669998
"713","2009-10-29",44.360001
"714","2009-10-30",43.279999
"715","2009-11-02",42.450001
"716","2009-11-03",42.040001
"717","2009-11-04",42
"718","2009-11-05",42.610001
"719","2009-11-06",42.389999
"720","2009-11-09",43.220001
"721","2009-11-10",43.23
"722","2009-11-11",42.810001
"723","2009-11-12",41.639999
"724","2009-11-13",42.07
"725","2009-11-16",42.57
"726","2009-11-17",42.650002
"727","2009-11-18",42.68
"728","2009-11-19",42.049999
"729","2009-11-20",41.950001
"730","2009-11-23",42.110001
"731","2009-11-24",42.400002
"732","2009-11-25",43.16
"733","2009-11-27",42.610001
"734","2009-11-30",43.080002
"735","2009-12-01",43.450001
"736","2009-12-02",43.900002
"737","2009-12-03",44.919998
"738","2009-12-04",44.599998
"739","2009-12-07",44.900002
"740","2009-12-08",44.400002
"741","2009-12-09",44.810001
"742","2009-12-10",45.82
"743","2009-12-11",46.689999
"744","2009-12-14",47.279999
"745","2009-12-15",47.240002
"746","2009-12-16",46.400002
"747","2009-12-17",46.77
"748","2009-12-18",46.869999
"749","2009-12-21",47.18
"750","2009-12-22",46.880001
"751","2009-12-23",47.330002
"752","2009-12-24",47.459999
"753","2009-12-28",47.310001
"754","2009-12-29",47.299999
"755","2009-12-30",47.490002
"756","2009-12-31",46.450001
"757","2010-01-04",46.77
"758","2010-01-05",46.25
"759","2010-01-06",46.75
"760","2010-01-07",46.049999
"761","2010-01-08",45.810001
"762","2010-01-11",46.610001
"763","2010-01-12",46.68
"764","2010-01-13",46.950001
"765","2010-01-14",46.869999
"766","2010-01-15",46.689999
"767","2010-01-19",47.029999
"768","2010-01-20",46.369999
"769","2010-01-21",45.139999
"770","2010-01-22",44.130001
"771","2010-01-25",44.389999
"772","2010-01-26",44.610001
"773","2010-01-27",44.220001
"774","2010-01-28",43.66
"775","2010-01-29",43.619999
"776","2010-02-01",43.75
"777","2010-02-02",44.099998
"778","2010-02-03",42.860001
"779","2010-02-04",41.919998
"780","2010-02-05",41.549999
"781","2010-02-08",40.990002
"782","2010-02-09",41.740002
"783","2010-02-10",41.459999
"784","2010-02-11",39.59
"785","2010-02-12",39.189999
"786","2010-02-16",39.209999
"787","2010-02-17",38.57
"788","2010-02-18",38.799999
"789","2010-02-19",39.700001
"790","2010-02-22",39.740002
"791","2010-02-23",39.209999
"792","2010-02-24",39.119999
"793","2010-02-25",39.07
"794","2010-02-26",38.650002
"795","2010-03-01",39.07
"796","2010-03-02",39.32
"797","2010-03-03",38.919998
"798","2010-03-04",38.919998
"799","2010-03-05",39.610001
"800","2010-03-08",39.509998
"801","2010-03-09",39.459999
"802","2010-03-10",39.759998
"803","2010-03-11",39.73
"804","2010-03-12",39.450001
"805","2010-03-15",39.689999
"806","2010-03-16",39.849998
"807","2010-03-17",39.990002
"808","2010-03-18",39.59
"809","2010-03-19",39.779999
"810","2010-03-22",39.880001
"811","2010-03-23",40.439999
"812","2010-03-24",40.27
"813","2010-03-25",39.009998
"814","2010-03-26",38.790001
"815","2010-03-29",38.990002
"816","2010-03-30",38.880001
"817","2010-03-31",39.09
"818","2010-04-01",39.459999
"819","2010-04-05",39.52
"820","2010-04-06",39.869999
"821","2010-04-07",39.52
"822","2010-04-08",39.450001
"823","2010-04-09",39.57
"824","2010-04-12",39.639999
"825","2010-04-13",39.25
"826","2010-04-14",38.849998
"827","2010-04-15",38.59
"828","2010-04-16",37.849998
"829","2010-04-19",37.540001
"830","2010-04-20",37.799999
"831","2010-04-21",37.68
"832","2010-04-22",37.34
"833","2010-04-23",37.509998
"834","2010-04-26",37.32
"835","2010-04-27",36.900002
"836","2010-04-28",37.459999
"837","2010-04-29",37.400002
"838","2010-04-30",37.869999
"839","2010-05-03",37.849998
"840","2010-05-04",37.07
"841","2010-05-05",35.720001
"842","2010-05-06",34.869999
"843","2010-05-07",35.060001
"844","2010-05-10",35.93
"845","2010-05-11",35.869999
"846","2010-05-12",36.439999
"847","2010-05-13",36.759998
"848","2010-05-14",36.740002
"849","2010-05-17",36.549999
"850","2010-05-18",35.919998
"851","2010-05-19",35.73
"852","2010-05-20",34.709999
"853","2010-05-21",34.880001
"854","2010-05-24",34.650002
"855","2010-05-25",34.380001
"856","2010-05-26",34.43
"857","2010-05-27",35.240002
"858","2010-05-28",35.209999
"859","2010-06-01",34.029999
"860","2010-06-02",34.82
"861","2010-06-03",35.57
"862","2010-06-04",35.220001
"863","2010-06-07",36.16
"864","2010-06-08",36.470001
"865","2010-06-09",36.119999
"866","2010-06-10",37
"867","2010-06-11",36.880001
"868","2010-06-14",37.18
"869","2010-06-15",37.869999
"870","2010-06-16",37.93
"871","2010-06-17",38.540001
"872","2010-06-18",38.470001
"873","2010-06-21",37.75
"874","2010-06-22",36.41
"875","2010-06-23",36.099998
"876","2010-06-24",36.07
"877","2010-06-25",36.009998
"878","2010-06-28",36.27
"879","2010-06-29",35.470001
"880","2010-06-30",35.23
"881","2010-07-01",34.959999
"882","2010-07-02",34.599998
"883","2010-07-06",34.98
"884","2010-07-07",36.029999
"885","2010-07-08",36.41
"886","2010-07-09",37.009998
"887","2010-07-12",37.259998
"888","2010-07-13",37.470001
"889","2010-07-14",37.52
"890","2010-07-15",37.57
"891","2010-07-16",37.110001
"892","2010-07-19",37.650002
"893","2010-07-20",37.939999
"894","2010-07-21",37.849998
"895","2010-07-22",38.43
"896","2010-07-23",37.84
"897","2010-07-26",37.869999
"898","2010-07-27",38.810001
"899","2010-07-28",38.73
"900","2010-07-29",38.080002
"901","2010-07-30",37.700001
"902","2010-08-02",38.439999
"903","2010-08-03",38.599998
"904","2010-08-04",37.849998
"905","2010-08-05",37.709999
"906","2010-08-06",37.52
"907","2010-08-09",37.470001
"908","2010-08-10",37.330002
"909","2010-08-11",36.299999
"910","2010-08-12",35.77
"911","2010-08-13",36.240002
"912","2010-08-16",36.490002
"913","2010-08-17",37.060001
"914","2010-08-18",36.869999
"915","2010-08-19",36.169998
"916","2010-08-20",35.84
"917","2010-08-23",36.080002
"918","2010-08-24",35.950001
"919","2010-08-25",35.889999
"920","2010-08-26",35.82
"921","2010-08-27",36.66
"922","2010-08-30",36.330002
"923","2010-08-31",36.529999
"924","2010-09-01",37.450001
"925","2010-09-02",37.459999
"926","2010-09-03",37.779999
"927","2010-09-07",37.43
"928","2010-09-08",37.369999
"929","2010-09-09",37.599998
"930","2010-09-10",37.400002
"931","2010-09-13",37.34
"932","2010-09-14",36.709999
"933","2010-09-15",36.529999
"934","2010-09-16",36.240002
"935","2010-09-17",36.310001
"936","2010-09-20",36.720001
"937","2010-09-21",36.419998
"938","2010-09-22",37.07
"939","2010-09-23",37.389999
"940","2010-09-24",38.099998
"941","2010-09-27",38.400002
"942","2010-09-28",38.34
"943","2010-09-29",38.540001
"944","2010-09-30",38.540001
"945","2010-10-01",38.889999
"946","2010-10-04",38.57
"947","2010-10-05",38.82
