"","date","SNSS"
"682","2009-09-16",169.199997
"683","2009-09-17",180
"684","2009-09-18",172.800003
"685","2009-09-21",176.399994
"686","2009-09-22",176.399994
"687","2009-09-23",165.600006
"688","2009-09-24",158.399994
"689","2009-09-25",169.199997
"690","2009-09-28",162
"691","2009-09-29",147.600006
"692","2009-09-30",144
"693","2009-10-01",140.399994
"694","2009-10-02",136.800003
"695","2009-10-05",136.800003
"696","2009-10-06",140.399994
"697","2009-10-07",151.199997
"698","2009-10-08",140.399994
"699","2009-10-09",151.199997
"700","2009-10-12",140.399994
"701","2009-10-13",133.199997
"702","2009-10-14",144
"703","2009-10-15",151.199997
"704","2009-10-16",151.199997
"705","2009-10-19",151.199997
"706","2009-10-20",144
"707","2009-10-21",136.800003
"708","2009-10-22",140.399994
"709","2009-10-23",144
"710","2009-10-26",147.600006
"711","2009-10-27",140.399994
"712","2009-10-28",133.199997
"713","2009-10-29",136.800003
"714","2009-10-30",133.199997
"715","2009-11-02",133.199997
"716","2009-11-03",129.600006
"717","2009-11-04",136.800003
"718","2009-11-05",129.600006
"719","2009-11-06",140.399994
"720","2009-11-09",129.600006
"721","2009-11-10",126
"722","2009-11-11",136.800003
"723","2009-11-12",136.800003
"724","2009-11-13",136.800003
"725","2009-11-16",129.600006
"726","2009-11-17",115.199997
"727","2009-11-18",108
"728","2009-11-19",115.199997
"729","2009-11-20",115.199997
"730","2009-11-23",111.599998
"731","2009-11-24",111.599998
"732","2009-11-25",111.599998
"733","2009-11-27",108
"734","2009-11-30",115.199997
"735","2009-12-01",115.199997
"736","2009-12-02",129.600006
"737","2009-12-03",158.399994
"738","2009-12-04",151.199997
"739","2009-12-07",158.399994
"740","2009-12-08",190.800003
"741","2009-12-09",216
"742","2009-12-10",500.399994
"743","2009-12-11",619.200012
"744","2009-12-14",752.400024
"745","2009-12-15",630
"746","2009-12-16",504
"747","2009-12-17",576
"748","2009-12-18",540
"749","2009-12-21",489.600006
"750","2009-12-22",471.600006
"751","2009-12-23",482.399994
"752","2009-12-24",460.799988
"753","2009-12-28",414
"754","2009-12-29",410.399994
"755","2009-12-30",388.799988
"756","2009-12-31",385.200012
"757","2010-01-04",392.399994
"758","2010-01-05",388.799988
"759","2010-01-06",482.399994
"760","2010-01-07",475.200012
"761","2010-01-08",529.200012
"762","2010-01-11",496.799988
"763","2010-01-12",468
"764","2010-01-13",457.200012
"765","2010-01-14",468
"766","2010-01-15",453.600006
"767","2010-01-19",453.600006
"768","2010-01-20",475.200012
"769","2010-01-21",460.799988
"770","2010-01-22",439.200012
"771","2010-01-25",428.399994
"772","2010-01-26",410.399994
"773","2010-01-27",396
"774","2010-01-28",378
"775","2010-01-29",356.399994
"776","2010-02-01",324
"777","2010-02-02",352.799988
"778","2010-02-03",352.799988
"779","2010-02-04",342
"780","2010-02-05",327.600006
"781","2010-02-08",306
"782","2010-02-09",295.200012
"783","2010-02-10",288
"784","2010-02-11",327.600006
"785","2010-02-12",385.200012
"786","2010-02-16",367.200012
"787","2010-02-17",345.600006
"788","2010-02-18",334.799988
"789","2010-02-19",331.200012
"790","2010-02-22",334.799988
"791","2010-02-23",324
"792","2010-02-24",320.399994
"793","2010-02-25",320.399994
"794","2010-02-26",324
