"","date","UFPI"
"601","2009-05-21",9.743333
"602","2009-05-22",9.66
"603","2009-05-26",10.36
"604","2009-05-27",9.953333
"605","2009-05-28",9.993333
"606","2009-05-29",10.153334
"607","2009-06-01",10.723333
"608","2009-06-02",11.013333
"609","2009-06-03",10.84
"610","2009-06-04",10.95
"611","2009-06-05",10.943334
"612","2009-06-08",10.64
"613","2009-06-09",10.646667
"614","2009-06-10",10.23
"615","2009-06-11",9.86
"616","2009-06-12",9.803333
"617","2009-06-15",9.933333
"618","2009-06-16",10.206667
"619","2009-06-17",10.953333
"620","2009-06-18",11.426666
"621","2009-06-19",11.886666
"622","2009-06-22",10.87
"623","2009-06-23",11.19
"624","2009-06-24",11.04
"625","2009-06-25",11.356667
"626","2009-06-26",11.636666
"627","2009-06-29",11.466666
"628","2009-06-30",11.03
"629","2009-07-01",11.31
"630","2009-07-02",10.72
"631","2009-07-06",10.723333
"632","2009-07-07",10.516666
"633","2009-07-08",10.323334
"634","2009-07-09",10.746667
"635","2009-07-10",10.823334
"636","2009-07-13",10.943334
"637","2009-07-14",11.003333
"638","2009-07-15",11.553333
"639","2009-07-16",13.603333
"640","2009-07-17",13.92
"641","2009-07-20",14.79
"642","2009-07-21",14.576667
"643","2009-07-22",14.513333
"644","2009-07-23",14.776667
"645","2009-07-24",14.7
"646","2009-07-27",14.743333
"647","2009-07-28",14.6
"648","2009-07-29",14.923333
"649","2009-07-30",14.86
"650","2009-07-31",14.88
"651","2009-08-03",15.426666
"652","2009-08-04",15.5
"653","2009-08-05",15.12
"654","2009-08-06",14.826667
"655","2009-08-07",15.646667
"656","2009-08-10",15.11
"657","2009-08-11",14.576667
"658","2009-08-12",14.97
"659","2009-08-13",14.723333
"660","2009-08-14",14.016666
"661","2009-08-17",13.646667
"662","2009-08-18",14.23
"663","2009-08-19",14.15
"664","2009-08-20",14.333333
"665","2009-08-21",14.863334
"666","2009-08-24",14.716666
"667","2009-08-25",15.03
"668","2009-08-26",15.186666
"669","2009-08-27",14.596666
"670","2009-08-28",14.23
"671","2009-08-31",13.766666
"672","2009-09-01",13.263333
"673","2009-09-02",13.123333
"674","2009-09-03",13.213333
"675","2009-09-04",13.136666
"676","2009-09-08",13.393333
"677","2009-09-09",13.496667
"678","2009-09-10",13.533334
"679","2009-09-11",13.656667
"680","2009-09-14",13.63
"681","2009-09-15",13.9
"682","2009-09-16",14.32
"683","2009-09-17",14.33
"684","2009-09-18",14.036667
"685","2009-09-21",13.79
"686","2009-09-22",13.896667
"687","2009-09-23",13.586667
"688","2009-09-24",13.363334
"689","2009-09-25",13.253333
"690","2009-09-28",13.353333
"691","2009-09-29",13.516666
"692","2009-09-30",13.153334
"693","2009-10-01",12.54
"694","2009-10-02",12.693334
"695","2009-10-05",12.87
"696","2009-10-06",13.126667
"697","2009-10-07",12.983334
"698","2009-10-08",13.53
"699","2009-10-09",13.36
"700","2009-10-12",13.21
"701","2009-10-13",13.42
"702","2009-10-14",13.706667
"703","2009-10-15",13.706667
"704","2009-10-16",12.73
"705","2009-10-19",13.013333
"706","2009-10-20",13.046667
"707","2009-10-21",12.923333
"708","2009-10-22",13.72
"709","2009-10-23",13.026667
"710","2009-10-26",12.853333
"711","2009-10-27",12.76
"712","2009-10-28",11.873333
"713","2009-10-29",12.186666
"714","2009-10-30",11.893333
"715","2009-11-02",12.36
"716","2009-11-03",12.413333
"717","2009-11-04",12.173333
"718","2009-11-05",12.783334
"719","2009-11-06",12.673333
"720","2009-11-09",12.95
"721","2009-11-10",12.83
"722","2009-11-11",12.99
"723","2009-11-12",12.56
"724","2009-11-13",12.443334
"725","2009-11-16",13.04
"726","2009-11-17",12.91
"727","2009-11-18",13.05
"728","2009-11-19",12.07
"729","2009-11-20",12.03
"730","2009-11-23",12.436666
"731","2009-11-24",11.83
"732","2009-11-25",11.886666
"733","2009-11-27",11.526667
"734","2009-11-30",11.98
"735","2009-12-01",12.22
"736","2009-12-02",12.606667
"737","2009-12-03",12.263333
"738","2009-12-04",12.943334
"739","2009-12-07",12.95
"740","2009-12-08",12.896667
"741","2009-12-09",12.933333
"742","2009-12-10",12.29
"743","2009-12-11",12.4
"744","2009-12-14",12.756667
"745","2009-12-15",12.436666
"746","2009-12-16",12.473333
"747","2009-12-17",12.63
"748","2009-12-18",12.696667
"749","2009-12-21",12.64
"750","2009-12-22",12.936666
"751","2009-12-23",12.793333
"752","2009-12-24",12.74
"753","2009-12-28",12.533334
"754","2009-12-29",12.483334
"755","2009-12-30",12.533334
"756","2009-12-31",12.27
"757","2010-01-04",12.476666
"758","2010-01-05",12.246667
"759","2010-01-06",12.096666
"760","2010-01-07",12.793333
"761","2010-01-08",12.786667
"762","2010-01-11",12.586667
"763","2010-01-12",12.433333
"764","2010-01-13",12.476666
"765","2010-01-14",12.346666
"766","2010-01-15",11.926666
"767","2010-01-19",12.256667
"768","2010-01-20",11.533334
"769","2010-01-21",11.313334
"770","2010-01-22",11.24
"771","2010-01-25",11.65
"772","2010-01-26",11.24
"773","2010-01-27",11.406667
"774","2010-01-28",11.276667
"775","2010-01-29",11.313334
"776","2010-02-01",11.33
"777","2010-02-02",11.73
"778","2010-02-03",11.593333
"779","2010-02-04",11.006667
"780","2010-02-05",11.133333
"781","2010-02-08",11.006667
"782","2010-02-09",11.376667
"783","2010-02-10",11.586667
"784","2010-02-11",12.076667
"785","2010-02-12",12.196667
"786","2010-02-16",12.296667
"787","2010-02-17",11.83
"788","2010-02-18",11.766666
"789","2010-02-19",11.91
"790","2010-02-22",11.97
"791","2010-02-23",11.59
"792","2010-02-24",11.613334
"793","2010-02-25",11.636666
"794","2010-02-26",11.746667
"795","2010-03-01",12.313334
"796","2010-03-02",12.05
"797","2010-03-03",12.153334
"798","2010-03-04",12.206667
"799","2010-03-05",12.426666
"800","2010-03-08",13.04
"801","2010-03-09",12.83
"802","2010-03-10",13.096666
"803","2010-03-11",12.986667
"804","2010-03-12",12.73
"805","2010-03-15",13.086667
"806","2010-03-16",13.076667
"807","2010-03-17",13.14
"808","2010-03-18",12.773334
"809","2010-03-19",12.303333
"810","2010-03-22",12.8
"811","2010-03-23",12.85
"812","2010-03-24",12.816667
"813","2010-03-25",12.466666
"814","2010-03-26",12.49
"815","2010-03-29",12.51
"816","2010-03-30",12.836667
