"","date","BGNE"
"588","2018-06-04",199.600006
"589","2018-06-05",204.529999
"590","2018-06-06",209.899994
"591","2018-06-07",213.429993
"592","2018-06-08",216.770004
"593","2018-06-11",199.979996
"594","2018-06-12",198.649994
"595","2018-06-13",176.229996
"596","2018-06-14",174.949997
"597","2018-06-15",168.490005
"598","2018-06-18",167.119995
"599","2018-06-19",165.100006
"600","2018-06-20",170.25
"601","2018-06-21",168.289993
"602","2018-06-22",170.100006
"603","2018-06-25",165.089996
"604","2018-06-26",160.399994
"605","2018-06-27",152.5
"606","2018-06-28",154.639999
"607","2018-06-29",153.729996
"608","2018-07-02",155.039993
"609","2018-07-03",152.619995
"610","2018-07-05",157.75
"611","2018-07-06",168.970001
"612","2018-07-09",169.940002
"613","2018-07-10",163.630005
"614","2018-07-11",162.880005
"615","2018-07-12",165.339996
"616","2018-07-13",166.089996
"617","2018-07-16",163.190002
"618","2018-07-17",164.119995
"619","2018-07-18",165.050003
"620","2018-07-19",164.110001
"621","2018-07-20",169.229996
"622","2018-07-23",174.960007
"623","2018-07-24",176.369995
"624","2018-07-25",176.110001
"625","2018-07-26",173.119995
"626","2018-07-27",166.520004
"627","2018-07-30",177.029999
"628","2018-07-31",189.660004
"629","2018-08-01",181.740005
"630","2018-08-02",178.139999
"631","2018-08-03",175.020004
"632","2018-08-06",176.740005
"633","2018-08-07",179.440002
"634","2018-08-08",171.559998
"635","2018-08-09",172.199997
"636","2018-08-10",165.279999
"637","2018-08-13",159.029999
"638","2018-08-14",164
"639","2018-08-15",157.679993
"640","2018-08-16",157.130005
"641","2018-08-17",157.320007
"642","2018-08-20",160.309998
"643","2018-08-21",163.330002
"644","2018-08-22",167.970001
"645","2018-08-23",167.199997
"646","2018-08-24",171.630005
"647","2018-08-27",178.289993
"648","2018-08-28",177.759995
"649","2018-08-29",178.899994
"650","2018-08-30",177.699997
"651","2018-08-31",177.529999
"652","2018-09-04",175.449997
"653","2018-09-05",169.210007
"654","2018-09-06",163.300003
"655","2018-09-07",163.509995
"656","2018-09-10",165.339996
"657","2018-09-11",166.850006
"658","2018-09-12",164.089996
"659","2018-09-13",163.809998
"660","2018-09-14",161.679993
"661","2018-09-17",160
"662","2018-09-18",160.75
"663","2018-09-19",163.5
"664","2018-09-20",162.899994
"665","2018-09-21",163.970001
"666","2018-09-24",166.059998
"667","2018-09-25",169.440002
"668","2018-09-26",172.029999
"669","2018-09-27",172.669998
"670","2018-09-28",172.220001
"671","2018-10-01",175.149994
"672","2018-10-02",170.679993
"673","2018-10-03",169
"674","2018-10-04",160.589996
"675","2018-10-05",149.949997
"676","2018-10-08",146.610001
"677","2018-10-09",142.25
"678","2018-10-10",130.229996
"679","2018-10-11",126.330002
"680","2018-10-12",126.839996
"681","2018-10-15",126.279999
"682","2018-10-16",126.690002
"683","2018-10-17",126.279999
"684","2018-10-18",124.110001
"685","2018-10-19",124.739998
"686","2018-10-22",117.43
"687","2018-10-23",116.849998
"688","2018-10-24",110.050003
"689","2018-10-25",113.790001
"690","2018-10-26",113.690002
"691","2018-10-29",107.010002
"692","2018-10-30",110.690002
"693","2018-10-31",125.940002
"694","2018-11-01",130.089996
"695","2018-11-02",126.5
"696","2018-11-05",126.970001
"697","2018-11-06",124.650002
"698","2018-11-07",123.489998
"699","2018-11-08",126.43
"700","2018-11-09",121.25
"701","2018-11-12",110.660004
"702","2018-11-13",114.690002
"703","2018-11-14",124.230003
"704","2018-11-15",127
"705","2018-11-16",127.019997
"706","2018-11-19",124.330002
"707","2018-11-20",125.82
"708","2018-11-21",129.399994
"709","2018-11-23",136.220001
"710","2018-11-26",141.860001
"711","2018-11-27",145.970001
"712","2018-11-28",149.509995
"713","2018-11-29",143.910004
"714","2018-11-30",153.309998
"715","2018-12-03",150.800003
"716","2018-12-04",147.160004
"717","2018-12-06",139.619995
"718","2018-12-07",137.589996
"719","2018-12-10",136.360001
"720","2018-12-11",136.820007
