"","date","MRCC"
"813","2016-01-21",11.9
"814","2016-01-22",11.65
"815","2016-01-25",11.48
"816","2016-01-26",11.78
"817","2016-01-27",11.72
"818","2016-01-28",11.38
"819","2016-01-29",11.46
"820","2016-02-01",11.66
"821","2016-02-02",11.45
"822","2016-02-03",11.52
"823","2016-02-04",11.39
"824","2016-02-05",11.36
"825","2016-02-08",10.96
"826","2016-02-09",10.82
"827","2016-02-10",11.27
"828","2016-02-11",10.87
"829","2016-02-12",10.98
"830","2016-02-16",11.95
"831","2016-02-17",11.73
"832","2016-02-18",11.81
"833","2016-02-19",11.7
"834","2016-02-22",12.16
"835","2016-02-23",12.04
"836","2016-02-24",12.13
"837","2016-02-25",12.14
"838","2016-02-26",11.99
"839","2016-02-29",12.5
"840","2016-03-01",12.49
"841","2016-03-02",12.41
"842","2016-03-03",12.79
"843","2016-03-04",13.01
"844","2016-03-07",13.37
"845","2016-03-08",13.42
"846","2016-03-09",13.66
"847","2016-03-10",13.53
"848","2016-03-11",13.23
"849","2016-03-14",13.16
"850","2016-03-15",13.45
"851","2016-03-16",13.52
"852","2016-03-17",13.91
"853","2016-03-18",14.32
"854","2016-03-21",14.03
"855","2016-03-22",14.19
"856","2016-03-23",14
"857","2016-03-24",13.86
"858","2016-03-28",13.91
"859","2016-03-29",13.76
"860","2016-03-30",13.86
"861","2016-03-31",13.85
"862","2016-04-01",13.3
"863","2016-04-04",13.25
"864","2016-04-05",13.13
"865","2016-04-06",13.21
"866","2016-04-07",13.11
"867","2016-04-08",13.17
"868","2016-04-11",13.17
"869","2016-04-12",13.12
"870","2016-04-13",13.44
"871","2016-04-14",13.38
"872","2016-04-15",13.52
"873","2016-04-18",13.45
"874","2016-04-19",13.38
"875","2016-04-20",13.52
"876","2016-04-21",13.58
"877","2016-04-22",13.59
"878","2016-04-25",13.53
"879","2016-04-26",13.7
"880","2016-04-27",13.73
"881","2016-04-28",13.72
"882","2016-04-29",13.78
"883","2016-05-02",13.77
"884","2016-05-03",13.8
"885","2016-05-04",13.75
"886","2016-05-05",13.82
"887","2016-05-06",13.87
"888","2016-05-09",13.88
"889","2016-05-10",14
"890","2016-05-11",14.35
"891","2016-05-12",14.46
"892","2016-05-13",14.54
"893","2016-05-16",14.62
"894","2016-05-17",14.52
"895","2016-05-18",14.57
"896","2016-05-19",13.61
"897","2016-05-20",14.08
"898","2016-05-23",14.29
"899","2016-05-24",14.29
"900","2016-05-25",14.56
"901","2016-05-26",14.45
"902","2016-05-27",14.46
"903","2016-05-31",14.72
"904","2016-06-01",14.73
"905","2016-06-02",14.82
"906","2016-06-03",14.74
"907","2016-06-06",14.62
"908","2016-06-07",14.5
"909","2016-06-08",14.44
"910","2016-06-09",14.59
"911","2016-06-10",14.53
"912","2016-06-13",14.08
"913","2016-06-14",14.07
"914","2016-06-15",14.01
"915","2016-06-16",14.18
"916","2016-06-17",14.26
"917","2016-06-20",14.39
"918","2016-06-21",14.44
"919","2016-06-22",14.42
"920","2016-06-23",14.54
"921","2016-06-24",14.47
"922","2016-06-27",14.21
"923","2016-06-28",14.56
"924","2016-06-29",14.77
"925","2016-06-30",14.83
"926","2016-07-01",14.91
"927","2016-07-05",14.91
"928","2016-07-06",14.97
"929","2016-07-07",15.04
"930","2016-07-08",15.15
"931","2016-07-11",15.22
"932","2016-07-12",15.23
"933","2016-07-13",15.27
"934","2016-07-14",15.52
