"","date","LILA"
"880","2018-12-28",13.534402
"881","2018-12-31",13.647502
"882","2019-01-02",14.250707
"883","2019-01-03",14.231856
"884","2019-01-04",14.891612
"885","2019-01-07",15.33459
"886","2019-01-08",15.570217
"887","2019-01-09",15.843544
"888","2019-01-10",15.730443
"889","2019-01-11",15.673893
"890","2019-01-14",15.92837
"891","2019-01-15",14.919887
"892","2019-01-16",15.33459
"893","2019-01-17",15.400565
"894","2019-01-18",15.485392
"895","2019-01-22",14.382658
"896","2019-01-23",15.39114
"897","2019-01-24",15.212064
"898","2019-01-25",15.240339
"899","2019-01-28",15.174364
"900","2019-01-29",15.221489
"901","2019-01-30",15.061263
"902","2019-01-31",16.432611
"903","2019-02-01",16.559849
"904","2019-02-04",17.144203
"905","2019-02-05",17.351555
"906","2019-02-06",17.332705
"907","2019-02-07",17.266729
"908","2019-02-08",17.106503
"909","2019-02-11",17.219604
"910","2019-02-12",17.43638
"911","2019-02-13",17.445807
"912","2019-02-14",17.370405
"913","2019-02-15",17.766258
"914","2019-02-19",17.426956
"915","2019-02-20",17.606031
"916","2019-02-21",17.832233
"917","2019-02-22",17.97361
"918","2019-02-25",17.917059
"919","2019-02-26",18.020735
"920","2019-02-27",17.888784
"921","2019-02-28",18.491989
"922","2019-03-01",19.057493
"923","2019-03-04",18.878416
"924","2019-03-05",18.689915
"925","2019-03-06",18.77474
"926","2019-03-07",18.576815
"927","2019-03-08",18.463713
"928","2019-03-11",18.812441
"929","2019-03-12",18.68049
"930","2019-03-13",18.66164
