"","date","VAC"
"876","2015-05-05",83.660004
"877","2015-05-06",83.959999
"878","2015-05-07",84.470001
"879","2015-05-08",85.900002
"880","2015-05-11",86.610001
"881","2015-05-12",86.169998
"882","2015-05-13",85.610001
"883","2015-05-14",85.980003
"884","2015-05-15",86.089996
"885","2015-05-18",86.639999
"886","2015-05-19",88.239998
"887","2015-05-20",88.940002
"888","2015-05-21",88.510002
"889","2015-05-22",88.589996
"890","2015-05-26",88.330002
"891","2015-05-27",89.650002
"892","2015-05-28",89.800003
"893","2015-05-29",88.279999
"894","2015-06-01",89.010002
"895","2015-06-02",89.400002
"896","2015-06-03",90.32
"897","2015-06-04",88.379997
"898","2015-06-05",87.529999
"899","2015-06-08",86.919998
"900","2015-06-09",87.220001
"901","2015-06-10",88.279999
"902","2015-06-11",88.379997
"903","2015-06-12",88.650002
"904","2015-06-15",89.370003
"905","2015-06-16",88.790001
"906","2015-06-17",88.25
"907","2015-06-18",88.410004
"908","2015-06-19",88.339996
"909","2015-06-22",89.25
"910","2015-06-23",88.779999
"911","2015-06-24",88.75
"912","2015-06-25",89.830002
"913","2015-06-26",91.879997
"914","2015-06-29",90.5
"915","2015-06-30",91.75
"916","2015-07-01",91.699997
"917","2015-07-02",91.209999
"918","2015-07-06",91.699997
"919","2015-07-07",91.370003
"920","2015-07-08",90.059998
"921","2015-07-09",89.519997
"922","2015-07-10",91.709999
"923","2015-07-13",91.82
"924","2015-07-14",91.790001
"925","2015-07-15",91.239998
"926","2015-07-16",90.309998
"927","2015-07-17",90.879997
"928","2015-07-20",91.110001
"929","2015-07-21",90.980003
"930","2015-07-22",91.760002
"931","2015-07-23",83.550003
"932","2015-07-24",84.620003
"933","2015-07-27",83.379997
"934","2015-07-28",83
"935","2015-07-29",83.540001
"936","2015-07-30",82.629997
"937","2015-07-31",83.599998
"938","2015-08-03",83.529999
"939","2015-08-04",83.150002
"940","2015-08-05",83.470001
"941","2015-08-06",82.769997
"942","2015-08-07",80.610001
"943","2015-08-10",80.739998
"944","2015-08-11",79.989998
"945","2015-08-12",79.300003
"946","2015-08-13",79.379997
"947","2015-08-14",79.300003
"948","2015-08-17",79.800003
"949","2015-08-18",77.839996
"950","2015-08-19",75.879997
"951","2015-08-20",72.279999
"952","2015-08-21",71.699997
"953","2015-08-24",68.349998
"954","2015-08-25",69.489998
