"","date","IRWD"
"521","2012-02-27",11.968174
"522","2012-02-28",11.984924
"523","2012-02-29",11.214405
"524","2012-03-01",11.574539
"525","2012-03-02",11.783919
"526","2012-03-05",11.155779
"527","2012-03-06",11.005025
"528","2012-03-07",11.130653
"529","2012-03-08",10.99665
"530","2012-03-09",11.314908
"531","2012-03-12",11.088778
"532","2012-03-13",11.155779
"533","2012-03-14",11.373534
"534","2012-03-15",11.675042
"535","2012-03-16",11.356784
"536","2012-03-19",11.490788
"537","2012-03-20",11.155779
"538","2012-03-21",11.105528
"539","2012-03-22",10.80402
"540","2012-03-23",11.130653
"541","2012-03-26",11.43216
"542","2012-03-27",11.541039
"543","2012-03-28",11.080402
"544","2012-03-29",10.912898
"545","2012-03-30",11.147404
"546","2012-04-02",11.448912
"547","2012-04-03",11.574539
"548","2012-04-04",11.574539
"549","2012-04-05",11.356784
"550","2012-04-09",11.18928
"551","2012-04-10",10.896148
"552","2012-04-11",10.887773
"553","2012-04-12",10.762144
"554","2012-04-13",10.770519
"555","2012-04-16",10.829145
"556","2012-04-17",10.78727
"557","2012-04-18",10.720268
"558","2012-04-19",10.603015
"559","2012-04-20",10.368509
"560","2012-04-23",10.427135
"561","2012-04-24",10.812395
"562","2012-04-25",10.896148
"563","2012-04-26",10.879397
"564","2012-04-27",10.963149
"565","2012-04-30",11.063652
"566","2012-05-01",10.845896
"567","2012-05-02",10.678392
"568","2012-05-03",10.753769
"569","2012-05-04",10.318258
"570","2012-05-07",10.871022
"571","2012-05-08",10.770519
"572","2012-05-09",10.670016
"573","2012-05-10",10.318258
"574","2012-05-11",10.619765
"575","2012-05-14",11.055276
"576","2012-05-15",10.586265
"577","2012-05-16",10.469011
"578","2012-05-17",9.949749
"579","2012-05-18",9.438861
"580","2012-05-21",9.941374
"581","2012-05-22",9.690117
"582","2012-05-23",9.958124
"583","2012-05-24",10.075377
"584","2012-05-25",9.932999
"585","2012-05-29",10.058626
"586","2012-05-30",9.958124
"587","2012-05-31",9.98325
"588","2012-06-01",9.958124
"589","2012-06-04",10.083752
"590","2012-06-05",9.991625
"591","2012-06-06",10.301508
"592","2012-06-07",10.251256
"593","2012-06-08",10.368509
"594","2012-06-11",10.393635
"595","2012-06-12",10.38526
"596","2012-06-13",10.460636
"597","2012-06-14",10.871022
"598","2012-06-15",11.164154
"599","2012-06-18",11.323283
"600","2012-06-19",11.834171
"601","2012-06-20",11.859297
"602","2012-06-21",11.901173
"603","2012-06-22",12.144053
"604","2012-06-25",11.859297
"605","2012-06-26",11.725293
"606","2012-06-27",11.934673
"607","2012-06-28",11.708543
"608","2012-06-29",11.541039
"609","2012-07-02",11.725293
"610","2012-07-03",11.725293
"611","2012-07-05",11.733668
"612","2012-07-06",11.616415
"613","2012-07-09",11.582914
"614","2012-07-10",11.323283
"615","2012-07-11",11.289783
"616","2012-07-12",11.356784
"617","2012-07-13",11.541039
"618","2012-07-16",11.649917
"619","2012-07-17",11.097153
"620","2012-07-18",11.20603
"621","2012-07-19",11.147404
"622","2012-07-20",11.03015
"623","2012-07-23",10.78727
"624","2012-07-24",10.678392
"625","2012-07-25",10.770519
"626","2012-07-26",10.954774
"627","2012-07-27",11.239531
"628","2012-07-30",10.99665
"629","2012-07-31",10.778894
"630","2012-08-01",10.38526
"631","2012-08-02",10.19263
"632","2012-08-03",10.477386
"633","2012-08-06",10.460636
"634","2012-08-07",10.025126
"635","2012-08-08",9.715243
"636","2012-08-09",9.907873
"637","2012-08-10",9.656616
"638","2012-08-13",9.698492
"639","2012-08-14",9.79062
"640","2012-08-15",9.932999
"641","2012-08-16",10.159129
"642","2012-08-17",10.293133
"643","2012-08-20",10.142379
"644","2012-08-21",10.360134
"645","2012-08-22",10.19263
"646","2012-08-23",10.175879
"647","2012-08-24",10.469011
"648","2012-08-27",10.644891
"649","2012-08-28",10.653266
"650","2012-08-29",10.603015
"651","2012-08-30",10.40201
"652","2012-08-31",10.494138
"653","2012-09-04",10.427135
"654","2012-09-05",10.309883
"655","2012-09-06",10.38526
"656","2012-09-07",10.22613
"657","2012-09-10",10
"658","2012-09-11",10.008375
"659","2012-09-12",10.284757
"660","2012-09-13",11.021775
"661","2012-09-14",11.147404
"662","2012-09-17",11.155779
"663","2012-09-18",11.39866
"664","2012-09-19",10.971524
"665","2012-09-20",11.658292
"666","2012-09-21",11.917923
"667","2012-09-24",11.901173
"668","2012-09-25",11.105528
"669","2012-09-26",11.097153
"670","2012-09-27",11.172529
"671","2012-09-28",10.703518
"672","2012-10-01",10.879397
"673","2012-10-02",10.795645
"674","2012-10-03",10.829145
"675","2012-10-04",10.78727
"676","2012-10-05",10.946399
"677","2012-10-08",10.678392
"678","2012-10-09",10.728643
"679","2012-10-10",10.510888
"680","2012-10-11",10.979899
"681","2012-10-12",11.22278
"682","2012-10-15",11.046901
"683","2012-10-16",11.113903
"684","2012-10-17",11.046901
"685","2012-10-18",11.105528
"686","2012-10-19",10.577889
"687","2012-10-22",10.469011
"688","2012-10-23",10.259631
"689","2012-10-24",10.284757
"690","2012-10-25",10.184255
"691","2012-10-26",10.142379
"692","2012-10-31",9.740369
"693","2012-11-01",9.723619
"694","2012-11-02",9.489112
"695","2012-11-05",9.463986
"696","2012-11-06",9.447236
"697","2012-11-07",9.664991
"698","2012-11-08",9.782245
"699","2012-11-09",10.058626
"700","2012-11-12",10.184255
"701","2012-11-13",10.351759
"702","2012-11-14",9.38861
"703","2012-11-15",8.953099
"704","2012-11-16",8.743718
"705","2012-11-19",9.338359
"706","2012-11-20",8.994975
"707","2012-11-21",9.087102
"708","2012-11-23",9.112227
"709","2012-11-26",9.229481
"710","2012-11-27",9.036851
"711","2012-11-28",9.279732
"712","2012-11-29",9.045226
"713","2012-11-30",9.045226
"714","2012-12-03",8.894472
"715","2012-12-04",8.785595
"716","2012-12-05",8.760469
"717","2012-12-06",9.321608
"718","2012-12-07",9.40536
"719","2012-12-10",9.237856
"720","2012-12-11",9.472362
"721","2012-12-12",9.346734
"722","2012-12-13",9.40536
"723","2012-12-14",9.011725
"724","2012-12-17",9.17923
"725","2012-12-18",9.154104
"726","2012-12-19",8.852596
"727","2012-12-20",9.137354
"728","2012-12-21",8.953099
"729","2012-12-24",8.9866
"730","2012-12-26",9.145729
"731","2012-12-27",9.21273
"732","2012-12-28",9.154104
"733","2012-12-31",9.279732
"734","2013-01-02",9.664991
"735","2013-01-03",9.932999
"736","2013-01-04",10.368509
"737","2013-01-07",11.113903
"738","2013-01-08",11.725293
"739","2013-01-09",11.792295
"740","2013-01-10",11.758794
"741","2013-01-11",12.319933
"742","2013-01-14",12.345058
"743","2013-01-15",12.303183
"744","2013-01-16",11.390285
"745","2013-01-17",11.340034
"746","2013-01-18",11.314908
"747","2013-01-22",11.03015
"748","2013-01-23",10.912898
"749","2013-01-24",11.20603
"750","2013-01-25",11.097153
"751","2013-01-28",11.021775
"752","2013-01-29",10.904523
"753","2013-01-30",10.812395
"754","2013-01-31",10.737019
"755","2013-02-01",10.954774
"756","2013-02-04",11.005025
"757","2013-02-05",11.055276
"758","2013-02-06",11.130653
"759","2013-02-07",11.055276
"760","2013-02-08",11.139029
"761","2013-02-11",11.22278
"762","2013-02-12",11.448912
"763","2013-02-13",11.62479
"764","2013-02-14",11.62479
"765","2013-02-15",11.599665
"766","2013-02-19",11.884422
"767","2013-02-20",12.152429
"768","2013-02-21",12.093802
"769","2013-02-22",12.144053
"770","2013-02-25",12.144053
"771","2013-02-26",12.194304
"772","2013-02-27",12.336683
"773","2013-02-28",12.504188
"774","2013-03-01",12.512563
"775","2013-03-04",13.190955
"776","2013-03-05",13.107203
"777","2013-03-06",13.592965
"778","2013-03-07",13.718593
"779","2013-03-08",13.785595
"780","2013-03-11",14.38861
"781","2013-03-12",14.648241
"782","2013-03-13",14.656616
"783","2013-03-14",14.80737
"784","2013-03-15",15.78727
"785","2013-03-18",15.485763
"786","2013-03-19",15.603015
"787","2013-03-20",15.670016
"788","2013-03-21",15.510888
"789","2013-03-22",15.695143
"790","2013-03-25",15.78727
"791","2013-03-26",15.167504
"792","2013-03-27",15.276381
"793","2013-03-28",15.318258
"794","2013-04-01",14.656616
"795","2013-04-02",14.815745
"796","2013-04-03",14.321608
"797","2013-04-04",14.765494
"798","2013-04-05",15.008375
"799","2013-04-08",14.77387
"800","2013-04-09",14.748744
"801","2013-04-10",15.033501
"802","2013-04-11",14.882747
"803","2013-04-12",15.217755
"804","2013-04-15",14.170855
"805","2013-04-16",14.59799
"806","2013-04-17",14.907873
"807","2013-04-18",14.656616
"808","2013-04-19",14.899497
"809","2013-04-22",14.98325
"810","2013-04-23",14.045226
"811","2013-04-24",13.651591
"812","2013-04-25",12.772194
"813","2013-04-26",13.056952
"814","2013-04-29",12.788945
"815","2013-04-30",12.738693
"816","2013-05-01",12.336683
"817","2013-05-02",12.278057
"818","2013-05-03",12.236181
"819","2013-05-06",12.051927
"820","2013-05-07",12.051927
"821","2013-05-08",12.219431
"822","2013-05-09",12.20268
"823","2013-05-10",12.403685
"824","2013-05-13",12.956449
"825","2013-05-14",13.366835
"826","2013-05-15",12.621441
"827","2013-05-16",12.227806
"828","2013-05-17",12.051927
"829","2013-05-20",11.582914
"830","2013-05-21",11.298158
"831","2013-05-22",10.812395
"832","2013-05-23",10.485763
"833","2013-05-24",10.745394
"834","2013-05-28",10.670016
"835","2013-05-29",10.946399
"836","2013-05-30",11.532663
"837","2013-05-31",11.180904
"838","2013-06-03",11.072027
"839","2013-06-04",10.477386
"840","2013-06-05",10.711893
"841","2013-06-06",10.78727
"842","2013-06-07",11.20603
"843","2013-06-10",11.063652
"844","2013-06-11",10.728643
"845","2013-06-12",10.284757
"846","2013-06-13",10.117253
"847","2013-06-14",9.849246
"848","2013-06-17",9.966499
"849","2013-06-18",10.410385
"850","2013-06-19",10.167504
"851","2013-06-20",9.472362
"852","2013-06-21",9.547739
"853","2013-06-24",9.221106
"854","2013-06-25",8.978225
"855","2013-06-26",8.96985
"856","2013-06-27",8.559464
"857","2013-06-28",8.316583
"858","2013-07-01",8.576215
"859","2013-07-02",8.358459
"860","2013-07-03",8.37521
"861","2013-07-05",8.77722
"862","2013-07-08",8.835846
"863","2013-07-09",8.735343
"864","2013-07-10",8.651591
"865","2013-07-11",8.844221
"866","2013-07-12",9.304857
"867","2013-07-15",9.489112
"868","2013-07-16",9.539364
"869","2013-07-17",9.38861
"870","2013-07-18",9.472362
"871","2013-07-19",9.40536
"872","2013-07-22",9.279732
"873","2013-07-23",9.455611
"874","2013-07-24",9.664991
"875","2013-07-25",10.376884
"876","2013-07-26",10.460636
"877","2013-07-29",10.159129
"878","2013-07-30",10.217755
"879","2013-07-31",10.251256
"880","2013-08-01",10.829145
"881","2013-08-02",10.544389
"882","2013-08-05",10.276381
"883","2013-08-06",9.857621
"884","2013-08-07",9.765494
"885","2013-08-08",9.639866
"886","2013-08-09",9.740369
"887","2013-08-12",9.748744
"888","2013-08-13",9.556114
"889","2013-08-14",9.380235
"890","2013-08-15",8.911222
"891","2013-08-16",8.668342
"892","2013-08-19",8.726968
"893","2013-08-20",8.994975
"894","2013-08-21",9.262981
"895","2013-08-22",9.38861
"896","2013-08-23",9.463986
"897","2013-08-26",10.041876
"898","2013-08-27",9.59799
"899","2013-08-28",9.447236
"900","2013-08-29",9.849246
"901","2013-08-30",9.757119
"902","2013-09-03",9.740369
"903","2013-09-04",10.19263
"904","2013-09-05",10.435511
"905","2013-09-06",10.720268
"906","2013-09-09",11.097153
"907","2013-09-10",11.139029
"908","2013-09-11",10.78727
"909","2013-09-12",10.912898
"910","2013-09-13",11.247906
"911","2013-09-16",11.423785
"912","2013-09-17",11.306533
"913","2013-09-18",11.298158
"914","2013-09-19",10.753769
"915","2013-09-20",10.134004
"916","2013-09-23",10.067001
"917","2013-09-24",9.949749
"918","2013-09-25",9.715243
"919","2013-09-26",9.857621
"920","2013-09-27",10.025126
"921","2013-09-30",9.916248
"922","2013-10-01",9.765494
"923","2013-10-02",10.167504
"924","2013-10-03",9.815745
"925","2013-10-04",9.648241
"926","2013-10-07",9.463986
"927","2013-10-08",9.204355
"928","2013-10-09",8.978225
"929","2013-10-10",8.953099
"930","2013-10-11",9.112227
