"","date","ORRF"
"820","2010-04-06",26.01
"821","2010-04-07",25.9
"822","2010-04-08",25.84
"823","2010-04-09",25.280001
"824","2010-04-12",25.540001
"825","2010-04-13",25.58
"826","2010-04-14",26.17
"827","2010-04-15",26.23
"828","2010-04-16",25.99
"829","2010-04-19",26.09
"830","2010-04-20",26.25
"831","2010-04-21",26.389999
"832","2010-04-22",26.49
"833","2010-04-23",26.459999
"834","2010-04-26",26.290001
"835","2010-04-27",26.25
"836","2010-04-28",25.360001
"837","2010-04-29",25.450001
"838","2010-04-30",25.58
"839","2010-05-03",25.870001
"840","2010-05-04",25.120001
"841","2010-05-05",24.68
"842","2010-05-06",23.42
"843","2010-05-07",22.26
"844","2010-05-10",24.91
"845","2010-05-11",25.370001
"846","2010-05-12",25.790001
"847","2010-05-13",25.530001
"848","2010-05-14",25.040001
"849","2010-05-17",25.27
"850","2010-05-18",24.57
"851","2010-05-19",24.790001
"852","2010-05-20",23.860001
"853","2010-05-21",24.809999
"854","2010-05-24",24.559999
"855","2010-05-25",24.459999
"856","2010-05-26",22.41
"857","2010-05-27",24.190001
"858","2010-05-28",24.42
"859","2010-06-01",23.190001
"860","2010-06-02",24.030001
"861","2010-06-03",23.9
"862","2010-06-04",22.530001
"863","2010-06-07",21.709999
"864","2010-06-08",22.16
"865","2010-06-09",22.09
"866","2010-06-10",22.690001
"867","2010-06-11",23.059999
"868","2010-06-14",23.35
"869","2010-06-15",23.049999
"870","2010-06-16",22.879999
"871","2010-06-17",22.620001
"872","2010-06-18",22.969999
"873","2010-06-21",22.52
"874","2010-06-22",22.610001
"875","2010-06-23",22.950001
"876","2010-06-24",22.35
"877","2010-06-25",23.32
"878","2010-06-28",23.139999
"879","2010-06-29",22.02
"880","2010-06-30",22.129999
"881","2010-07-01",21.620001
"882","2010-07-02",21.76
"883","2010-07-06",22.040001
"884","2010-07-07",22.549999
"885","2010-07-08",22.5
"886","2010-07-09",22.940001
"887","2010-07-12",22.280001
"888","2010-07-13",22.5
"889","2010-07-14",22.440001
"890","2010-07-15",22.1
"891","2010-07-16",21.209999
"892","2010-07-19",20.620001
"893","2010-07-20",21.040001
"894","2010-07-21",20.709999
"895","2010-07-22",21.879999
"896","2010-07-23",21.870001
"897","2010-07-26",22
"898","2010-07-27",21.889999
"899","2010-07-28",21.68
"900","2010-07-29",22.23
"901","2010-07-30",22.9
"902","2010-08-02",23.459999
"903","2010-08-03",23.68
"904","2010-08-04",23.84
"905","2010-08-05",23.83
"906","2010-08-06",24
"907","2010-08-09",24.57
"908","2010-08-10",23.68
"909","2010-08-11",22.33
"910","2010-08-12",21.540001
"911","2010-08-13",21.01
"912","2010-08-16",21.67
"913","2010-08-17",22.85
"914","2010-08-18",23.23
"915","2010-08-19",21.719999
"916","2010-08-20",21.43
"917","2010-08-23",20.74
"918","2010-08-24",20.26
"919","2010-08-25",21.709999
"920","2010-08-26",21.200001
"921","2010-08-27",21.469999
"922","2010-08-30",20.379999
"923","2010-08-31",20.370001
"924","2010-09-01",20.889999
"925","2010-09-02",21.5
"926","2010-09-03",22.18
"927","2010-09-07",21.5
"928","2010-09-08",21.66
"929","2010-09-09",21.82
"930","2010-09-10",21.99
"931","2010-09-13",23.049999
"932","2010-09-14",22.940001
"933","2010-09-15",23.110001
"934","2010-09-16",22.719999
"935","2010-09-17",23.33
"936","2010-09-20",23.5
"937","2010-09-21",23.1
"938","2010-09-22",23.139999
"939","2010-09-23",22.67
"940","2010-09-24",23.049999
"941","2010-09-27",23.01
"942","2010-09-28",23.200001
"943","2010-09-29",23.200001
"944","2010-09-30",23.16
"945","2010-10-01",23.299999
"946","2010-10-04",23.01
"947","2010-10-05",23.5
"948","2010-10-06",23.5
"949","2010-10-07",23.559999
"950","2010-10-08",24.639999
"951","2010-10-11",24.67
"952","2010-10-12",24.700001
"953","2010-10-13",25.1
"954","2010-10-14",24.9
"955","2010-10-15",24.719999
"956","2010-10-18",24.940001
"957","2010-10-19",24.379999
"958","2010-10-20",24.709999
"959","2010-10-21",24.620001
"960","2010-10-22",25
"961","2010-10-25",24.99
"962","2010-10-26",24.889999
"963","2010-10-27",24.52
"964","2010-10-28",25.52
"965","2010-10-29",25.75
"966","2010-11-01",25.540001
"967","2010-11-02",26
"968","2010-11-03",25.879999
"969","2010-11-04",26
"970","2010-11-05",25.9
"971","2010-11-08",25.75
"972","2010-11-09",25.450001
"973","2010-11-10",26.030001
"974","2010-11-11",25.51
"975","2010-11-12",25.030001
"976","2010-11-15",25.469999
"977","2010-11-16",25.08
"978","2010-11-17",25.040001
"979","2010-11-18",25.43
"980","2010-11-19",25.559999
"981","2010-11-22",25.530001
"982","2010-11-23",25.76
"983","2010-11-24",26.309999
"984","2010-11-26",26.35
"985","2010-11-29",26.43
"986","2010-11-30",26.200001
"987","2010-12-01",26.9
"988","2010-12-02",26.889999
"989","2010-12-03",26.9
"990","2010-12-06",26.99
"991","2010-12-07",27.02
"992","2010-12-08",26.959999
"993","2010-12-09",27.09
"994","2010-12-10",27.25
"995","2010-12-13",27.18
