"","date","SGOC"
"697","2011-01-11",20.040001
"698","2011-01-12",20.200001
"699","2011-01-13",20.200001
"700","2011-01-14",20.200001
"701","2011-01-18",20.799999
"702","2011-01-19",20
"703","2011-01-20",20.200001
"704","2011-01-21",20.24
"705","2011-01-24",19.4
"706","2011-01-25",19.360001
"707","2011-01-26",19.76
"708","2011-01-27",19.6
"709","2011-01-28",19.4
"710","2011-01-31",20.24
"711","2011-02-01",19.6
"712","2011-02-02",19.6
"713","2011-02-03",18.84
"714","2011-02-04",19.24
"715","2011-02-07",19.360001
"716","2011-02-08",18.24
"717","2011-02-09",18.4
"718","2011-02-10",18.4
"719","2011-02-11",18.4
"720","2011-02-14",18.040001
"721","2011-02-15",18
"722","2011-02-16",19.280001
"723","2011-02-17",18.799999
"724","2011-02-18",19
"725","2011-02-22",18.799999
"726","2011-02-23",18.799999
"727","2011-02-24",18.799999
"728","2011-02-25",18.799999
"729","2011-02-28",18.4
"730","2011-03-01",18.4
"731","2011-03-02",18.4
"732","2011-03-03",18.200001
"733","2011-03-04",18.200001
"734","2011-03-07",18.799999
"735","2011-03-08",18.799999
"736","2011-03-09",18.200001
"737","2011-03-10",18.200001
"738","2011-03-11",18.200001
"739","2011-03-14",18.6
"740","2011-03-15",17.040001
"741","2011-03-16",16.76
"742","2011-03-17",16.799999
"743","2011-03-18",17
"744","2011-03-21",17.040001
"745","2011-03-22",16.200001
"746","2011-03-23",13.84
"747","2011-03-24",14.4
"748","2011-03-25",14.48
"749","2011-03-28",15
"750","2011-03-29",16
"751","2011-03-30",14.76
"752","2011-03-31",14.76
"753","2011-04-01",15
"754","2011-04-04",14.32
"755","2011-04-05",13
"756","2011-04-06",13
"757","2011-04-07",13
"758","2011-04-08",12.8
"759","2011-04-11",11.56
"760","2011-04-12",10.96
"761","2011-04-13",10.4
"762","2011-04-14",10.8
"763","2011-04-15",10.8
"764","2011-04-18",10.8
"765","2011-04-19",11.8
"766","2011-04-20",11.8
"767","2011-04-21",10.92
"768","2011-04-25",10.92
"769","2011-04-26",11.6
"770","2011-04-27",11.6
"771","2011-04-28",12.44
"772","2011-04-29",14.12
"773","2011-05-02",14.2
"774","2011-05-03",15.2
"775","2011-05-04",16.200001
"776","2011-05-05",15.8
"777","2011-05-06",15.8
"778","2011-05-09",15.32
"779","2011-05-10",14.04
"780","2011-05-11",14.04
"781","2011-05-12",13.6
"782","2011-05-13",13.6
"783","2011-05-16",13.2
"784","2011-05-17",13.2
"785","2011-05-18",13.2
"786","2011-05-19",13.2
"787","2011-05-20",13
"788","2011-05-23",12
"789","2011-05-24",12
"790","2011-05-25",13.68
"791","2011-05-26",13
"792","2011-05-27",13
"793","2011-05-31",12.84
"794","2011-06-01",12.64
"795","2011-06-02",12.48
"796","2011-06-03",12.4
"797","2011-06-06",12.4
"798","2011-06-07",12.4
"799","2011-06-08",10.8
"800","2011-06-09",10.8
"801","2011-06-10",10.8
"802","2011-06-13",10.6
"803","2011-06-14",10.76
"804","2011-06-15",9.6
"805","2011-06-16",9.6
"806","2011-06-17",8.48
"807","2011-06-20",9
"808","2011-06-21",7.04
"809","2011-06-22",11.16
"810","2011-06-23",12
"811","2011-06-24",13.2
"812","2011-06-27",10.68
"813","2011-06-28",20.4
"814","2011-06-29",18
"815","2011-06-30",16.959999
"816","2011-07-01",15
"817","2011-07-05",15.72
"818","2011-07-06",15.88
"819","2011-07-07",15.08
"820","2011-07-08",14.32
"821","2011-07-11",13.88
"822","2011-07-12",17.799999
"823","2011-07-13",18.040001
"824","2011-07-14",17.120001
"825","2011-07-15",17.6
"826","2011-07-18",17.440001
"827","2011-07-19",15.24
"828","2011-07-20",13.84
"829","2011-07-21",14.4
"830","2011-07-22",14.72
"831","2011-07-25",14.52
"832","2011-07-26",13.68
"833","2011-07-27",13.68
"834","2011-07-28",13.68
"835","2011-07-29",13.12
"836","2011-08-01",13.6
"837","2011-08-02",12.4
"838","2011-08-03",12.84
"839","2011-08-04",12.72
"840","2011-08-05",11.08
"841","2011-08-08",10.64
"842","2011-08-09",10.8
"843","2011-08-10",10.64
"844","2011-08-11",11.04
"845","2011-08-12",11.24
"846","2011-08-15",17
"847","2011-08-16",16.48
"848","2011-08-17",13.84
"849","2011-08-18",15.04
"850","2011-08-19",14.32
"851","2011-08-22",13.6
"852","2011-08-23",12.44
"853","2011-08-24",12.6
"854","2011-08-25",12.4
"855","2011-08-26",12.4
"856","2011-08-29",12.4
"857","2011-08-30",13.52
"858","2011-08-31",13.4
"859","2011-09-01",12.52
"860","2011-09-02",12.52
"861","2011-09-06",12.4
"862","2011-09-07",12.4
"863","2011-09-08",12.72
"864","2011-09-09",12.2
"865","2011-09-12",12.2
"866","2011-09-13",11.72
"867","2011-09-14",11.72
"868","2011-09-15",12.04
"869","2011-09-16",11.2
"870","2011-09-19",11
"871","2011-09-20",10.28
"872","2011-09-21",9.32
"873","2011-09-22",8.04
"874","2011-09-23",8.28
"875","2011-09-26",9.8
"876","2011-09-27",9.96
"877","2011-09-28",10
"878","2011-09-29",10.2
"879","2011-09-30",10.12
"880","2011-10-03",10.12
"881","2011-10-04",10.28
"882","2011-10-05",11.96
"883","2011-10-06",12.72
"884","2011-10-07",12.96
"885","2011-10-10",11.64
"886","2011-10-11",12.64
"887","2011-10-12",12
"888","2011-10-13",12
"889","2011-10-14",11.68
"890","2011-10-17",11.6
"891","2011-10-18",10.44
"892","2011-10-19",10.44
"893","2011-10-20",10.32
"894","2011-10-21",10.6
"895","2011-10-24",10.24
"896","2011-10-25",10.64
"897","2011-10-26",10.64
"898","2011-10-27",10.48
"899","2011-10-28",10.32
"900","2011-10-31",10.32
"901","2011-11-01",10.32
"902","2011-11-02",10.88
"903","2011-11-03",10.88
"904","2011-11-04",10.88
"905","2011-11-07",10.32
"906","2011-11-08",10.2
"907","2011-11-09",10.2
"908","2011-11-10",10.2
"909","2011-11-11",10.2
"910","2011-11-14",10.48
"911","2011-11-15",13.04
"912","2011-11-16",10.8
"913","2011-11-17",9.2
"914","2011-11-18",9.16
"915","2011-11-21",8.4
"916","2011-11-22",7.48
"917","2011-11-23",8.08
"918","2011-11-25",8.8
"919","2011-11-28",7.44
"920","2011-11-29",7.84
"921","2011-11-30",7.4
"922","2011-12-01",8
"923","2011-12-02",7.6
"924","2011-12-05",6.64
"925","2011-12-06",7.92
"926","2011-12-07",7.84
"927","2011-12-08",7.48
"928","2011-12-09",6.72
"929","2011-12-12",7.12
"930","2011-12-13",7.12
"931","2011-12-14",6.44
"932","2011-12-15",6.28
"933","2011-12-16",6.12
"934","2011-12-19",6
"935","2011-12-20",6.24
"936","2011-12-21",6
"937","2011-12-22",5.96
"938","2011-12-23",5.8
"939","2011-12-27",5.48
"940","2011-12-28",5.12
"941","2011-12-29",5
"942","2011-12-30",5.2
"943","2012-01-03",5.28
"944","2012-01-04",5.28
"945","2012-01-05",4.04
"946","2012-01-06",4.32
"947","2012-01-09",3.64
"948","2012-01-10",3.72
"949","2012-01-11",3.6
"950","2012-01-12",3.2
"951","2012-01-13",2.92
"952","2012-01-17",2.76
"953","2012-01-18",2.92
"954","2012-01-19",3.08
"955","2012-01-20",3
