"","date","EGBN"
"540","2009-02-24",5.281818
"541","2009-02-25",4.954545
"542","2009-02-26",5.090909
"543","2009-02-27",4.909091
"544","2009-03-02",4.918182
"545","2009-03-03",5.181818
"546","2009-03-04",5.181818
"547","2009-03-05",5.181818
"548","2009-03-06",4.909091
"549","2009-03-09",4.927273
"550","2009-03-10",5
"551","2009-03-11",5.672727
"552","2009-03-12",5.218182
"553","2009-03-13",5.772727
"554","2009-03-16",5.663636
"555","2009-03-17",5.218182
"556","2009-03-18",5.681818
"557","2009-03-19",5.654545
"558","2009-03-20",5.681818
"559","2009-03-23",5.418182
"560","2009-03-24",5.663636
"561","2009-03-25",5.618182
"562","2009-03-26",5.481818
"563","2009-03-27",5.481818
"564","2009-03-30",5.481818
"565","2009-03-31",5.681818
"566","2009-04-01",5.681818
"567","2009-04-02",5.954545
"568","2009-04-03",6.136364
"569","2009-04-06",6.136364
"570","2009-04-07",5.945455
"571","2009-04-08",6.209091
"572","2009-04-09",6.590909
"573","2009-04-13",7.363636
"574","2009-04-14",7.427273
"575","2009-04-15",7.5
"576","2009-04-16",7.818182
"577","2009-04-17",7.781818
"578","2009-04-20",7.363636
"579","2009-04-21",7.445455
"580","2009-04-22",7.463636
"581","2009-04-23",7.445455
"582","2009-04-24",7.445455
"583","2009-04-27",7.454545
"584","2009-04-28",7.454545
"585","2009-04-29",7.454545
"586","2009-04-30",6.545455
"587","2009-05-01",7.318182
"588","2009-05-04",6.654545
"589","2009-05-05",7.136364
"590","2009-05-06",7.136364
"591","2009-05-07",6.827273
"592","2009-05-08",7.081818
"593","2009-05-11",6.972727
"594","2009-05-12",7.081818
"595","2009-05-13",7.181818
"596","2009-05-14",7.245454
"597","2009-05-15",7.227273
"598","2009-05-18",7
"599","2009-05-19",7.209091
"600","2009-05-20",7.454545
"601","2009-05-21",7.5
"602","2009-05-22",7.709091
"603","2009-05-26",7.890909
"604","2009-05-27",7.645454
"605","2009-05-28",7.436364
"606","2009-05-29",7.2
"607","2009-06-01",7.181818
"608","2009-06-02",6.772727
"609","2009-06-03",6.818182
"610","2009-06-04",6.818182
"611","2009-06-05",7.181818
"612","2009-06-08",7.009091
"613","2009-06-09",7.390909
