"","date","PEGA"
"774","2010-01-28",17.855
"775","2010-01-29",16.625
"776","2010-02-01",17.620001
"777","2010-02-02",18.5
"778","2010-02-03",18.174999
"779","2010-02-04",17.790001
"780","2010-02-05",17.375
"781","2010-02-08",17.280001
"782","2010-02-09",17.51
"783","2010-02-10",17.635
"784","2010-02-11",17.895
"785","2010-02-12",17.73
"786","2010-02-16",17.940001
"787","2010-02-17",18.165001
"788","2010-02-18",18.48
"789","2010-02-19",18.514999
"790","2010-02-22",18.215
"791","2010-02-23",18.27
"792","2010-02-24",18.290001
"793","2010-02-25",18.395
"794","2010-02-26",18
"795","2010-03-01",18.014999
"796","2010-03-02",17.815001
"797","2010-03-03",17.715
"798","2010-03-04",17.51
"799","2010-03-05",17.93
"800","2010-03-08",18.014999
"801","2010-03-09",18.045
"802","2010-03-10",18.295
"803","2010-03-11",18.285
"804","2010-03-12",18.415001
"805","2010-03-15",19.65
"806","2010-03-16",19.6
"807","2010-03-17",19.445
"808","2010-03-18",19.245001
"809","2010-03-19",18.885
"810","2010-03-22",19.485001
"811","2010-03-23",19.555
"812","2010-03-24",19.190001
"813","2010-03-25",18.985001
"814","2010-03-26",18.9
"815","2010-03-29",18.82
"816","2010-03-30",18.655001
"817","2010-03-31",18.5
"818","2010-04-01",18.620001
"819","2010-04-05",18.879999
"820","2010-04-06",19.025
"821","2010-04-07",19.065001
"822","2010-04-08",18.870001
"823","2010-04-09",18.655001
"824","2010-04-12",18.629999
"825","2010-04-13",18.549999
"826","2010-04-14",19.035
"827","2010-04-15",19.08
"828","2010-04-16",19.004999
"829","2010-04-19",18.91
"830","2010-04-20",19.565001
"831","2010-04-21",19.465
"832","2010-04-22",19.645
"833","2010-04-23",17.344999
"834","2010-04-26",16.67
"835","2010-04-27",15.73
"836","2010-04-28",15.68
"837","2010-04-29",15.88
"838","2010-04-30",15.835
"839","2010-05-03",16.025
"840","2010-05-04",16.23
"841","2010-05-05",16.09
"842","2010-05-06",15.7
"843","2010-05-07",15.57
"844","2010-05-10",16.4
"845","2010-05-11",15.8
"846","2010-05-12",16.355
"847","2010-05-13",16.5
"848","2010-05-14",16.245001
"849","2010-05-17",15.935
"850","2010-05-18",15.5
"851","2010-05-19",15.46
"852","2010-05-20",14.505
"853","2010-05-21",14.9
"854","2010-05-24",14.72
"855","2010-05-25",14.605
"856","2010-05-26",15.065
"857","2010-05-27",15.17
"858","2010-05-28",14.955
"859","2010-06-01",14.555
"860","2010-06-02",14.785
"861","2010-06-03",14.875
"862","2010-06-04",14.31
"863","2010-06-07",13.675
"864","2010-06-08",13.65
"865","2010-06-09",14.395
"866","2010-06-10",14.835
"867","2010-06-11",15.13
"868","2010-06-14",14.995
"869","2010-06-15",15.44
"870","2010-06-16",15.77
"871","2010-06-17",15.8
"872","2010-06-18",15.755
"873","2010-06-21",15.77
"874","2010-06-22",15.98
"875","2010-06-23",16.254999
"876","2010-06-24",16.41
"877","2010-06-25",16.67
"878","2010-06-28",16.934999
"879","2010-06-29",16.290001
"880","2010-06-30",16.055
"881","2010-07-01",15.75
"882","2010-07-02",15.525
"883","2010-07-06",15.425
"884","2010-07-07",15.82
"885","2010-07-08",15.99
"886","2010-07-09",16.594999
"887","2010-07-12",16.26
"888","2010-07-13",16.860001
"889","2010-07-14",16.535
"890","2010-07-15",16.195
"891","2010-07-16",15.625
"892","2010-07-19",15.66
"893","2010-07-20",15.725
"894","2010-07-21",15.535
"895","2010-07-22",16.280001
"896","2010-07-23",16.35
"897","2010-07-26",16.540001
"898","2010-07-27",16.360001
"899","2010-07-28",15.975
"900","2010-07-29",15.745
"901","2010-07-30",15.38
"902","2010-08-02",16.01
"903","2010-08-03",15.43
"904","2010-08-04",15.4
"905","2010-08-05",15.085
"906","2010-08-06",14.905
"907","2010-08-09",14.825
"908","2010-08-10",11.655
