"","date","DXC"
"838","2010-04-30",26.028067
"839","2010-05-03",25.794563
"840","2010-05-04",25.337496
"841","2010-05-05",25.317623
"842","2010-05-06",24.974821
"843","2010-05-07",24.632021
"844","2010-05-10",25.416986
"845","2010-05-11",25.282846
"846","2010-05-12",25.749851
"847","2010-05-13",25.471636
"848","2010-05-14",24.766159
"849","2010-05-17",24.776096
"850","2010-05-18",24.512785
"851","2010-05-19",24.398518
"852","2010-05-20",23.787437
"853","2010-05-21",24.71151
"854","2010-05-24",24.254442
"855","2010-05-25",23.956354
"856","2010-05-26",24.115334
"857","2010-05-27",24.761192
"858","2010-05-28",24.835714
"859","2010-06-01",23.817245
"860","2010-06-02",24.617115
"861","2010-06-03",24.969852
"862","2010-06-04",23.737755
"863","2010-06-07",23.524126
"864","2010-06-08",23.842087
"865","2010-06-09",23.812277
"866","2010-06-10",24.562466
"867","2010-06-11",24.463104
"868","2010-06-14",24.393549
"869","2010-06-15",24.935076
"870","2010-06-16",25.044374
"871","2010-06-17",25.337496
"872","2010-06-18",25.103992
"873","2010-06-21",24.974821
"874","2010-06-22",24.547562
"875","2010-06-23",24.373676
"876","2010-06-24",23.7775
"877","2010-06-25",23.802341
"878","2010-06-28",23.598648
"879","2010-06-29",22.634829
"880","2010-06-30",22.480818
"881","2010-07-01",22.167824
"882","2010-07-02",21.909481
"883","2010-07-06",21.710756
"884","2010-07-07",22.480818
"885","2010-07-08",22.530499
"886","2010-07-09",22.689478
"887","2010-07-12",22.788841
"888","2010-07-13",23.355209
"889","2010-07-14",23.201197
"890","2010-07-15",23.206165
"891","2010-07-16",22.505657
"892","2010-07-19",22.89814
"893","2010-07-20",22.942854
"894","2010-07-21",22.416231
"895","2010-07-22",23.052153
"896","2010-07-23",23.240942
"897","2010-07-26",23.255846
"898","2010-07-27",23.047184
"899","2010-07-28",23.002472
"900","2010-07-29",22.441072
"901","2010-07-30",22.520561
"902","2010-08-02",23.042217
"903","2010-08-03",22.868332
"904","2010-08-04",23.007439
"905","2010-08-05",23.037249
"906","2010-08-06",22.878267
"907","2010-08-09",23.141579
"908","2010-08-10",23.072025
"909","2010-08-11",21.800182
"910","2010-08-12",21.109612
"911","2010-08-13",20.886045
"912","2010-08-16",20.990376
"913","2010-08-17",21.069866
"914","2010-08-18",21.054962
"915","2010-08-19",20.871141
"916","2010-08-20",20.876108
"917","2010-08-23",20.443882
"918","2010-08-24",20.086176
"919","2010-08-25",19.922226
"920","2010-08-26",19.927195
"921","2010-08-27",20.255093
"922","2010-08-30",19.961971
"923","2010-08-31",19.778151
"924","2010-09-01",20.697256
"925","2010-09-02",20.851269
"926","2010-09-03",21.119547
"927","2010-09-07",20.717129
"928","2010-09-08",20.801586
"929","2010-09-09",20.732033
"930","2010-09-10",21.298401
