"","date","PULM"
"919","2017-11-09",15.5
"920","2017-11-10",16.200001
"921","2017-11-13",16.4
"922","2017-11-14",15.6
"923","2017-11-15",15.4
"924","2017-11-16",16.200001
"925","2017-11-17",16.200001
"926","2017-11-20",16.299999
"927","2017-11-21",15.7
"928","2017-11-22",16.200001
"929","2017-11-24",16.299999
"930","2017-11-27",15.9
"931","2017-11-28",15.8
"932","2017-11-29",15.4
"933","2017-11-30",15.6
"934","2017-12-01",16.299999
"935","2017-12-04",16.5
"936","2017-12-05",16.6
"937","2017-12-06",16.200001
"938","2017-12-07",15.6
"939","2017-12-08",15.7
"940","2017-12-11",15.6
"941","2017-12-12",15.1
"942","2017-12-13",14.6
"943","2017-12-14",14.7
"944","2017-12-15",14.5
"945","2017-12-18",14.6
"946","2017-12-19",14.6
"947","2017-12-20",14.8
"948","2017-12-21",14.6
"949","2017-12-22",14.8
"950","2017-12-26",14.6
"951","2017-12-27",14.7
"952","2017-12-28",14.5
"953","2017-12-29",14.1
"954","2018-01-02",14.2
"955","2018-01-03",15.2
"956","2018-01-04",15.9
"957","2018-01-05",17.200001
"958","2018-01-08",16.200001
"959","2018-01-09",15.7
"960","2018-01-10",15.3
"961","2018-01-11",16
"962","2018-01-12",15.4
"963","2018-01-16",14.9
"964","2018-01-17",14.5
"965","2018-01-18",14.7
"966","2018-01-19",14.8
"967","2018-01-22",14.5
"968","2018-01-23",14.5
"969","2018-01-24",14.6
"970","2018-01-25",16.799999
"971","2018-01-26",19.9
"972","2018-01-29",19.299999
"973","2018-01-30",19.200001
"974","2018-01-31",18.1
"975","2018-02-01",17.200001
"976","2018-02-02",16.33
"977","2018-02-05",15.4
"978","2018-02-06",15.3
"979","2018-02-07",15.5
"980","2018-02-08",14.8
"981","2018-02-09",15.1
"982","2018-02-12",14.7
"983","2018-02-13",14.5
"984","2018-02-14",14.1
"985","2018-02-15",15.3
"986","2018-02-16",14.8
"987","2018-02-20",14.6
"988","2018-02-21",14.8
"989","2018-02-22",14.5
"990","2018-02-23",14.3
"991","2018-02-26",14.6
