"","date","MSBI"
"835","2019-09-17",27.370001
"836","2019-09-18",27.389999
"837","2019-09-19",27.059999
"838","2019-09-20",27.120001
"839","2019-09-23",27.219999
"840","2019-09-24",26.709999
"841","2019-09-25",26.91
"842","2019-09-26",26.4
"843","2019-09-27",26.34
"844","2019-09-30",26.049999
"845","2019-10-01",25.42
"846","2019-10-02",25.540001
"847","2019-10-03",25.51
"848","2019-10-04",25.969999
"849","2019-10-07",25.690001
"850","2019-10-08",25.24
"851","2019-10-09",25.49
"852","2019-10-10",25.65
"853","2019-10-11",26
"854","2019-10-14",25.99
"855","2019-10-15",26.129999
"856","2019-10-16",26.190001
"857","2019-10-17",26.26
"858","2019-10-18",26.309999
"859","2019-10-21",26.5
"860","2019-10-22",26.540001
"861","2019-10-23",26.5
"862","2019-10-24",26.440001
"863","2019-10-25",26.120001
"864","2019-10-28",26.809999
"865","2019-10-29",26.85
"866","2019-10-30",26.790001
"867","2019-10-31",26.799999
"868","2019-11-01",27.17
"869","2019-11-04",27.450001
"870","2019-11-05",27.66
"871","2019-11-06",27.74
"872","2019-11-07",27.795
"873","2019-11-08",28.040001
"874","2019-11-11",28.08
"875","2019-11-12",28.190001
"876","2019-11-13",28.02
"877","2019-11-14",28.07
"878","2019-11-15",28.049999
"879","2019-11-18",28.030001
"880","2019-11-19",28.110001
"881","2019-11-20",27.82
"882","2019-11-21",27.75
"883","2019-11-22",27.799999
"884","2019-11-25",28.059999
"885","2019-11-26",28.15
"886","2019-11-27",28.190001
"887","2019-11-29",28.08
"888","2019-12-02",28.049999
"889","2019-12-03",27.790001
"890","2019-12-04",28.01
"891","2019-12-05",28.09
"892","2019-12-06",28.4
"893","2019-12-09",28.43
"894","2019-12-10",28.5
"895","2019-12-11",28.5
"896","2019-12-12",28.719999
"897","2019-12-13",28.48
"898","2019-12-16",28.92
"899","2019-12-17",29.219999
"900","2019-12-18",29.280001
"901","2019-12-19",29.34
"902","2019-12-20",29.200001
"903","2019-12-23",28.969999
"904","2019-12-24",28.91
"905","2019-12-26",28.98
"906","2019-12-27",28.959999
"907","2019-12-30",29.040001
"908","2019-12-31",28.959999
"909","2020-01-02",28.9
"910","2020-01-03",28.59
"911","2020-01-06",28.51
"912","2020-01-07",28.440001
"913","2020-01-08",28.639999
"914","2020-01-09",28.67
"915","2020-01-10",28.49
"916","2020-01-13",28.860001
"917","2020-01-14",28.690001
"918","2020-01-15",28.59
"919","2020-01-16",28.83
"920","2020-01-17",28.610001
"921","2020-01-21",28.16
"922","2020-01-22",27.709999
"923","2020-01-23",27.75
"924","2020-01-24",27.139999
"925","2020-01-27",26.690001
"926","2020-01-28",26.780001
"927","2020-01-29",26.690001
"928","2020-01-30",27.07
"929","2020-01-31",26.42
"930","2020-02-03",26.780001
"931","2020-02-04",26.98
"932","2020-02-05",27.66
"933","2020-02-06",27.32
"934","2020-02-07",27.120001
"935","2020-02-10",27.02
"936","2020-02-11",27.24
"937","2020-02-12",27.09
"938","2020-02-13",27.030001
"939","2020-02-14",26.780001
"940","2020-02-18",26.58
"941","2020-02-19",26.67
"942","2020-02-20",26.98
"943","2020-02-21",26.780001
"944","2020-02-24",26.110001
"945","2020-02-25",25.27
"946","2020-02-26",25.110001
"947","2020-02-27",24.9
"948","2020-02-28",23.82
"949","2020-03-02",24.85
"950","2020-03-03",24.049999
"951","2020-03-04",24.200001
"952","2020-03-05",23.17
"953","2020-03-06",22.799999
"954","2020-03-09",19.99
"955","2020-03-10",20.91
"956","2020-03-11",19.5
"957","2020-03-12",18.219999
"958","2020-03-13",19.85
"959","2020-03-16",16.67
"960","2020-03-17",17.459999
