"","date","TEVA"
"592","2009-05-08",44.029999
"593","2009-05-11",45.150002
"594","2009-05-12",45.119999
"595","2009-05-13",44.84
"596","2009-05-14",44.959999
"597","2009-05-15",44.93
"598","2009-05-18",44.830002
"599","2009-05-19",44.75
"600","2009-05-20",44.700001
"601","2009-05-21",44.279999
"602","2009-05-22",45.470001
"603","2009-05-26",46.66
"604","2009-05-27",46.369999
"605","2009-05-28",46.310001
"606","2009-05-29",46.360001
"607","2009-06-01",46.580002
"608","2009-06-02",46.200001
"609","2009-06-03",46.59
"610","2009-06-04",47.880001
"611","2009-06-05",47.77
"612","2009-06-08",47.779999
"613","2009-06-09",48.200001
"614","2009-06-10",47.959999
"615","2009-06-11",48.73
"616","2009-06-12",48.740002
"617","2009-06-15",47.860001
"618","2009-06-16",47.77
"619","2009-06-17",47.77
"620","2009-06-18",47.400002
"621","2009-06-19",47.27
"622","2009-06-22",46.75
"623","2009-06-23",46.43
"624","2009-06-24",47.380001
"625","2009-06-25",48.07
"626","2009-06-26",48.599998
"627","2009-06-29",49.150002
"628","2009-06-30",49.34
"629","2009-07-01",50.189999
"630","2009-07-02",49.700001
"631","2009-07-06",49.68
"632","2009-07-07",49.259998
"633","2009-07-08",48.75
"634","2009-07-09",48.790001
"635","2009-07-10",48.59
"636","2009-07-13",49.299999
"637","2009-07-14",49.5
"638","2009-07-15",49.790001
"639","2009-07-16",49.57
"640","2009-07-17",49.369999
"641","2009-07-20",49.389999
"642","2009-07-21",50
"643","2009-07-22",49.470001
"644","2009-07-23",50.189999
"645","2009-07-24",50.349998
"646","2009-07-27",51.099998
"647","2009-07-28",53.25
"648","2009-07-29",54.25
"649","2009-07-30",52.82
"650","2009-07-31",53.34
"651","2009-08-03",53.580002
"652","2009-08-04",53.700001
"653","2009-08-05",52.43
"654","2009-08-06",52.009998
"655","2009-08-07",51.720001
"656","2009-08-10",51.509998
"657","2009-08-11",51.470001
"658","2009-08-12",51.77
"659","2009-08-13",51.900002
"660","2009-08-14",51.389999
"661","2009-08-17",50.860001
"662","2009-08-18",50.790001
"663","2009-08-19",51.450001
"664","2009-08-20",51.700001
"665","2009-08-21",51.540001
"666","2009-08-24",52.220001
"667","2009-08-25",52.52
"668","2009-08-26",51.650002
"669","2009-08-27",51.380001
"670","2009-08-28",51.799999
"671","2009-08-31",51.5
"672","2009-09-01",51.09
"673","2009-09-02",50.529999
"674","2009-09-03",50.389999
"675","2009-09-04",51.16
"676","2009-09-08",51.380001
"677","2009-09-09",52.41
"678","2009-09-10",52.68
"679","2009-09-11",52.700001
"680","2009-09-14",51.689999
"681","2009-09-15",50.779999
"682","2009-09-16",51.389999
"683","2009-09-17",50.810001
"684","2009-09-18",51.880001
"685","2009-09-21",51.82
"686","2009-09-22",50.939999
"687","2009-09-23",50.610001
"688","2009-09-24",50.75
"689","2009-09-25",50.970001
"690","2009-09-28",51.610001
"691","2009-09-29",51.189999
"692","2009-09-30",50.560001
"693","2009-10-01",49.25
"694","2009-10-02",50.080002
"695","2009-10-05",50.360001
"696","2009-10-06",50.939999
"697","2009-10-07",50.869999
"698","2009-10-08",51.369999
"699","2009-10-09",51.52
"700","2009-10-12",51.389999
"701","2009-10-13",51.189999
"702","2009-10-14",51.41
"703","2009-10-15",50.650002
"704","2009-10-16",50.299999
"705","2009-10-19",50.549999
"706","2009-10-20",51.27
"707","2009-10-21",50.91
"708","2009-10-22",50.619999
"709","2009-10-23",50.299999
"710","2009-10-26",49.970001
"711","2009-10-27",49.779999
"712","2009-10-28",49.290001
"713","2009-10-29",50.799999
"714","2009-10-30",50.48
"715","2009-11-02",51.189999
"716","2009-11-03",50.490002
"717","2009-11-04",50.459999
"718","2009-11-05",51.619999
"719","2009-11-06",52.029999
"720","2009-11-09",53.200001
"721","2009-11-10",52.77
"722","2009-11-11",52.560001
"723","2009-11-12",52.209999
"724","2009-11-13",52.279999
"725","2009-11-16",52.810001
"726","2009-11-17",52.619999
"727","2009-11-18",53.060001
"728","2009-11-19",53.040001
"729","2009-11-20",52.720001
"730","2009-11-23",53.43
"731","2009-11-24",53.27
"732","2009-11-25",53.16
"733","2009-11-27",52.880001
"734","2009-11-30",52.790001
"735","2009-12-01",53.380001
"736","2009-12-02",53.939999
"737","2009-12-03",53.57
"738","2009-12-04",54.009998
"739","2009-12-07",53.25
"740","2009-12-08",52.439999
"741","2009-12-09",52.810001
"742","2009-12-10",53.130001
"743","2009-12-11",52.790001
"744","2009-12-14",53.490002
"745","2009-12-15",53.200001
"746","2009-12-16",53.029999
"747","2009-12-17",52.470001
"748","2009-12-18",52.91
"749","2009-12-21",54.560001
"750","2009-12-22",55.790001
"751","2009-12-23",55.98
"752","2009-12-24",55.939999
"753","2009-12-28",56.27
"754","2009-12-29",55.5
"755","2009-12-30",55.880001
"756","2009-12-31",56.18
"757","2010-01-04",57.880001
"758","2010-01-05",57.060001
"759","2010-01-06",57.200001
"760","2010-01-07",56.84
"761","2010-01-08",59.34
"762","2010-01-11",58.970001
"763","2010-01-12",58.650002
"764","2010-01-13",58.950001
"765","2010-01-14",59.02
"766","2010-01-15",58.27
"767","2010-01-19",58.169998
"768","2010-01-20",58.419998
"769","2010-01-21",57.68
"770","2010-01-22",56.68
"771","2010-01-25",57.080002
"772","2010-01-26",56.990002
"773","2010-01-27",56.91
"774","2010-01-28",56.740002
"775","2010-01-29",56.720001
"776","2010-02-01",56.66
"777","2010-02-02",57.580002
"778","2010-02-03",57.790001
"779","2010-02-04",57.919998
"780","2010-02-05",56.759998
"781","2010-02-08",56.919998
"782","2010-02-09",57.099998
"783","2010-02-10",56.860001
"784","2010-02-11",58.299999
"785","2010-02-12",58.860001
"786","2010-02-16",58.139999
"787","2010-02-17",57.939999
"788","2010-02-18",57.189999
"789","2010-02-19",58.740002
"790","2010-02-22",59.869999
"791","2010-02-23",59.450001
"792","2010-02-24",59.560001
"793","2010-02-25",60.279999
"794","2010-02-26",60.009998
"795","2010-03-01",60.610001
"796","2010-03-02",60.950001
"797","2010-03-03",60.209999
"798","2010-03-04",61.169998
"799","2010-03-05",61.66
"800","2010-03-08",60.490002
"801","2010-03-09",61.48
"802","2010-03-10",60.939999
"803","2010-03-11",61.650002
"804","2010-03-12",61.299999
"805","2010-03-15",60.98
"806","2010-03-16",60.34
"807","2010-03-17",59.939999
"808","2010-03-18",62.009998
"809","2010-03-19",63.029999
"810","2010-03-22",64.43
"811","2010-03-23",64.540001
"812","2010-03-24",64.099998
"813","2010-03-25",64.199997
"814","2010-03-26",63.779999
"815","2010-03-29",63.77
"816","2010-03-30",63.57
"817","2010-03-31",63.080002
"818","2010-04-01",63.75
"819","2010-04-05",63.759998
"820","2010-04-06",63.77
"821","2010-04-07",63.509998
"822","2010-04-08",62.990002
"823","2010-04-09",63.150002
"824","2010-04-12",63.169998
"825","2010-04-13",63.049999
"826","2010-04-14",62.009998
"827","2010-04-15",62.799999
"828","2010-04-16",62.43
