"","date","WFC"
"898","2010-07-27",28.389999
"899","2010-07-28",28.07
"900","2010-07-29",27.690001
"901","2010-07-30",27.73
"902","2010-08-02",28.57
"903","2010-08-03",28.120001
"904","2010-08-04",27.93
"905","2010-08-05",27.879999
"906","2010-08-06",27.75
"907","2010-08-09",28.23
"908","2010-08-10",27.77
"909","2010-08-11",26.299999
"910","2010-08-12",26
"911","2010-08-13",25.84
"912","2010-08-16",25.68
"913","2010-08-17",25.34
"914","2010-08-18",25.379999
"915","2010-08-19",24.43
"916","2010-08-20",24.6
"917","2010-08-23",24.23
"918","2010-08-24",23.639999
"919","2010-08-25",23.6
"920","2010-08-26",23.49
"921","2010-08-27",24
"922","2010-08-30",23.25
"923","2010-08-31",23.549999
"924","2010-09-01",24.66
"925","2010-09-02",25.1
"926","2010-09-03",25.84
"927","2010-09-07",24.92
"928","2010-09-08",25.219999
"929","2010-09-09",25.690001
"930","2010-09-10",25.75
"931","2010-09-13",26.5
"932","2010-09-14",26.059999
"933","2010-09-15",26.34
"934","2010-09-16",26.059999
"935","2010-09-17",26.01
"936","2010-09-20",26.559999
"937","2010-09-21",26.379999
"938","2010-09-22",25.809999
"939","2010-09-23",25.040001
"940","2010-09-24",25.59
"941","2010-09-27",25.530001
"942","2010-09-28",25.35
"943","2010-09-29",25.040001
"944","2010-09-30",25.120001
"945","2010-10-01",25.559999
"946","2010-10-04",25.379999
"947","2010-10-05",26.25
"948","2010-10-06",26.299999
"949","2010-10-07",26
"950","2010-10-08",25.950001
"951","2010-10-11",25.65
"952","2010-10-12",25.98
"953","2010-10-13",25.809999
"954","2010-10-14",24.719999
"955","2010-10-15",23.58
"956","2010-10-18",24.870001
"957","2010-10-19",24.549999
"958","2010-10-20",25.6
"959","2010-10-21",26.030001
"960","2010-10-22",26.110001
"961","2010-10-25",25.719999
"962","2010-10-26",25.91
"963","2010-10-27",25.75
