"","date","KFRC"
"620","2009-06-18",8.52
"621","2009-06-19",8.83
"622","2009-06-22",8.5
"623","2009-06-23",8.28
"624","2009-06-24",8.47
"625","2009-06-25",8.61
"626","2009-06-26",8.64
"627","2009-06-29",8.53
"628","2009-06-30",8.27
"629","2009-07-01",8.6
"630","2009-07-02",8.29
"631","2009-07-06",8.3
"632","2009-07-07",8.29
"633","2009-07-08",8.21
"634","2009-07-09",8.23
"635","2009-07-10",8.25
"636","2009-07-13",8.24
"637","2009-07-14",8.26
"638","2009-07-15",8.77
"639","2009-07-16",8.66
"640","2009-07-17",8.67
"641","2009-07-20",8.56
"642","2009-07-21",8.34
"643","2009-07-22",8.65
"644","2009-07-23",9.27
"645","2009-07-24",9.43
"646","2009-07-27",9.49
"647","2009-07-28",9.44
"648","2009-07-29",9.32
"649","2009-07-30",9.36
"650","2009-07-31",9.74
"651","2009-08-03",10.31
"652","2009-08-04",10.29
"653","2009-08-05",11.09
"654","2009-08-06",11
"655","2009-08-07",10.91
"656","2009-08-10",11.45
"657","2009-08-11",11.13
"658","2009-08-12",11.38
"659","2009-08-13",11.84
"660","2009-08-14",11.53
"661","2009-08-17",11.19
"662","2009-08-18",11.41
"663","2009-08-19",11.61
"664","2009-08-20",11.63
"665","2009-08-21",12.35
"666","2009-08-24",12.23
"667","2009-08-25",12.3
"668","2009-08-26",12.16
"669","2009-08-27",12.16
"670","2009-08-28",11.68
"671","2009-08-31",11.2
"672","2009-09-01",11.13
"673","2009-09-02",11.39
"674","2009-09-03",11.45
"675","2009-09-04",12.02
"676","2009-09-08",11.75
"677","2009-09-09",11.99
"678","2009-09-10",11.95
"679","2009-09-11",11.76
"680","2009-09-14",11.61
"681","2009-09-15",11.45
"682","2009-09-16",11.56
"683","2009-09-17",11.6
"684","2009-09-18",11.7
"685","2009-09-21",11.66
"686","2009-09-22",11.78
"687","2009-09-23",11.9
"688","2009-09-24",12.01
"689","2009-09-25",12.13
"690","2009-09-28",12.27
"691","2009-09-29",12.22
"692","2009-09-30",12.02
"693","2009-10-01",11.72
"694","2009-10-02",11.2
"695","2009-10-05",11.33
"696","2009-10-06",11.68
"697","2009-10-07",11.51
"698","2009-10-08",11.79
"699","2009-10-09",12.02
"700","2009-10-12",11.69
"701","2009-10-13",11.47
"702","2009-10-14",11.42
"703","2009-10-15",11.23
"704","2009-10-16",11.15
"705","2009-10-19",11.58
"706","2009-10-20",11.68
"707","2009-10-21",11.57
"708","2009-10-22",11.96
"709","2009-10-23",11.93
"710","2009-10-26",11.68
"711","2009-10-27",11.65
"712","2009-10-28",11.62
"713","2009-10-29",11.82
"714","2009-10-30",11.73
"715","2009-11-02",11.81
"716","2009-11-03",12.01
"717","2009-11-04",12.01
"718","2009-11-05",13.04
"719","2009-11-06",13.28
"720","2009-11-09",13.38
"721","2009-11-10",13.44
"722","2009-11-11",13.35
"723","2009-11-12",12.95
"724","2009-11-13",13.5
"725","2009-11-16",13.55
"726","2009-11-17",13.8
"727","2009-11-18",13.92
"728","2009-11-19",13.6
"729","2009-11-20",13.49
"730","2009-11-23",13.58
"731","2009-11-24",13.5
"732","2009-11-25",13.22
"733","2009-11-27",12.9
"734","2009-11-30",12.95
"735","2009-12-01",13.16
"736","2009-12-02",13.36
"737","2009-12-03",13.03
"738","2009-12-04",13.74
"739","2009-12-07",14.2
"740","2009-12-08",13.98
"741","2009-12-09",13.94
"742","2009-12-10",13.77
"743","2009-12-11",13.8
"744","2009-12-14",13.89
"745","2009-12-15",13.73
"746","2009-12-16",13.89
"747","2009-12-17",14
"748","2009-12-18",14.25
"749","2009-12-21",12.17
"750","2009-12-22",11.92
"751","2009-12-23",11.73
"752","2009-12-24",11.62
"753","2009-12-28",11.45
"754","2009-12-29",11.47
"755","2009-12-30",12.7
"756","2009-12-31",12.5
"757","2010-01-04",12.61
"758","2010-01-05",12.45
"759","2010-01-06",12.6
"760","2010-01-07",13.48
"761","2010-01-08",13.66
"762","2010-01-11",13.71
"763","2010-01-12",13.72
"764","2010-01-13",14.31
"765","2010-01-14",14.55
"766","2010-01-15",14.51
"767","2010-01-19",14.94
"768","2010-01-20",15
"769","2010-01-21",15
