"","date","GEL"
"778","2010-02-03",19.610001
"779","2010-02-04",19.4
"780","2010-02-05",18.639999
"781","2010-02-08",18.809999
"782","2010-02-09",19.049999
"783","2010-02-10",18.59
"784","2010-02-11",19.09
"785","2010-02-12",19.370001
"786","2010-02-16",19.959999
"787","2010-02-17",20.1
"788","2010-02-18",20.110001
"789","2010-02-19",19.879999
"790","2010-02-22",19.879999
"791","2010-02-23",19.77
"792","2010-02-24",19.35
"793","2010-02-25",19.92
"794","2010-02-26",19.809999
"795","2010-03-01",20.26
"796","2010-03-02",20.08
"797","2010-03-03",20.27
"798","2010-03-04",20.08
"799","2010-03-05",20.98
"800","2010-03-08",21.440001
"801","2010-03-09",21.59
"802","2010-03-10",21.52
"803","2010-03-11",21.48
"804","2010-03-12",21.549999
"805","2010-03-15",21.629999
"806","2010-03-16",20.450001
"807","2010-03-17",20.549999
"808","2010-03-18",20.549999
"809","2010-03-19",20.57
"810","2010-03-22",20.6
"811","2010-03-23",20.379999
"812","2010-03-24",19.780001
"813","2010-03-25",19.700001
"814","2010-03-26",19.25
"815","2010-03-29",19.559999
"816","2010-03-30",19.49
"817","2010-03-31",19.49
"818","2010-04-01",19.780001
"819","2010-04-05",20.1
"820","2010-04-06",20.299999
"821","2010-04-07",20.139999
"822","2010-04-08",20
"823","2010-04-09",19.940001
"824","2010-04-12",20.1
"825","2010-04-13",20.16
"826","2010-04-14",20.33
"827","2010-04-15",20.4
"828","2010-04-16",20.01
"829","2010-04-19",20.120001
"830","2010-04-20",20.540001
"831","2010-04-21",20.26
"832","2010-04-22",20.299999
"833","2010-04-23",20.51
"834","2010-04-26",20.5
"835","2010-04-27",20.190001
"836","2010-04-28",20.030001
"837","2010-04-29",19.870001
"838","2010-04-30",19.639999
"839","2010-05-03",19.700001
"840","2010-05-04",18.98
"841","2010-05-05",17.6
"842","2010-05-06",17.5
"843","2010-05-07",17.620001
"844","2010-05-10",18.25
"845","2010-05-11",18.59
"846","2010-05-12",18.91
"847","2010-05-13",18.43
