"","date","RUSHB"
"526","2009-02-03",5.72
"527","2009-02-04",5.606667
"528","2009-02-05",6.006667
"529","2009-02-06",6.613333
"530","2009-02-09",6.466667
"531","2009-02-10",6.44
"532","2009-02-11",6.466667
"533","2009-02-12",6.333333
"534","2009-02-13",6.12
"535","2009-02-17",6.046667
"536","2009-02-18",5.86
"537","2009-02-19",5.98
"538","2009-02-20",5.726666
"539","2009-02-23",5.386667
"540","2009-02-24",5.3
"541","2009-02-25",5.366667
"542","2009-02-26",5.18
"543","2009-02-27",5.246666
"544","2009-03-02",4.4
"545","2009-03-03",4.24
"546","2009-03-04",4.14
"547","2009-03-05",3.766667
"548","2009-03-06",3.713333
"549","2009-03-09",3.866667
"550","2009-03-10",3.933333
"551","2009-03-11",4.046667
"552","2009-03-12",4.326667
"553","2009-03-13",4.553333
"554","2009-03-16",4.413333
"555","2009-03-17",4.713333
"556","2009-03-18",5.406667
"557","2009-03-19",4.946667
"558","2009-03-20",4.986667
"559","2009-03-23",6.153333
"560","2009-03-24",5.546667
"561","2009-03-25",5.606667
"562","2009-03-26",5.746666
"563","2009-03-27",5.333333
"564","2009-03-30",5.333333
"565","2009-03-31",5.22
"566","2009-04-01",5.273334
"567","2009-04-02",6.3
"568","2009-04-03",6.126667
"569","2009-04-06",6.006667
"570","2009-04-07",6.013333
"571","2009-04-08",5.986667
"572","2009-04-09",5.96
"573","2009-04-13",6.24
"574","2009-04-14",6.553333
"575","2009-04-15",6.433333
"576","2009-04-16",6.666667
"577","2009-04-17",6.526667
"578","2009-04-20",5.84
"579","2009-04-21",6.06
"580","2009-04-22",5.806667
"581","2009-04-23",6.006667
"582","2009-04-24",6.233333
"583","2009-04-27",6.566667
"584","2009-04-28",6.653333
"585","2009-04-29",7.333333
"586","2009-04-30",7.413333
"587","2009-05-01",7.3
"588","2009-05-04",7.9
"589","2009-05-05",7.726666
"590","2009-05-06",7.893333
"591","2009-05-07",7.553333
"592","2009-05-08",7.9
"593","2009-05-11",7.533333
"594","2009-05-12",7.113333
"595","2009-05-13",6.58
"596","2009-05-14",6.54
"597","2009-05-15",6.18
"598","2009-05-18",6.753334
"599","2009-05-19",6.266667
"600","2009-05-20",6.28
"601","2009-05-21",6
"602","2009-05-22",6.1
"603","2009-05-26",6.353333
"604","2009-05-27",6.273334
"605","2009-05-28",6.306667
"606","2009-05-29",6.44
"607","2009-06-01",7.46
"608","2009-06-02",7.226666
"609","2009-06-03",7.28
"610","2009-06-04",7.26
"611","2009-06-05",7.24
"612","2009-06-08",7.246666
"613","2009-06-09",7.246666
"614","2009-06-10",6.82
"615","2009-06-11",6.866667
"616","2009-06-12",6.746666
"617","2009-06-15",6.66
"618","2009-06-16",6.333333
"619","2009-06-17",6.333333
"620","2009-06-18",6.28
"621","2009-06-19",6.386667
"622","2009-06-22",6.033333
"623","2009-06-23",6.14
"624","2009-06-24",6.306667
"625","2009-06-25",6.573333
"626","2009-06-26",6.406667
"627","2009-06-29",6.686666
"628","2009-06-30",6.606667
"629","2009-07-01",6.773334
"630","2009-07-02",6.046667
"631","2009-07-06",5.96
"632","2009-07-07",5.766667
"633","2009-07-08",6
"634","2009-07-09",5.826667
"635","2009-07-10",5.92
"636","2009-07-13",6.22
"637","2009-07-14",6.273334
"638","2009-07-15",6.96
"639","2009-07-16",7.14
"640","2009-07-17",7.046667
"641","2009-07-20",7.333333
"642","2009-07-21",7.166667
"643","2009-07-22",7.133333
"644","2009-07-23",7.533333
"645","2009-07-24",7.32
"646","2009-07-27",7.04
"647","2009-07-28",7.1
"648","2009-07-29",7.133333
"649","2009-07-30",7.546667
"650","2009-07-31",7.366667
"651","2009-08-03",7.6
"652","2009-08-04",7.933333
"653","2009-08-05",7.693333
"654","2009-08-06",7.406667
"655","2009-08-07",7.693333
"656","2009-08-10",7.886667
"657","2009-08-11",7.733333
"658","2009-08-12",7.68
"659","2009-08-13",7.66
"660","2009-08-14",7.446667
"661","2009-08-17",7
"662","2009-08-18",7.473333
"663","2009-08-19",7.7
