"","date","SAGE"
"543","2016-09-12",40.610001
"544","2016-09-13",41.080002
"545","2016-09-14",41.59
"546","2016-09-15",43.259998
"547","2016-09-16",43.91
"548","2016-09-19",45.23
"549","2016-09-20",45.869999
"550","2016-09-21",46.25
"551","2016-09-22",45.82
"552","2016-09-23",46.540001
"553","2016-09-26",46.450001
"554","2016-09-27",46.59
"555","2016-09-28",46.779999
"556","2016-09-29",45.529999
"557","2016-09-30",46.049999
"558","2016-10-03",45.639999
"559","2016-10-04",45.919998
"560","2016-10-05",45.900002
"561","2016-10-06",43.540001
"562","2016-10-07",43.5
"563","2016-10-10",45.139999
"564","2016-10-11",43.369999
"565","2016-10-12",41.619999
"566","2016-10-13",42.080002
"567","2016-10-14",40.880001
"568","2016-10-17",41.139999
"569","2016-10-18",41.130001
"570","2016-10-19",41.07
"571","2016-10-20",42.299999
"572","2016-10-21",43.060001
"573","2016-10-24",43.529999
"574","2016-10-25",43.740002
"575","2016-10-26",44.32
"576","2016-10-27",43.599998
"577","2016-10-28",43.369999
"578","2016-10-31",43.540001
"579","2016-11-01",43.580002
"580","2016-11-02",41.209999
"581","2016-11-03",38.709999
"582","2016-11-04",41.400002
"583","2016-11-07",43.759998
"584","2016-11-08",44.369999
"585","2016-11-09",48.23
"586","2016-11-10",51.369999
"587","2016-11-11",51.599998
"588","2016-11-14",54.360001
"589","2016-11-15",55.529999
"590","2016-11-16",52
"591","2016-11-17",52.200001
"592","2016-11-18",51.66
"593","2016-11-21",51.029999
"594","2016-11-22",49.209999
"595","2016-11-23",50.990002
"596","2016-11-25",51.77
"597","2016-11-28",50.360001
"598","2016-11-29",50.799999
"599","2016-11-30",50.110001
"600","2016-12-01",49.25
"601","2016-12-02",49.02
"602","2016-12-05",51.82
"603","2016-12-06",55.68
"604","2016-12-07",52.040001
"605","2016-12-08",51.580002
"606","2016-12-09",50.099998
"607","2016-12-12",47.57
"608","2016-12-13",48.07
"609","2016-12-14",47.950001
"610","2016-12-15",48.990002
"611","2016-12-16",48.5
"612","2016-12-19",47.279999
"613","2016-12-20",47.52
"614","2016-12-21",46.77
"615","2016-12-22",46.27
"616","2016-12-23",49.200001
"617","2016-12-27",49.439999
"618","2016-12-28",48.970001
"619","2016-12-29",49.77
"620","2016-12-30",51.060001
"621","2017-01-03",50.77
"622","2017-01-04",52.619999
"623","2017-01-05",53.209999
"624","2017-01-06",53.740002
"625","2017-01-09",53.369999
