"","date","HDS"
"616","2015-12-04",31.559999
"617","2015-12-07",31.49
"618","2015-12-08",29.17
"619","2015-12-09",29.66
"620","2015-12-10",30.02
"621","2015-12-11",29.6
"622","2015-12-14",29.15
"623","2015-12-15",29.41
"624","2015-12-16",30
"625","2015-12-17",29.1
"626","2015-12-18",29.040001
"627","2015-12-21",28.84
"628","2015-12-22",29.5
"629","2015-12-23",30.25
"630","2015-12-24",30.370001
"631","2015-12-28",30.17
"632","2015-12-29",30.5
"633","2015-12-30",30.120001
"634","2015-12-31",30.030001
"635","2016-01-04",30.48
"636","2016-01-05",29.290001
"637","2016-01-06",28.42
"638","2016-01-07",27.620001
"639","2016-01-08",27.209999
"640","2016-01-11",27.24
"641","2016-01-12",27.450001
"642","2016-01-13",26.43
"643","2016-01-14",26.870001
"644","2016-01-15",26.030001
"645","2016-01-19",25.43
"646","2016-01-20",25.08
"647","2016-01-21",25.5
"648","2016-01-22",26
"649","2016-01-25",24.84
"650","2016-01-26",25.57
"651","2016-01-27",25.17
"652","2016-01-28",25.01
"653","2016-01-29",26.27
"654","2016-02-01",26.16
"655","2016-02-02",24.98
"656","2016-02-03",24.629999
"657","2016-02-04",25.52
"658","2016-02-05",24.24
"659","2016-02-08",22.4
"660","2016-02-09",22.58
"661","2016-02-10",23.139999
"662","2016-02-11",22.48
"663","2016-02-12",23.309999
"664","2016-02-16",24.290001
"665","2016-02-17",25.91
"666","2016-02-18",25.969999
"667","2016-02-19",26.120001
"668","2016-02-22",27.15
"669","2016-02-23",26.73
"670","2016-02-24",26.99
"671","2016-02-25",27.200001
"672","2016-02-26",27.98
"673","2016-02-29",27.790001
"674","2016-03-01",28.41
"675","2016-03-02",28.559999
"676","2016-03-03",28.799999
"677","2016-03-04",28.99
"678","2016-03-07",28.82
"679","2016-03-08",27.719999
"680","2016-03-09",27.879999
"681","2016-03-10",27.33
"682","2016-03-11",28.32
"683","2016-03-14",28.440001
"684","2016-03-15",29.83
"685","2016-03-16",30.49
"686","2016-03-17",31.799999
"687","2016-03-18",31.93
"688","2016-03-21",32.139999
"689","2016-03-22",32.189999
"690","2016-03-23",31.809999
"691","2016-03-24",32.060001
"692","2016-03-28",32.57
"693","2016-03-29",33.580002
"694","2016-03-30",33.080002
"695","2016-03-31",33.07
"696","2016-04-01",33.34
"697","2016-04-04",32.860001
"698","2016-04-05",33.02
"699","2016-04-06",33.200001
"700","2016-04-07",33.23
