"","date","PFSI"
"731","2016-04-04",11.79
"732","2016-04-05",11.78
"733","2016-04-06",11.63
"734","2016-04-07",11.52
"735","2016-04-08",11.53
"736","2016-04-11",11.41
"737","2016-04-12",11.12
"738","2016-04-13",11.48
"739","2016-04-14",11.49
"740","2016-04-15",11.52
"741","2016-04-18",11.77
"742","2016-04-19",11.74
"743","2016-04-20",11.96
"744","2016-04-21",11.98
"745","2016-04-22",12
"746","2016-04-25",11.99
"747","2016-04-26",12.62
"748","2016-04-27",12.69
"749","2016-04-28",12.71
"750","2016-04-29",12.74
"751","2016-05-02",13.54
"752","2016-05-03",13.64
"753","2016-05-04",13.51
"754","2016-05-05",13.37
"755","2016-05-06",12.82
"756","2016-05-09",13.45
"757","2016-05-10",13.5
"758","2016-05-11",13.47
"759","2016-05-12",13.25
"760","2016-05-13",13.49
"761","2016-05-16",13.69
"762","2016-05-17",13.5
"763","2016-05-18",13.65
"764","2016-05-19",13.35
"765","2016-05-20",13.63
"766","2016-05-23",13.46
"767","2016-05-24",13.83
"768","2016-05-25",13.53
"769","2016-05-26",13.88
"770","2016-05-27",13.84
"771","2016-05-31",13.77
"772","2016-06-01",13.99
"773","2016-06-02",14.17
"774","2016-06-03",13.93
"775","2016-06-06",14.16
"776","2016-06-07",14.16
"777","2016-06-08",14.27
"778","2016-06-09",14.25
"779","2016-06-10",14.05
"780","2016-06-13",13.62
"781","2016-06-14",13.41
"782","2016-06-15",13.26
"783","2016-06-16",13.79
"784","2016-06-17",13.35
"785","2016-06-20",13.63
"786","2016-06-21",13.45
"787","2016-06-22",13.25
"788","2016-06-23",13.78
"789","2016-06-24",13.4
"790","2016-06-27",12.25
"791","2016-06-28",12.46
"792","2016-06-29",12.5
"793","2016-06-30",12.49
"794","2016-07-01",12.14
"795","2016-07-05",11.68
"796","2016-07-06",11.55
"797","2016-07-07",11.6
"798","2016-07-08",11.62
"799","2016-07-11",11.85
"800","2016-07-12",13.03
"801","2016-07-13",12.96
"802","2016-07-14",13.22
"803","2016-07-15",13.34
"804","2016-07-18",13.29
"805","2016-07-19",13.06
"806","2016-07-20",13.03
"807","2016-07-21",12.87
"808","2016-07-22",12.84
"809","2016-07-25",12.75
"810","2016-07-26",12.85
"811","2016-07-27",13.09
"812","2016-07-28",12.9
"813","2016-07-29",12.61
"814","2016-08-01",13.05
"815","2016-08-02",12.82
"816","2016-08-03",13.15
"817","2016-08-04",15.36
"818","2016-08-05",15.26
"819","2016-08-08",15.49
"820","2016-08-09",15.37
"821","2016-08-10",15.51
"822","2016-08-11",15.4
"823","2016-08-12",15.59
"824","2016-08-15",16.08
"825","2016-08-16",16.030001
"826","2016-08-17",16.120001
"827","2016-08-18",16.290001
"828","2016-08-19",16.4
"829","2016-08-22",16.360001
"830","2016-08-23",16.219999
"831","2016-08-24",16.209999
"832","2016-08-25",16.24
"833","2016-08-26",16.35
"834","2016-08-29",16.52
"835","2016-08-30",16.5
"836","2016-08-31",16.549999
"837","2016-09-01",16.5
"838","2016-09-02",16.469999
"839","2016-09-06",16.77
"840","2016-09-07",16.790001
"841","2016-09-08",16.549999
"842","2016-09-09",16.26
"843","2016-09-12",16.139999
"844","2016-09-13",17
"845","2016-09-14",17.389999
"846","2016-09-15",17.700001
"847","2016-09-16",17.66
"848","2016-09-19",17.76
"849","2016-09-20",17.889999
"850","2016-09-21",17.540001
"851","2016-09-22",17.530001
"852","2016-09-23",17.469999
"853","2016-09-26",17.440001
"854","2016-09-27",17.35
"855","2016-09-28",17.17
"856","2016-09-29",16.92
"857","2016-09-30",17.01
"858","2016-10-03",16.870001
"859","2016-10-04",16.73
"860","2016-10-05",16.639999
"861","2016-10-06",16.450001
"862","2016-10-07",16.24
"863","2016-10-10",15.99
"864","2016-10-11",16.02
"865","2016-10-12",16.23
"866","2016-10-13",16.190001
"867","2016-10-14",16.24
"868","2016-10-17",16.07
"869","2016-10-18",16.280001
"870","2016-10-19",16.33
"871","2016-10-20",16.280001
"872","2016-10-21",16.209999
"873","2016-10-24",16.33
"874","2016-10-25",16.309999
"875","2016-10-26",16.98
"876","2016-10-27",17.049999
"877","2016-10-28",16.959999
"878","2016-10-31",17.1
"879","2016-11-01",16.950001
"880","2016-11-02",16.9
"881","2016-11-03",17.15
"882","2016-11-04",17.700001
"883","2016-11-07",17.700001
"884","2016-11-08",17.85
"885","2016-11-09",17.1
"886","2016-11-10",16.549999
"887","2016-11-11",16.4
"888","2016-11-14",16.4
"889","2016-11-15",16.700001
"890","2016-11-16",16.75
"891","2016-11-17",16.65
"892","2016-11-18",16.65
"893","2016-11-21",16.85
"894","2016-11-22",17.15
"895","2016-11-23",17.15
"896","2016-11-25",17.700001
"897","2016-11-28",18
"898","2016-11-29",18.049999
"899","2016-11-30",17.4
"900","2016-12-01",17.299999
"901","2016-12-02",17.65
"902","2016-12-05",18.049999
"903","2016-12-06",18.450001
"904","2016-12-07",18.85
"905","2016-12-08",19.049999
"906","2016-12-09",18.950001
"907","2016-12-12",18.700001
"908","2016-12-13",18.65
"909","2016-12-14",18.6
"910","2016-12-15",17.299999
"911","2016-12-16",16.549999
"912","2016-12-19",16.5
"913","2016-12-20",16.4
"914","2016-12-21",16.75
"915","2016-12-22",16.450001
"916","2016-12-23",16.4
"917","2016-12-27",16.299999
"918","2016-12-28",16.25
"919","2016-12-29",16.9
"920","2016-12-30",16.65
"921","2017-01-03",16.75
"922","2017-01-04",17.15
"923","2017-01-05",16.799999
"924","2017-01-06",16.65
"925","2017-01-09",16.35
"926","2017-01-10",16.450001
