"","date","CAC"
"721","2009-11-10",18.9
"722","2009-11-11",20.440001
"723","2009-11-12",19.173334
"724","2009-11-13",19.273333
"725","2009-11-16",20.653334
"726","2009-11-17",21.059999
"727","2009-11-18",22.293333
"728","2009-11-19",21.879999
"729","2009-11-20",21.393333
"730","2009-11-23",22
"731","2009-11-24",21.833334
"732","2009-11-25",21.733334
"733","2009-11-27",20.353333
"734","2009-11-30",20.440001
"735","2009-12-01",20.686666
"736","2009-12-02",21.146667
"737","2009-12-03",20.393333
"738","2009-12-04",21.626667
"739","2009-12-07",21.433332
"740","2009-12-08",20.686666
"741","2009-12-09",21.886667
"742","2009-12-10",21.446667
"743","2009-12-11",21.033333
"744","2009-12-14",21.273333
"745","2009-12-15",21.360001
"746","2009-12-16",21.393333
"747","2009-12-17",21.42
"748","2009-12-18",21.459999
"749","2009-12-21",21.473333
"750","2009-12-22",21.42
"751","2009-12-23",21.113333
"752","2009-12-24",21.24
"753","2009-12-28",21.200001
"754","2009-12-29",21.073334
"755","2009-12-30",21.973333
"756","2009-12-31",21.799999
"757","2010-01-04",22.373333
"758","2010-01-05",21.466667
"759","2010-01-06",21.466667
"760","2010-01-07",22.379999
"761","2010-01-08",22.186666
"762","2010-01-11",21.726667
"763","2010-01-12",21.486666
"764","2010-01-13",21.68
"765","2010-01-14",21.566668
"766","2010-01-15",21.139999
"767","2010-01-19",21.6
"768","2010-01-20",21.026667
"769","2010-01-21",20.833334
"770","2010-01-22",20.120001
"771","2010-01-25",20.626667
"772","2010-01-26",20.386667
"773","2010-01-27",20.040001
"774","2010-01-28",19.186666
"775","2010-01-29",19.346666
"776","2010-02-01",20.02
"777","2010-02-02",20
"778","2010-02-03",19.826666
"779","2010-02-04",19.333334
"780","2010-02-05",19.493334
"781","2010-02-08",19.346666
"782","2010-02-09",19.566668
"783","2010-02-10",19.5
"784","2010-02-11",19.786667
"785","2010-02-12",19.666666
"786","2010-02-16",19.780001
"787","2010-02-17",20.559999
"788","2010-02-18",20.766666
"789","2010-02-19",20.086666
"790","2010-02-22",20.433332
"791","2010-02-23",20.959999
"792","2010-02-24",20.473333
"793","2010-02-25",20.306667
"794","2010-02-26",20.113333
"795","2010-03-01",20.200001
"796","2010-03-02",20.366667
"797","2010-03-03",20.139999
"798","2010-03-04",20.379999
"799","2010-03-05",21.046667
"800","2010-03-08",21.286667
"801","2010-03-09",21.360001
"802","2010-03-10",21.346666
"803","2010-03-11",21.66
"804","2010-03-12",21.546667
"805","2010-03-15",21.653334
"806","2010-03-16",21.726667
"807","2010-03-17",21.84
"808","2010-03-18",21.766666
"809","2010-03-19",22.446667
"810","2010-03-22",22.933332
"811","2010-03-23",22.766666
"812","2010-03-24",22.506666
"813","2010-03-25",21.9
"814","2010-03-26",22.033333
"815","2010-03-29",21.626667
"816","2010-03-30",21.466667
"817","2010-03-31",21.406666
"818","2010-04-01",21.48
"819","2010-04-05",22.1
"820","2010-04-06",22.459999
"821","2010-04-07",22.886667
"822","2010-04-08",22.386667
"823","2010-04-09",22.02
"824","2010-04-12",22.133333
"825","2010-04-13",22.200001
"826","2010-04-14",22.9
"827","2010-04-15",23.333334
"828","2010-04-16",23.16
"829","2010-04-19",23.226667
"830","2010-04-20",23.646667
"831","2010-04-21",23.459999
"832","2010-04-22",23.646667
"833","2010-04-23",23.793333
"834","2010-04-26",23.813334
"835","2010-04-27",23.293333
"836","2010-04-28",23.306667
"837","2010-04-29",24.440001
"838","2010-04-30",23.82
"839","2010-05-03",24.626667
"840","2010-05-04",23.653334
"841","2010-05-05",23.4
"842","2010-05-06",23.059999
"843","2010-05-07",22.333334
"844","2010-05-10",22.966667
"845","2010-05-11",23.48
"846","2010-05-12",24
"847","2010-05-13",23.959999
"848","2010-05-14",22.700001
"849","2010-05-17",23.219999
"850","2010-05-18",22.68
"851","2010-05-19",22.280001
"852","2010-05-20",20.853333
"853","2010-05-21",20.726667
"854","2010-05-24",20.4
"855","2010-05-25",20.02
"856","2010-05-26",20.08
"857","2010-05-27",21.360001
"858","2010-05-28",20.933332
"859","2010-06-01",19.940001
"860","2010-06-02",20.940001
"861","2010-06-03",21.206667
"862","2010-06-04",19.58
"863","2010-06-07",19.08
"864","2010-06-08",19.213333
"865","2010-06-09",19.106667
"866","2010-06-10",19.200001
"867","2010-06-11",19.866667
"868","2010-06-14",19.306667
"869","2010-06-15",19.613333
"870","2010-06-16",19.553333
"871","2010-06-17",19.786667
"872","2010-06-18",19.786667
"873","2010-06-21",19.493334
"874","2010-06-22",19.333334
"875","2010-06-23",19.200001
"876","2010-06-24",18.82
"877","2010-06-25",18.806667
"878","2010-06-28",18.806667
"879","2010-06-29",18.639999
"880","2010-06-30",18.313334
"881","2010-07-01",18.639999
"882","2010-07-02",18.406666
"883","2010-07-06",18.120001
"884","2010-07-07",19.046667
"885","2010-07-08",19.273333
"886","2010-07-09",19.700001
"887","2010-07-12",19.046667
"888","2010-07-13",20.200001
"889","2010-07-14",19.813334
"890","2010-07-15",19.686666
"891","2010-07-16",18.306667
"892","2010-07-19",18.066668
"893","2010-07-20",18.379999
"894","2010-07-21",17.846666
"895","2010-07-22",18.733334
"896","2010-07-23",19.26
"897","2010-07-26",20.08
"898","2010-07-27",20.42
"899","2010-07-28",20.666666
"900","2010-07-29",20.826666
"901","2010-07-30",20.833334
"902","2010-08-02",21.113333
"903","2010-08-03",20.893333
"904","2010-08-04",21.286667
"905","2010-08-05",21.033333
"906","2010-08-06",21.1
"907","2010-08-09",21.68
"908","2010-08-10",21.5
"909","2010-08-11",20.76
"910","2010-08-12",20.799999
"911","2010-08-13",20.360001
"912","2010-08-16",20.106667
"913","2010-08-17",20.620001
"914","2010-08-18",20.866667
"915","2010-08-19",19.533333
"916","2010-08-20",19.466667
"917","2010-08-23",19.233334
"918","2010-08-24",19.433332
"919","2010-08-25",20.700001
"920","2010-08-26",20.313334
"921","2010-08-27",20.426666
"922","2010-08-30",19.866667
"923","2010-08-31",20.326666
"924","2010-09-01",21.146667
"925","2010-09-02",21.08
"926","2010-09-03",21.253334
"927","2010-09-07",20.393333
"928","2010-09-08",20.620001
