"","date","TEAM"
"504","2017-12-07",45.52
"505","2017-12-08",46.459999
"506","2017-12-11",47.110001
"507","2017-12-12",45.459999
"508","2017-12-13",45.98
"509","2017-12-14",45.43
"510","2017-12-15",47.029999
"511","2017-12-18",46.810001
"512","2017-12-19",46.869999
"513","2017-12-20",46.689999
"514","2017-12-21",46.41
"515","2017-12-22",46.259998
"516","2017-12-26",46.490002
"517","2017-12-27",46.139999
"518","2017-12-28",46.040001
"519","2017-12-29",45.52
"520","2018-01-02",47.060001
"521","2018-01-03",50.400002
"522","2018-01-04",51.599998
"523","2018-01-05",51.869999
"524","2018-01-08",51.91
"525","2018-01-09",52.720001
"526","2018-01-10",51.049999
"527","2018-01-11",52.040001
"528","2018-01-12",52.57
"529","2018-01-16",52.82
"530","2018-01-17",54.869999
"531","2018-01-18",55.599998
"532","2018-01-19",53.07
"533","2018-01-22",52.259998
"534","2018-01-23",53.93
"535","2018-01-24",52.77
"536","2018-01-25",53.09
"537","2018-01-26",53.849998
"538","2018-01-29",54.740002
"539","2018-01-30",53.389999
"540","2018-01-31",53.990002
"541","2018-02-01",53.259998
"542","2018-02-02",52.720001
"543","2018-02-05",51.23
"544","2018-02-06",52.02
"545","2018-02-07",51.790001
"546","2018-02-08",48.860001
"547","2018-02-09",50.189999
"548","2018-02-12",51.220001
"549","2018-02-13",51.799999
"550","2018-02-14",52.09
"551","2018-02-15",52.919998
"552","2018-02-16",53.23
"553","2018-02-20",54.259998
"554","2018-02-21",55.450001
"555","2018-02-22",52.41
"556","2018-02-23",53.27
"557","2018-02-26",52.77
"558","2018-02-27",52.91
"559","2018-02-28",54.290001
"560","2018-03-01",54.189999
"561","2018-03-02",58.169998
"562","2018-03-05",58.580002
"563","2018-03-06",59.139999
"564","2018-03-07",59.77
"565","2018-03-08",59.790001
"566","2018-03-09",61.259998
"567","2018-03-12",61.799999
"568","2018-03-13",59.830002
"569","2018-03-14",59.98
"570","2018-03-15",59.560001
"571","2018-03-16",59.259998
"572","2018-03-19",58.57
"573","2018-03-20",59.16
"574","2018-03-21",58.32
"575","2018-03-22",57.509998
"576","2018-03-23",55.360001
"577","2018-03-26",56.619999
"578","2018-03-27",54.009998
"579","2018-03-28",52.16
"580","2018-03-29",53.919998
"581","2018-04-02",53.779999
"582","2018-04-03",53.209999
"583","2018-04-04",56.110001
"584","2018-04-05",55.970001
"585","2018-04-06",54.59
"586","2018-04-09",55.900002
"587","2018-04-10",56.990002
"588","2018-04-11",58.66
"589","2018-04-12",60.639999
"590","2018-04-13",60.25
"591","2018-04-16",60.68
"592","2018-04-17",62.060001
"593","2018-04-18",62.07
"594","2018-04-19",62.27
"595","2018-04-20",58.205002
"596","2018-04-23",58.98
"597","2018-04-24",57.209999
"598","2018-04-25",55.169998
"599","2018-04-26",56.040001
"600","2018-04-27",55.419998
"601","2018-04-30",55.98
"602","2018-05-01",56.240002
"603","2018-05-02",56.470001
"604","2018-05-03",58.490002
"605","2018-05-04",59.990002
"606","2018-05-07",62.610001
"607","2018-05-08",63.18
"608","2018-05-09",64.290001
"609","2018-05-10",65.290001
"610","2018-05-11",64.870003
"611","2018-05-14",62.48
"612","2018-05-15",61.799999
"613","2018-05-16",61.77
"614","2018-05-17",61.639999
"615","2018-05-18",63.400002
"616","2018-05-21",61.490002
"617","2018-05-22",61.66
"618","2018-05-23",62.939999
"619","2018-05-24",63.919998
"620","2018-05-25",62.939999
"621","2018-05-29",62.709999
"622","2018-05-30",63.419998
"623","2018-05-31",63.790001
"624","2018-06-01",64.010002
"625","2018-06-04",64.419998
"626","2018-06-05",66.669998
"627","2018-06-06",67.82
"628","2018-06-07",63.779999
"629","2018-06-08",64.279999
"630","2018-06-11",64.349998
"631","2018-06-12",66.209999
"632","2018-06-13",66.139999
"633","2018-06-14",66.489998
"634","2018-06-15",66.120003
"635","2018-06-18",66.610001
"636","2018-06-19",65.040001
"637","2018-06-20",65.529999
"638","2018-06-21",65.589996
"639","2018-06-22",64.190002
"640","2018-06-25",62.380001
"641","2018-06-26",63.25
"642","2018-06-27",60.75
"643","2018-06-28",62.119999
"644","2018-06-29",62.52
"645","2018-07-02",63.349998
"646","2018-07-03",62.98
"647","2018-07-05",63.400002
"648","2018-07-06",65.230003
"649","2018-07-09",64.779999
"650","2018-07-10",64.699997
"651","2018-07-11",65.330002
"652","2018-07-12",68.260002
"653","2018-07-13",67.190002
"654","2018-07-16",66.860001
"655","2018-07-17",67.879997
"656","2018-07-18",68.220001
"657","2018-07-19",67.860001
"658","2018-07-20",67.870003
"659","2018-07-23",66.400002
"660","2018-07-24",64.489998
"661","2018-07-25",67.050003
"662","2018-07-26",66.830002
"663","2018-07-27",73.839996
"664","2018-07-30",71.080002
"665","2018-07-31",72.410004
"666","2018-08-01",73.290001
"667","2018-08-02",74.919998
"668","2018-08-03",74.120003
"669","2018-08-06",75.550003
"670","2018-08-07",75.980003
"671","2018-08-08",76.169998
"672","2018-08-09",78.309998
"673","2018-08-10",78.07
"674","2018-08-13",78.230003
"675","2018-08-14",78.709999
"676","2018-08-15",77.639999
"677","2018-08-16",78.099998
"678","2018-08-17",78.019997
"679","2018-08-20",78.25
"680","2018-08-21",79.260002
"681","2018-08-22",80.059998
"682","2018-08-23",82.629997
"683","2018-08-24",86.110001
"684","2018-08-27",86.540001
"685","2018-08-28",87.660004
"686","2018-08-29",89.470001
"687","2018-08-30",89.290001
"688","2018-08-31",90.010002
"689","2018-09-04",91.900002
"690","2018-09-05",87.610001
"691","2018-09-06",86.68
"692","2018-09-07",87.010002
"693","2018-09-10",87.959999
"694","2018-09-11",90.489998
"695","2018-09-12",89.580002
"696","2018-09-13",93.419998
"697","2018-09-14",94.18
"698","2018-09-17",91.110001
"699","2018-09-18",92.400002
"700","2018-09-19",89.93
"701","2018-09-20",91.32
"702","2018-09-21",90.690002
"703","2018-09-24",92.470001
"704","2018-09-25",94.279999
"705","2018-09-26",94.360001
"706","2018-09-27",95.889999
"707","2018-09-28",96.139999
"708","2018-10-01",95.720001
"709","2018-10-02",93.599998
"710","2018-10-03",92.900002
"711","2018-10-04",85.669998
"712","2018-10-05",85.360001
"713","2018-10-08",81.089996
"714","2018-10-09",81.290001
"715","2018-10-10",78.650002
"716","2018-10-11",78.339996
"717","2018-10-12",81.709999
"718","2018-10-15",79.779999
"719","2018-10-16",82.839996
"720","2018-10-17",83.629997
"721","2018-10-18",81.889999
"722","2018-10-19",70.18
"723","2018-10-22",72.639999
"724","2018-10-23",72.459999
"725","2018-10-24",67.120003
"726","2018-10-25",70.43
"727","2018-10-26",68.919998
"728","2018-10-29",68.93
"729","2018-10-30",71.339996
"730","2018-10-31",75.910004
"731","2018-11-01",76.75
"732","2018-11-02",76.480003
"733","2018-11-05",74.610001
"734","2018-11-06",72.089996
"735","2018-11-07",77.610001
"736","2018-11-08",75.949997
"737","2018-11-09",73.290001
"738","2018-11-12",70.800003
"739","2018-11-13",73.010002
"740","2018-11-14",72.400002
"741","2018-11-15",75.75
"742","2018-11-16",75.949997
"743","2018-11-19",69.309998
"744","2018-11-20",70.220001
"745","2018-11-21",72.129997
"746","2018-11-23",73.199997
"747","2018-11-26",76.169998
"748","2018-11-27",74.660004
"749","2018-11-28",80.699997
"750","2018-11-29",83.900002
"751","2018-11-30",85.940002
"752","2018-12-03",89.599998
"753","2018-12-04",85.720001
"754","2018-12-06",85.139999
"755","2018-12-07",80.459999
"756","2018-12-10",83.059998
"757","2018-12-11",82.980003
"758","2018-12-12",84.050003
"759","2018-12-13",84.25
"760","2018-12-14",83.190002
"761","2018-12-17",79.849998
"762","2018-12-18",79.120003
"763","2018-12-19",81.059998
"764","2018-12-20",82.25
"765","2018-12-21",81.129997
"766","2018-12-24",78.660004
"767","2018-12-26",85.32
"768","2018-12-27",87.57
"769","2018-12-28",87.599998
"770","2018-12-31",88.980003
"771","2019-01-02",89.029999
"772","2019-01-03",84.480003
"773","2019-01-04",87.089996
"774","2019-01-07",92.709999
"775","2019-01-08",94.82
"776","2019-01-09",95.809998
"777","2019-01-10",95.5
"778","2019-01-11",95.650002
"779","2019-01-14",93.709999
"780","2019-01-15",95.379997
"781","2019-01-16",94.32
"782","2019-01-17",92.919998
"783","2019-01-18",90.669998
"784","2019-01-22",91.440002
"785","2019-01-23",93.650002
"786","2019-01-24",93.32
"787","2019-01-25",95.860001
"788","2019-01-28",94.720001
"789","2019-01-29",93.220001
"790","2019-01-30",95.010002
"791","2019-01-31",98.400002
"792","2019-02-01",98.980003
"793","2019-02-04",102.18
"794","2019-02-05",102.769997
"795","2019-02-06",103.540001
"796","2019-02-07",102.349998
"797","2019-02-08",104.339996
"798","2019-02-11",104.57
"799","2019-02-12",106.120003
"800","2019-02-13",105.25
"801","2019-02-14",104.809998
"802","2019-02-15",104.900002
"803","2019-02-19",103.910004
"804","2019-02-20",104.120003
"805","2019-02-21",103.040001
"806","2019-02-22",105.25
"807","2019-02-25",106.75
"808","2019-02-26",105.879997
"809","2019-02-27",106.330002
"810","2019-02-28",107.480003
"811","2019-03-01",110.949997
"812","2019-03-04",104.709999
"813","2019-03-05",104.43
"814","2019-03-06",103.5
"815","2019-03-07",104.209999
"816","2019-03-08",104.25
"817","2019-03-11",109.510002
"818","2019-03-12",110.940002
"819","2019-03-13",108.580002
"820","2019-03-14",110.480003
"821","2019-03-15",110.269997
"822","2019-03-18",111.220001
"823","2019-03-19",112.419998
"824","2019-03-20",112.830002
"825","2019-03-21",115.5
"826","2019-03-22",109.830002
"827","2019-03-25",109.860001
"828","2019-03-26",111.550003
"829","2019-03-27",106.989998
"830","2019-03-28",108.459999
"831","2019-03-29",112.389999
"832","2019-04-01",113.870003
"833","2019-04-02",115.599998
"834","2019-04-03",115.360001
"835","2019-04-04",110.220001
"836","2019-04-05",111.330002
"837","2019-04-08",112.080002
"838","2019-04-09",112.150002
"839","2019-04-10",112.739998
"840","2019-04-11",114.440002
"841","2019-04-12",112.68
"842","2019-04-15",114.449997
"843","2019-04-16",112.970001
"844","2019-04-17",111.190002
"845","2019-04-18",101.940002
"846","2019-04-22",103.75
"847","2019-04-23",106.720001
"848","2019-04-24",103.169998
"849","2019-04-25",106
"850","2019-04-26",108.209999
"851","2019-04-29",110.050003
"852","2019-04-30",110.150002
"853","2019-05-01",108.589996
"854","2019-05-02",109.010002
"855","2019-05-03",110.410004
"856","2019-05-06",110.57
"857","2019-05-07",110.669998
"858","2019-05-08",117.169998
"859","2019-05-09",125.129997
"860","2019-05-10",128.869995
"861","2019-05-13",120.779999
"862","2019-05-14",123.769997
"863","2019-05-15",126.080002
"864","2019-05-16",129.740005
"865","2019-05-17",129.149994
"866","2019-05-20",124.550003
"867","2019-05-21",125.540001
"868","2019-05-22",126.25
"869","2019-05-23",127.260002
"870","2019-05-24",129.520004
"871","2019-05-28",128.449997
"872","2019-05-29",123.800003
"873","2019-05-30",126.220001
"874","2019-05-31",125.879997
"875","2019-06-03",117.300003
"876","2019-06-04",122.650002
"877","2019-06-05",126.43
"878","2019-06-06",127.709999
"879","2019-06-07",131.429993
"880","2019-06-10",133
"881","2019-06-11",128.929993
"882","2019-06-12",128.970001
"883","2019-06-13",130.279999
"884","2019-06-14",129.910004
"885","2019-06-17",130.649994
"886","2019-06-18",129.550003
"887","2019-06-19",132.770004
"888","2019-06-20",135.050003
"889","2019-06-21",132.869995
"890","2019-06-24",130.550003
"891","2019-06-25",125.739998
"892","2019-06-26",128.350006
"893","2019-06-27",131.039993
"894","2019-06-28",130.839996
"895","2019-07-01",131.770004
"896","2019-07-02",133.75
"897","2019-07-03",133.360001
"898","2019-07-05",135.110001
"899","2019-07-08",137.929993
"900","2019-07-09",140.600006
"901","2019-07-10",140.360001
"902","2019-07-11",140.899994
"903","2019-07-12",138.554993
