"","date","HWC"
"868","2010-06-14",35.48
"869","2010-06-15",36.02
"870","2010-06-16",35.599998
"871","2010-06-17",35.5
"872","2010-06-18",35.369999
"873","2010-06-21",35.759998
"874","2010-06-22",36.029999
"875","2010-06-23",35.52
"876","2010-06-24",34.91
"877","2010-06-25",35.200001
"878","2010-06-28",35.119999
"879","2010-06-29",33.939999
"880","2010-06-30",33.360001
"881","2010-07-01",33.029999
"882","2010-07-02",32.889999
"883","2010-07-06",32.77
"884","2010-07-07",33.630001
"885","2010-07-08",33.77
"886","2010-07-09",34.529999
"887","2010-07-12",34.439999
"888","2010-07-13",35.23
"889","2010-07-14",33.669998
"890","2010-07-15",34.25
"891","2010-07-16",33.18
"892","2010-07-19",32.900002
"893","2010-07-20",33.25
"894","2010-07-21",28.01
"895","2010-07-22",28.790001
"896","2010-07-23",28.950001
"897","2010-07-26",29.559999
"898","2010-07-27",30.25
"899","2010-07-28",30.15
"900","2010-07-29",30.379999
"901","2010-07-30",30.51
"902","2010-08-02",31.129999
"903","2010-08-03",31.059999
"904","2010-08-04",31.190001
"905","2010-08-05",31.030001
"906","2010-08-06",30.76
"907","2010-08-09",31.540001
"908","2010-08-10",30.799999
"909","2010-08-11",29.09
"910","2010-08-12",28.610001
"911","2010-08-13",28.49
"912","2010-08-16",28.540001
"913","2010-08-17",28.68
"914","2010-08-18",28.57
"915","2010-08-19",27.85
"916","2010-08-20",28.459999
"917","2010-08-23",28.27
"918","2010-08-24",28.209999
"919","2010-08-25",28.59
"920","2010-08-26",28.24
"921","2010-08-27",28.809999
"922","2010-08-30",27.469999
"923","2010-08-31",27.219999
"924","2010-09-01",28.059999
"925","2010-09-02",28.77
"926","2010-09-03",29.41
"927","2010-09-07",28.4
"928","2010-09-08",29.450001
"929","2010-09-09",29.51
"930","2010-09-10",29.530001
"931","2010-09-13",30.42
"932","2010-09-14",29.92
"933","2010-09-15",29.92
"934","2010-09-16",29.190001
"935","2010-09-17",29.23
"936","2010-09-20",30.26
"937","2010-09-21",29.790001
"938","2010-09-22",29.08
"939","2010-09-23",28.9
"940","2010-09-24",29.950001
"941","2010-09-27",29.32
"942","2010-09-28",29.629999
"943","2010-09-29",29.9
"944","2010-09-30",30.07
"945","2010-10-01",30.049999
"946","2010-10-04",29.52
"947","2010-10-05",30.23
"948","2010-10-06",30.16
"949","2010-10-07",29.969999
"950","2010-10-08",30.27
"951","2010-10-11",30.059999
"952","2010-10-12",30.17
