"","date","BSM"
"750","2018-04-20",17.639999
"751","2018-04-23",17.469999
"752","2018-04-24",17.450001
"753","2018-04-25",17.709999
"754","2018-04-26",17.77
"755","2018-04-27",17.450001
"756","2018-04-30",17.76
"757","2018-05-01",17.6
"758","2018-05-02",17.49
"759","2018-05-03",17.639999
"760","2018-05-04",17.6
"761","2018-05-07",17.559999
"762","2018-05-08",18.049999
"763","2018-05-09",18.799999
"764","2018-05-10",18.700001
"765","2018-05-11",18.48
"766","2018-05-14",18.540001
"767","2018-05-15",18.58
"768","2018-05-16",18.25
"769","2018-05-17",18.4
"770","2018-05-18",18.360001
"771","2018-05-21",18.620001
"772","2018-05-22",18.49
"773","2018-05-23",18.4
"774","2018-05-24",18.209999
"775","2018-05-25",18.049999
"776","2018-05-29",18.299999
"777","2018-05-30",18.49
"778","2018-05-31",18.200001
"779","2018-06-01",18.139999
"780","2018-06-04",18.07
"781","2018-06-05",18
"782","2018-06-06",17.950001
"783","2018-06-07",18.65
"784","2018-06-08",18.52
"785","2018-06-11",18.620001
"786","2018-06-12",18.629999
"787","2018-06-13",18.5
"788","2018-06-14",18.43
"789","2018-06-15",18.049999
"790","2018-06-18",18.200001
"791","2018-06-19",18.16
"792","2018-06-20",18.290001
"793","2018-06-21",18.110001
"794","2018-06-22",18.49
"795","2018-06-25",18.799999
"796","2018-06-26",18.77
"797","2018-06-27",18.690001
"798","2018-06-28",18.52
"799","2018-06-29",18.49
"800","2018-07-02",18.27
"801","2018-07-03",18.309999
"802","2018-07-05",18.219999
"803","2018-07-06",18.139999
"804","2018-07-09",18.24
"805","2018-07-10",18.17
"806","2018-07-11",17.98
"807","2018-07-12",17.969999
"808","2018-07-13",18.049999
"809","2018-07-16",17.93
"810","2018-07-17",17.9
"811","2018-07-18",17.76
"812","2018-07-19",17.59
"813","2018-07-20",17.33
"814","2018-07-23",17.219999
"815","2018-07-24",17.4
"816","2018-07-25",17.48
"817","2018-07-26",17.610001
"818","2018-07-27",17.32
"819","2018-07-30",17.24
"820","2018-07-31",17.15
"821","2018-08-01",17.25
"822","2018-08-02",17.34
"823","2018-08-03",17.17
"824","2018-08-06",17.52
"825","2018-08-07",18.4
"826","2018-08-08",18.459999
"827","2018-08-09",18.73
"828","2018-08-10",19.08
"829","2018-08-13",18.93
"830","2018-08-14",18.99
"831","2018-08-15",18.49
"832","2018-08-16",18.559999
"833","2018-08-17",18.469999
"834","2018-08-20",18.450001
"835","2018-08-21",18.5
"836","2018-08-22",18.59
"837","2018-08-23",18.549999
"838","2018-08-24",18.67
"839","2018-08-27",18.42
"840","2018-08-28",18.440001
"841","2018-08-29",18.5
"842","2018-08-30",18.469999
"843","2018-08-31",18.52
"844","2018-09-04",18.549999
"845","2018-09-05",18.5
"846","2018-09-06",18.52
"847","2018-09-07",18.549999
"848","2018-09-10",18.610001
"849","2018-09-11",18.870001
"850","2018-09-12",18.549999
"851","2018-09-13",18.450001
"852","2018-09-14",18.440001
"853","2018-09-17",18.360001
"854","2018-09-18",18.43
"855","2018-09-19",18.43
"856","2018-09-20",18.4
"857","2018-09-21",18.4
"858","2018-09-24",18.4
"859","2018-09-25",18.4
"860","2018-09-26",18.299999
"861","2018-09-27",18.27
"862","2018-09-28",18.209999
"863","2018-10-01",18.4
"864","2018-10-02",18.299999
"865","2018-10-03",18.4
"866","2018-10-04",18.299999
"867","2018-10-05",18.309999
"868","2018-10-08",18.049999
"869","2018-10-09",18.129999
"870","2018-10-10",17.610001
"871","2018-10-11",17.450001
"872","2018-10-12",17.620001
"873","2018-10-15",17.33
"874","2018-10-16",17.67
"875","2018-10-17",17.530001
"876","2018-10-18",17.35
"877","2018-10-19",17.25
"878","2018-10-22",17.07
"879","2018-10-23",17.08
"880","2018-10-24",16.700001
"881","2018-10-25",16.780001
"882","2018-10-26",16.629999
"883","2018-10-29",16.700001
"884","2018-10-30",17.059999
"885","2018-10-31",17.040001
"886","2018-11-01",16.93
"887","2018-11-02",16.879999
"888","2018-11-05",16.99
"889","2018-11-06",17.709999
"890","2018-11-07",17.5
"891","2018-11-08",17.209999
"892","2018-11-09",17
"893","2018-11-12",16.9
"894","2018-11-13",16.620001
"895","2018-11-14",16.85
"896","2018-11-15",17.02
"897","2018-11-16",17.02
"898","2018-11-19",17.23
"899","2018-11-20",16.559999
"900","2018-11-21",17.030001
"901","2018-11-23",16.58
"902","2018-11-26",16.93
"903","2018-11-27",16.67
"904","2018-11-28",16.5
"905","2018-11-29",16.870001
"906","2018-11-30",16.75
"907","2018-12-03",16.860001
"908","2018-12-04",16.49
"909","2018-12-06",16.35
"910","2018-12-07",16.639999
"911","2018-12-10",16.68
"912","2018-12-11",16.5
"913","2018-12-12",16.74
"914","2018-12-13",16.620001
"915","2018-12-14",16.51
"916","2018-12-17",16.1
"917","2018-12-18",15.84
"918","2018-12-19",15.72
"919","2018-12-20",15.48
"920","2018-12-21",15.75
"921","2018-12-24",15.75
"922","2018-12-26",15.75
"923","2018-12-27",15.74
"924","2018-12-28",15.63
"925","2018-12-31",15.48
"926","2019-01-02",15.5
"927","2019-01-03",15.4
"928","2019-01-04",15.64
"929","2019-01-07",15.98
"930","2019-01-08",16.5
"931","2019-01-09",16.309999
"932","2019-01-10",16.139999
"933","2019-01-11",16.1
"934","2019-01-14",16.02
"935","2019-01-15",16.02
"936","2019-01-16",16.059999
"937","2019-01-17",16.120001
"938","2019-01-18",16.42
"939","2019-01-22",16.219999
"940","2019-01-23",16.299999
"941","2019-01-24",16.35
"942","2019-01-25",16.65
"943","2019-01-28",16.66
"944","2019-01-29",16.719999
"945","2019-01-30",16.860001
"946","2019-01-31",16.940001
"947","2019-02-01",17.24
"948","2019-02-04",17.530001
"949","2019-02-05",17.52
"950","2019-02-06",17.389999
"951","2019-02-07",17.09
"952","2019-02-08",16.9
"953","2019-02-11",17.209999
"954","2019-02-12",17.52
"955","2019-02-13",17.67
"956","2019-02-14",17.969999
"957","2019-02-15",17.85
"958","2019-02-19",17.969999
"959","2019-02-20",18.02
"960","2019-02-21",18.18
"961","2019-02-22",18.15
"962","2019-02-25",18.209999
"963","2019-02-26",17.76
"964","2019-02-27",18.209999
"965","2019-02-28",17.84
"966","2019-03-01",17.65
"967","2019-03-04",17.67
"968","2019-03-05",17.709999
"969","2019-03-06",17.5
"970","2019-03-07",17.459999
"971","2019-03-08",17.309999
"972","2019-03-11",17.33
"973","2019-03-12",17.280001
"974","2019-03-13",17.43
"975","2019-03-14",17.48
"976","2019-03-15",17.68
"977","2019-03-18",18.16
"978","2019-03-19",18.030001
