"","date","EXAS"
"711","2009-10-27",2.57
"712","2009-10-28",2.45
"713","2009-10-29",2.45
"714","2009-10-30",2.47
"715","2009-11-02",2.46
"716","2009-11-03",2.47
"717","2009-11-04",2.49
"718","2009-11-05",2.61
"719","2009-11-06",2.63
"720","2009-11-09",2.67
"721","2009-11-10",2.73
"722","2009-11-11",2.72
"723","2009-11-12",2.68
"724","2009-11-13",2.69
"725","2009-11-16",2.71
"726","2009-11-17",2.71
"727","2009-11-18",2.71
"728","2009-11-19",2.71
"729","2009-11-20",2.6
"730","2009-11-23",2.54
"731","2009-11-24",2.64
"732","2009-11-25",2.7
"733","2009-11-27",2.71
"734","2009-11-30",2.6
"735","2009-12-01",2.57
"736","2009-12-02",2.51
"737","2009-12-03",2.59
"738","2009-12-04",2.64
"739","2009-12-07",2.55
"740","2009-12-08",2.51
"741","2009-12-09",2.51
"742","2009-12-10",2.46
"743","2009-12-11",2.47
"744","2009-12-14",2.49
"745","2009-12-15",2.65
"746","2009-12-16",2.69
"747","2009-12-17",3.06
"748","2009-12-18",3.26
"749","2009-12-21",3
"750","2009-12-22",3.2
"751","2009-12-23",3.19
"752","2009-12-24",3.26
"753","2009-12-28",3.3
"754","2009-12-29",3.3
"755","2009-12-30",3.34
"756","2009-12-31",3.39
"757","2010-01-04",3.4
"758","2010-01-05",3.8
"759","2010-01-06",4.13
"760","2010-01-07",4.17
"761","2010-01-08",4.04
"762","2010-01-11",4.14
"763","2010-01-12",4.24
"764","2010-01-13",4.28
"765","2010-01-14",4.14
"766","2010-01-15",4.06
"767","2010-01-19",4.21
"768","2010-01-20",4.2
"769","2010-01-21",4
"770","2010-01-22",3.88
"771","2010-01-25",3.66
"772","2010-01-26",3.47
"773","2010-01-27",3.49
"774","2010-01-28",3.47
"775","2010-01-29",3.5
"776","2010-02-01",3.85
"777","2010-02-02",3.96
"778","2010-02-03",3.96
"779","2010-02-04",3.87
"780","2010-02-05",3.76
"781","2010-02-08",3.96
"782","2010-02-09",3.8
"783","2010-02-10",3.86
"784","2010-02-11",3.81
"785","2010-02-12",3.93
"786","2010-02-16",3.86
"787","2010-02-17",3.99
"788","2010-02-18",3.9
"789","2010-02-19",3.92
"790","2010-02-22",3.97
"791","2010-02-23",4.02
"792","2010-02-24",4.06
"793","2010-02-25",4.06
"794","2010-02-26",4.11
"795","2010-03-01",4.25
"796","2010-03-02",4.25
"797","2010-03-03",4.23
"798","2010-03-04",4.33
"799","2010-03-05",4.36
"800","2010-03-08",4.35
"801","2010-03-09",4.37
"802","2010-03-10",4.7
"803","2010-03-11",4.87
"804","2010-03-12",4.81
"805","2010-03-15",4.76
"806","2010-03-16",4.39
"807","2010-03-17",4.43
"808","2010-03-18",4.46
"809","2010-03-19",4.64
"810","2010-03-22",4.61
"811","2010-03-23",4.56
"812","2010-03-24",4.41
"813","2010-03-25",4.38
"814","2010-03-26",4.34
"815","2010-03-29",4.25
"816","2010-03-30",4.24
"817","2010-03-31",4.45
"818","2010-04-01",4.41
"819","2010-04-05",4.47
"820","2010-04-06",4.6
"821","2010-04-07",4.72
"822","2010-04-08",4.79
"823","2010-04-09",4.69
"824","2010-04-12",4.73
"825","2010-04-13",4.69
"826","2010-04-14",4.53
"827","2010-04-15",4.47
"828","2010-04-16",4.32
"829","2010-04-19",4.37
"830","2010-04-20",4.25
"831","2010-04-21",4.16
"832","2010-04-22",4
"833","2010-04-23",4.14
"834","2010-04-26",4.45
"835","2010-04-27",4.4
"836","2010-04-28",4.49
"837","2010-04-29",4.54
"838","2010-04-30",4.44
"839","2010-05-03",4.36
"840","2010-05-04",4.31
"841","2010-05-05",4.36
"842","2010-05-06",4.27
"843","2010-05-07",4.02
"844","2010-05-10",4.12
"845","2010-05-11",4.26
"846","2010-05-12",4.36
"847","2010-05-13",4.3
"848","2010-05-14",4.4
"849","2010-05-17",4.42
"850","2010-05-18",4.28
"851","2010-05-19",4.27
"852","2010-05-20",4.2
"853","2010-05-21",4.1
"854","2010-05-24",4.09
"855","2010-05-25",4.05
"856","2010-05-26",4.16
"857","2010-05-27",4.17
"858","2010-05-28",4.17
"859","2010-06-01",4.12
"860","2010-06-02",4.2
"861","2010-06-03",4.37
"862","2010-06-04",4.21
"863","2010-06-07",4.09
"864","2010-06-08",4.05
"865","2010-06-09",4.16
"866","2010-06-10",4.31
"867","2010-06-11",4.49
"868","2010-06-14",4.5
"869","2010-06-15",4.68
"870","2010-06-16",4.93
"871","2010-06-17",4.92
"872","2010-06-18",4.92
"873","2010-06-21",4.68
"874","2010-06-22",4.55
"875","2010-06-23",4.54
"876","2010-06-24",4.62
"877","2010-06-25",4.83
"878","2010-06-28",4.69
"879","2010-06-29",4.65
"880","2010-06-30",4.4
"881","2010-07-01",4.12
"882","2010-07-02",4.11
"883","2010-07-06",4.06
"884","2010-07-07",4.21
"885","2010-07-08",4.22
"886","2010-07-09",3.98
"887","2010-07-12",3.92
"888","2010-07-13",3.89
"889","2010-07-14",3.93
"890","2010-07-15",3.85
"891","2010-07-16",3.43
"892","2010-07-19",3.31
"893","2010-07-20",3.6
"894","2010-07-21",3.41
"895","2010-07-22",3.51
"896","2010-07-23",3.6
"897","2010-07-26",3.7
"898","2010-07-27",3.93
"899","2010-07-28",4.22
"900","2010-07-29",4.1
"901","2010-07-30",4.17
"902","2010-08-02",4.17
"903","2010-08-03",4.2
"904","2010-08-04",4.25
"905","2010-08-05",4.26
"906","2010-08-06",4.26
"907","2010-08-09",4.22
"908","2010-08-10",4.4
"909","2010-08-11",4.27
"910","2010-08-12",4.39
"911","2010-08-13",4.3
"912","2010-08-16",4.36
"913","2010-08-17",4.4
"914","2010-08-18",4.32
"915","2010-08-19",4.22
"916","2010-08-20",4.29
"917","2010-08-23",4.22
"918","2010-08-24",4.11
"919","2010-08-25",4.17
"920","2010-08-26",4.34
"921","2010-08-27",4.51
"922","2010-08-30",4.65
"923","2010-08-31",4.59
"924","2010-09-01",4.75
"925","2010-09-02",4.72
"926","2010-09-03",4.83
"927","2010-09-07",4.88
"928","2010-09-08",5.04
"929","2010-09-09",5.52
"930","2010-09-10",5.55
"931","2010-09-13",5.66
"932","2010-09-14",5.71
"933","2010-09-15",5.88
"934","2010-09-16",6.08
"935","2010-09-17",6.22
"936","2010-09-20",6.49
"937","2010-09-21",6.49
"938","2010-09-22",6.24
"939","2010-09-23",6.5
"940","2010-09-24",6.67
"941","2010-09-27",7.01
"942","2010-09-28",7.19
"943","2010-09-29",7.24
"944","2010-09-30",7.24
"945","2010-10-01",7.09
"946","2010-10-04",7
"947","2010-10-05",7.57
"948","2010-10-06",7.5
"949","2010-10-07",7.43
"950","2010-10-08",8.28
"951","2010-10-11",8.1
"952","2010-10-12",8.2
"953","2010-10-13",8.39
"954","2010-10-14",8.91
"955","2010-10-15",8.88
"956","2010-10-18",8.92
"957","2010-10-19",8
"958","2010-10-20",8.04
"959","2010-10-21",7.47
"960","2010-10-22",7.83
"961","2010-10-25",8.13
"962","2010-10-26",8.91
"963","2010-10-27",8.35
"964","2010-10-28",8.57
"965","2010-10-29",6.86
"966","2010-11-01",6.25
"967","2010-11-02",6.25
"968","2010-11-03",6.11
"969","2010-11-04",6.37
"970","2010-11-05",6.52
"971","2010-11-08",6.33
"972","2010-11-09",6.27
"973","2010-11-10",6.24
"974","2010-11-11",6.15
"975","2010-11-12",5.99
"976","2010-11-15",6.27
"977","2010-11-16",6.05
"978","2010-11-17",6.07
"979","2010-11-18",6.15
"980","2010-11-19",6.02
"981","2010-11-22",5.69
"982","2010-11-23",5.51
"983","2010-11-24",5.88
"984","2010-11-26",5.76
"985","2010-11-29",5.83
"986","2010-11-30",5.94
"987","2010-12-01",6.05
"988","2010-12-02",5.85
"989","2010-12-03",5.55
"990","2010-12-06",5.38
"991","2010-12-07",5.4
"992","2010-12-08",5.43
"993","2010-12-09",5.5
"994","2010-12-10",5.71
"995","2010-12-13",5.44
"996","2010-12-14",5.72
"997","2010-12-15",5.77
"998","2010-12-16",5.95
"999","2010-12-17",6.06
