"","date","FRAN"
"757","2014-07-25",156.960007
"758","2014-07-28",154.800003
"759","2014-07-29",152.160004
"760","2014-07-30",151.679993
"761","2014-07-31",153.360001
"762","2014-08-01",149.880005
"763","2014-08-04",154.080002
"764","2014-08-05",156.360001
"765","2014-08-06",159.600006
"766","2014-08-07",155.759995
"767","2014-08-08",161.399994
"768","2014-08-11",160.440002
"769","2014-08-12",154.199997
"770","2014-08-13",150.960007
"771","2014-08-14",154.080002
"772","2014-08-15",153.960007
"773","2014-08-18",158.160004
"774","2014-08-19",163.440002
"775","2014-08-20",165.479996
"776","2014-08-21",166.440002
"777","2014-08-22",168.119995
"778","2014-08-25",170.160004
"779","2014-08-26",175.919998
"780","2014-08-27",176.759995
"781","2014-08-28",170.279999
"782","2014-08-29",168
"783","2014-09-02",163.559998
"784","2014-09-03",161.759995
"785","2014-09-04",163.800003
"786","2014-09-05",161.160004
"787","2014-09-08",167.639999
"788","2014-09-09",160.080002
"789","2014-09-10",169.080002
"790","2014-09-11",170.160004
"791","2014-09-12",168.720001
"792","2014-09-15",163.199997
"793","2014-09-16",167.880005
"794","2014-09-17",168.240005
"795","2014-09-18",169.080002
"796","2014-09-19",174.240005
"797","2014-09-22",168.839996
"798","2014-09-23",168
"799","2014-09-24",168.720001
"800","2014-09-25",168.119995
"801","2014-09-26",168.600006
"802","2014-09-29",168.600006
"803","2014-09-30",167.160004
"804","2014-10-01",166.440002
"805","2014-10-02",163.080002
"806","2014-10-03",164.520004
"807","2014-10-06",159.720001
"808","2014-10-07",154.320007
"809","2014-10-08",157.320007
"810","2014-10-09",150.839996
"811","2014-10-10",152.520004
"812","2014-10-13",152.399994
"813","2014-10-14",155.880005
"814","2014-10-15",156.479996
"815","2014-10-16",152.039993
"816","2014-10-17",142.199997
"817","2014-10-20",141.240005
"818","2014-10-21",144.720001
"819","2014-10-22",143.399994
"820","2014-10-23",146.759995
"821","2014-10-24",144.600006
"822","2014-10-27",147.479996
"823","2014-10-28",146.160004
"824","2014-10-29",145.919998
"825","2014-10-30",145.919998
"826","2014-10-31",142.919998
"827","2014-11-03",137.520004
"828","2014-11-04",134.399994
"829","2014-11-05",137.520004
"830","2014-11-06",143.039993
"831","2014-11-07",140.759995
"832","2014-11-10",139.679993
"833","2014-11-11",140.639999
"834","2014-11-12",145.440002
"835","2014-11-13",142.199997
"836","2014-11-14",142.559998
"837","2014-11-17",140.039993
"838","2014-11-18",141.360001
"839","2014-11-19",141.600006
"840","2014-11-20",150.600006
"841","2014-11-21",149.639999
"842","2014-11-24",154.199997
"843","2014-11-25",152.160004
"844","2014-11-26",150.119995
"845","2014-11-28",152.160004
"846","2014-12-01",145.320007
"847","2014-12-02",144.839996
"848","2014-12-03",146.520004
"849","2014-12-04",138.720001
"850","2014-12-05",181.080002
"851","2014-12-08",180.600006
"852","2014-12-09",181.559998
"853","2014-12-10",181.919998
"854","2014-12-11",179.759995
"855","2014-12-12",186.600006
"856","2014-12-15",191.279999
"857","2014-12-16",191.639999
"858","2014-12-17",194.160004
"859","2014-12-18",199.559998
"860","2014-12-19",197.279999
"861","2014-12-22",194.759995
"862","2014-12-23",196.320007
"863","2014-12-24",195.240005
"864","2014-12-26",199.199997
"865","2014-12-29",201.479996
"866","2014-12-30",203.160004
"867","2014-12-31",200.399994
"868","2015-01-02",200.520004
"869","2015-01-05",202.440002
"870","2015-01-06",200.399994
"871","2015-01-07",201.240005
"872","2015-01-08",204.479996
"873","2015-01-09",197.399994
"874","2015-01-12",199.440002
"875","2015-01-13",196.559998
"876","2015-01-14",196.800003
"877","2015-01-15",186.839996
"878","2015-01-16",190.800003
"879","2015-01-20",183.600006
"880","2015-01-21",185.759995
"881","2015-01-22",193.800003
"882","2015-01-23",196.559998
"883","2015-01-26",199.440002
"884","2015-01-27",201.479996
"885","2015-01-28",199.919998
"886","2015-01-29",202.440002
"887","2015-01-30",190.320007
"888","2015-02-02",188.759995
"889","2015-02-03",190.320007
"890","2015-02-04",190.320007
"891","2015-02-05",191.279999
"892","2015-02-06",190.320007
"893","2015-02-09",190.080002
"894","2015-02-10",190.800003
"895","2015-02-11",191.279999
"896","2015-02-12",190.800003
"897","2015-02-13",191.520004
"898","2015-02-17",186.960007
"899","2015-02-18",181.800003
"900","2015-02-19",182.160004
"901","2015-02-20",181.440002
"902","2015-02-23",177.360001
"903","2015-02-24",177.479996
"904","2015-02-25",179.039993
"905","2015-02-26",177.839996
"906","2015-02-27",179.880005
"907","2015-03-02",178.919998
"908","2015-03-03",173.639999
"909","2015-03-04",170.399994
"910","2015-03-05",169.080002
"911","2015-03-06",170.520004
"912","2015-03-09",170.279999
"913","2015-03-10",174.600006
"914","2015-03-11",180.839996
"915","2015-03-12",184.320007
"916","2015-03-13",183.360001
"917","2015-03-16",193.199997
"918","2015-03-17",192.600006
"919","2015-03-18",192.360001
"920","2015-03-19",192.600006
"921","2015-03-20",193.559998
"922","2015-03-23",194.639999
"923","2015-03-24",202.080002
"924","2015-03-25",191.160004
"925","2015-03-26",201.119995
"926","2015-03-27",205.199997
"927","2015-03-30",207.960007
"928","2015-03-31",213.600006
"929","2015-04-01",212.039993
"930","2015-04-02",211.320007
"931","2015-04-06",207.479996
"932","2015-04-07",204.119995
"933","2015-04-08",205.080002
"934","2015-04-09",207.479996
"935","2015-04-10",209.160004
"936","2015-04-13",212.399994
"937","2015-04-14",205.679993
