"","date","OMEX"
"675","2009-09-04",22.200001
"676","2009-09-08",22.08
"677","2009-09-09",21.959999
"678","2009-09-10",23.040001
"679","2009-09-11",22.92
"680","2009-09-14",23.52
"681","2009-09-15",23.52
"682","2009-09-16",24.120001
"683","2009-09-17",24.48
"684","2009-09-18",25.08
"685","2009-09-21",24.48
"686","2009-09-22",24.24
"687","2009-09-23",23.879999
"688","2009-09-24",23.879999
"689","2009-09-25",22.799999
"690","2009-09-28",23.040001
"691","2009-09-29",22.68
"692","2009-09-30",22.32
"693","2009-10-01",21.360001
"694","2009-10-02",21.6
"695","2009-10-05",21.6
"696","2009-10-06",21.360001
"697","2009-10-07",20.639999
"698","2009-10-08",21.360001
"699","2009-10-09",21.719999
"700","2009-10-12",21.360001
"701","2009-10-13",21.6
"702","2009-10-14",21.84
"703","2009-10-15",21.719999
"704","2009-10-16",21.719999
"705","2009-10-19",21.6
"706","2009-10-20",21.360001
"707","2009-10-21",21
"708","2009-10-22",21.24
"709","2009-10-23",19.92
"710","2009-10-26",18.48
"711","2009-10-27",19.08
"712","2009-10-28",17.879999
"713","2009-10-29",19.08
"714","2009-10-30",18
"715","2009-11-02",18.360001
"716","2009-11-03",17.4
"717","2009-11-04",16.559999
"718","2009-11-05",18.24
"719","2009-11-06",17.76
"720","2009-11-09",18.48
"721","2009-11-10",17.280001
"722","2009-11-11",16.799999
"723","2009-11-12",17.040001
"724","2009-11-13",17.280001
"725","2009-11-16",18
"726","2009-11-17",18.959999
"727","2009-11-18",18.84
"728","2009-11-19",18
"729","2009-11-20",18.360001
"730","2009-11-23",19.08
"731","2009-11-24",19.440001
"732","2009-11-25",19.68
"733","2009-11-27",17.4
"734","2009-11-30",17.040001
"735","2009-12-01",17.4
"736","2009-12-02",19.08
"737","2009-12-03",18.360001
"738","2009-12-04",18.959999
"739","2009-12-07",18.84
"740","2009-12-08",18.360001
"741","2009-12-09",18.120001
"742","2009-12-10",18.6
"743","2009-12-11",18.120001
"744","2009-12-14",18.120001
"745","2009-12-15",18
"746","2009-12-16",18.24
"747","2009-12-17",17.879999
"748","2009-12-18",18.6
"749","2009-12-21",18.24
"750","2009-12-22",17.879999
"751","2009-12-23",17.639999
"752","2009-12-24",17.4
"753","2009-12-28",17.280001
"754","2009-12-29",17.52
"755","2009-12-30",17.4
"756","2009-12-31",16.92
"757","2010-01-04",17.76
"758","2010-01-05",17.879999
"759","2010-01-06",16.68
"760","2010-01-07",17.52
"761","2010-01-08",17.52
"762","2010-01-11",17.52
"763","2010-01-12",16.92
"764","2010-01-13",17.4
"765","2010-01-14",17.52
"766","2010-01-15",17.4
"767","2010-01-19",17.4
"768","2010-01-20",17.4
"769","2010-01-21",17.280001
"770","2010-01-22",16.440001
"771","2010-01-25",17.879999
"772","2010-01-26",16.68
"773","2010-01-27",16.799999
"774","2010-01-28",17.639999
"775","2010-01-29",17.16
"776","2010-02-01",17.4
"777","2010-02-02",16.92
"778","2010-02-03",16.799999
"779","2010-02-04",15.72
"780","2010-02-05",15.72
"781","2010-02-08",15.36
"782","2010-02-09",15.6
"783","2010-02-10",16.68
"784","2010-02-11",16.68
"785","2010-02-12",16.68
"786","2010-02-16",16.08
"787","2010-02-17",16.08
"788","2010-02-18",16.68
"789","2010-02-19",16.32
"790","2010-02-22",15.96
"791","2010-02-23",16.440001
"792","2010-02-24",16.08
"793","2010-02-25",16.200001
"794","2010-02-26",15.24
"795","2010-03-01",15.6
"796","2010-03-02",16.559999
"797","2010-03-03",16.200001
"798","2010-03-04",16.440001
"799","2010-03-05",16.68
"800","2010-03-08",16.92
"801","2010-03-09",17.280001
"802","2010-03-10",18
"803","2010-03-11",18
"804","2010-03-12",18.120001
"805","2010-03-15",18.120001
"806","2010-03-16",18.48
"807","2010-03-17",17.879999
"808","2010-03-18",17.879999
"809","2010-03-19",16.68
"810","2010-03-22",17.16
"811","2010-03-23",16.92
"812","2010-03-24",16.32
"813","2010-03-25",16.08
"814","2010-03-26",16.32
"815","2010-03-29",16.559999
"816","2010-03-30",16.92
"817","2010-03-31",15.72
"818","2010-04-01",16.200001
"819","2010-04-05",17.280001
"820","2010-04-06",17.040001
"821","2010-04-07",16.200001
"822","2010-04-08",15.6
"823","2010-04-09",15.84
"824","2010-04-12",15.84
"825","2010-04-13",16.799999
"826","2010-04-14",16.68
"827","2010-04-15",16.559999
"828","2010-04-16",16.799999
"829","2010-04-19",16.559999
"830","2010-04-20",16.440001
"831","2010-04-21",16.440001
"832","2010-04-22",16.440001
"833","2010-04-23",15.72
"834","2010-04-26",17.16
"835","2010-04-27",16.200001
"836","2010-04-28",16.440001
"837","2010-04-29",16.92
"838","2010-04-30",16.08
"839","2010-05-03",15.96
"840","2010-05-04",15.96
"841","2010-05-05",16.440001
"842","2010-05-06",15.48
"843","2010-05-07",15.36
"844","2010-05-10",16.68
"845","2010-05-11",16.799999
"846","2010-05-12",17.52
"847","2010-05-13",17.4
"848","2010-05-14",17.16
"849","2010-05-17",16.92
"850","2010-05-18",16.32
"851","2010-05-19",15.84
"852","2010-05-20",15.24
"853","2010-05-21",15.12
"854","2010-05-24",14.76
"855","2010-05-25",14.76
"856","2010-05-26",13.92
"857","2010-05-27",14.16
"858","2010-05-28",13.32
"859","2010-06-01",13.32
"860","2010-06-02",13.44
"861","2010-06-03",13.92
"862","2010-06-04",12.84
"863","2010-06-07",12.84
"864","2010-06-08",14.4
"865","2010-06-09",14.28
"866","2010-06-10",15.12
"867","2010-06-11",14.28
"868","2010-06-14",13.92
"869","2010-06-15",13.8
"870","2010-06-16",13.32
"871","2010-06-17",13.32
"872","2010-06-18",13.32
"873","2010-06-21",12.84
"874","2010-06-22",12.84
"875","2010-06-23",12.96
"876","2010-06-24",12.72
"877","2010-06-25",12.12
"878","2010-06-28",11.88
"879","2010-06-29",11.4
"880","2010-06-30",12
"881","2010-07-01",12.48
"882","2010-07-02",12.48
"883","2010-07-06",12.96
"884","2010-07-07",12.84
"885","2010-07-08",12.48
"886","2010-07-09",12.84
"887","2010-07-12",12.6
"888","2010-07-13",12.72
"889","2010-07-14",13.08
"890","2010-07-15",12.96
"891","2010-07-16",13.92
"892","2010-07-19",14.28
"893","2010-07-20",15.36
"894","2010-07-21",15.24
"895","2010-07-22",16.200001
"896","2010-07-23",16.559999
"897","2010-07-26",16.200001
"898","2010-07-27",15.72
"899","2010-07-28",15.84
"900","2010-07-29",15.36
"901","2010-07-30",15.96
"902","2010-08-02",15.72
"903","2010-08-03",15.6
"904","2010-08-04",16.32
"905","2010-08-05",15.96
"906","2010-08-06",15.96
"907","2010-08-09",16.559999
"908","2010-08-10",16.32
"909","2010-08-11",16.68
"910","2010-08-12",16.32
"911","2010-08-13",17.4
"912","2010-08-16",18.6
"913","2010-08-17",18.719999
"914","2010-08-18",19.440001
"915","2010-08-19",19.68
"916","2010-08-20",19.799999
"917","2010-08-23",19.799999
"918","2010-08-24",18.120001
