"","date","AMAG"
"664","2009-08-20",42.130001
"665","2009-08-21",42.23
"666","2009-08-24",42.049999
"667","2009-08-25",42.509998
"668","2009-08-26",42.279999
"669","2009-08-27",41.669998
"670","2009-08-28",41.369999
"671","2009-08-31",41.040001
"672","2009-09-01",41.060001
"673","2009-09-02",41.889999
"674","2009-09-03",42.75
"675","2009-09-04",42.900002
"676","2009-09-08",43.060001
"677","2009-09-09",43.700001
"678","2009-09-10",40.59
"679","2009-09-11",40.18
"680","2009-09-14",39.950001
"681","2009-09-15",40.080002
"682","2009-09-16",42.610001
"683","2009-09-17",43.959999
"684","2009-09-18",44.540001
"685","2009-09-21",46
"686","2009-09-22",47.27
"687","2009-09-23",45.880001
"688","2009-09-24",44.830002
"689","2009-09-25",44.389999
"690","2009-09-28",45.650002
"691","2009-09-29",45.150002
"692","2009-09-30",43.68
"693","2009-10-01",41.869999
"694","2009-10-02",41.139999
"695","2009-10-05",40.18
"696","2009-10-06",39.41
"697","2009-10-07",39
"698","2009-10-08",36.959999
"699","2009-10-09",36.720001
"700","2009-10-12",36.220001
"701","2009-10-13",35.860001
"702","2009-10-14",36.310001
"703","2009-10-15",35.919998
"704","2009-10-16",35.509998
"705","2009-10-19",35.91
"706","2009-10-20",36.02
"707","2009-10-21",36.119999
"708","2009-10-22",36.73
"709","2009-10-23",36
"710","2009-10-26",34.330002
"711","2009-10-27",34.790001
"712","2009-10-28",34.349998
"713","2009-10-29",38.32
"714","2009-10-30",37.779999
"715","2009-11-02",39.82
"716","2009-11-03",42.110001
"717","2009-11-04",40.540001
"718","2009-11-05",42.549999
"719","2009-11-06",44.82
"720","2009-11-09",43.810001
"721","2009-11-10",43.32
"722","2009-11-11",43.740002
"723","2009-11-12",43.400002
"724","2009-11-13",42.439999
"725","2009-11-16",41.919998
"726","2009-11-17",41.040001
"727","2009-11-18",40.060001
"728","2009-11-19",39.810001
"729","2009-11-20",39.75
"730","2009-11-23",39.099998
"731","2009-11-24",39.259998
"732","2009-11-25",38.389999
"733","2009-11-27",37.799999
"734","2009-11-30",37.389999
"735","2009-12-01",37.990002
"736","2009-12-02",38.310001
"737","2009-12-03",38.09
"738","2009-12-04",38.490002
"739","2009-12-07",38.200001
"740","2009-12-08",38.200001
"741","2009-12-09",38.849998
"742","2009-12-10",38.740002
"743","2009-12-11",37.099998
"744","2009-12-14",36.25
"745","2009-12-15",37.200001
"746","2009-12-16",38.09
"747","2009-12-17",37.560001
"748","2009-12-18",37.639999
"749","2009-12-21",39
"750","2009-12-22",39.25
"751","2009-12-23",39.09
"752","2009-12-24",39.09
"753","2009-12-28",38.560001
"754","2009-12-29",38.34
"755","2009-12-30",38.299999
"756","2009-12-31",38.029999
"757","2010-01-04",38.389999
"758","2010-01-05",39.720001
"759","2010-01-06",40.240002
"760","2010-01-07",40.16
"761","2010-01-08",40.439999
"762","2010-01-11",48.360001
"763","2010-01-12",49.98
"764","2010-01-13",50.040001
"765","2010-01-14",51.32
"766","2010-01-15",49.560001
"767","2010-01-19",49.990002
"768","2010-01-20",49.279999
"769","2010-01-21",47.889999
"770","2010-01-22",45.439999
"771","2010-01-25",45.400002
"772","2010-01-26",45.080002
"773","2010-01-27",43.880001
"774","2010-01-28",44.700001
"775","2010-01-29",43.98
"776","2010-02-01",44.330002
"777","2010-02-02",44.279999
"778","2010-02-03",45.25
"779","2010-02-04",38.119999
"780","2010-02-05",37.77
"781","2010-02-08",36.669998
"782","2010-02-09",36.080002
"783","2010-02-10",36.740002
"784","2010-02-11",37.650002
"785","2010-02-12",38.41
"786","2010-02-16",37.709999
"787","2010-02-17",38.349998
"788","2010-02-18",38.5
"789","2010-02-19",38.080002
"790","2010-02-22",38.369999
"791","2010-02-23",37.57
"792","2010-02-24",38.290001
"793","2010-02-25",38.580002
"794","2010-02-26",38.189999
"795","2010-03-01",34.169998
"796","2010-03-02",35.130001
"797","2010-03-03",34.689999
"798","2010-03-04",34.290001
"799","2010-03-05",34.32
"800","2010-03-08",34.240002
"801","2010-03-09",34.82
"802","2010-03-10",36.299999
"803","2010-03-11",36.740002
"804","2010-03-12",35.98
"805","2010-03-15",35.360001
"806","2010-03-16",35.09
"807","2010-03-17",35.240002
"808","2010-03-18",36.599998
"809","2010-03-19",36.810001
"810","2010-03-22",37.849998
"811","2010-03-23",37.77
"812","2010-03-24",37.07
"813","2010-03-25",36.490002
"814","2010-03-26",36.049999
"815","2010-03-29",36.34
"816","2010-03-30",36.119999
"817","2010-03-31",34.91
"818","2010-04-01",35.02
"819","2010-04-05",34.720001
"820","2010-04-06",34.630001
"821","2010-04-07",35.049999
"822","2010-04-08",34.77
"823","2010-04-09",34.700001
"824","2010-04-12",34.93
"825","2010-04-13",34.669998
"826","2010-04-14",35.130001
"827","2010-04-15",35.990002
"828","2010-04-16",35.939999
"829","2010-04-19",36.040001
"830","2010-04-20",37.48
"831","2010-04-21",36.48
"832","2010-04-22",36.5
